Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
1	Spectrogram 1	1	72.994349183	73.069678750	489.362	1290.780	796.875	801.418		0.0753	-60.45	2	773.438	-71.70	73.0260	-21.999		
2	Spectrogram 1	1	110.959972459	111.016469634	92.199	921.986	246.094	829.787		0.0565	-54.68	2	210.938	-63.56	110.9792	-16.227		
3	Spectrogram 1	1	113.168857599	113.225354774	92.199	588.652	246.094	496.454		0.0565	-56.45	1	187.500	-67.62	113.2031	-21.009		
4	Spectrogram 1	1	120.299427177	120.337091960	382.979	1198.582	609.375	815.603		0.0377	-54.62	1	539.062	-68.70	120.3125	-19.178		
5	Spectrogram 1	1	179.131818138	179.197731509	120.567	553.191	234.375	432.624		0.0659	-61.74	2	222.656	-70.13	179.1562	-23.288		
6	Spectrogram 1	1	213.974141471	214.040054842	326.241	765.957	480.469	439.716		0.0659	-61.54	1	445.312	-73.42	214.0104	-26.100		
7	Spectrogram 1	1	218.657498536	218.704579516	92.199	539.007	199.219	446.809		0.0471	-53.15	1	199.219	-61.67	218.6771	-17.705		
8	Spectrogram 1	1	247.369738706	247.435652077	78.014	546.099	222.656	468.085		0.0659	-58.46	2	175.781	-66.92	247.4062	-20.012		
9	Spectrogram 1	1	264.180797156	264.237294331	453.901	971.631	644.531	517.730		0.0565	-58.53	1	621.094	-70.85	264.2135	-23.092		
10	Spectrogram 1	1	279.681475007	279.737972183	460.993	1106.383	679.688	645.390		0.0565	-55.25	1	621.094	-67.90	279.7083	-19.807		
11	Spectrogram 1	1	112.145945692	112.861576577	652.482	1163.121	820.312	510.638		0.7156	-78.06	19	691.406	-84.35	112.5104	-29.828		Reference
