Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
1	Spectrogram 1	1	9.962335164	15.047080926	78.014	1078.014	234.375	1000.000		5.0847	-70.63	139	82.031	-67.92	13.0156	-13.760		Mid_Selection
2	Spectrogram 1	1	48.397739804	48.444820783	70.922	709.220	363.281	638.298		0.0471	-62.43	1	410.156	-74.76	48.4167	-26.992		
8	Spectrogram 1	1	73.535162797	73.601076168	368.794	914.894	644.531	546.099		0.0659	-65.93	2	644.531	-76.28	73.5729	-27.478		
9	Spectrogram 1	1	113.832989472	113.880070451	99.291	609.929	269.531	510.638		0.0471	-63.02	1	222.656	-74.58	113.8594	-27.577		
10	Spectrogram 1	1	130.666451940	130.751197703	439.716	1021.277	574.219	581.560		0.0847	-71.31	3	562.500	-79.52	130.7031	-31.100		
11	Spectrogram 1	1	129.969653447	135.016734426	63.830	1063.830	269.531	1000.000		5.0471	-69.73	139	152.344	-70.64	134.7500	-12.859		Mid_Selection
12	Spectrogram 1	1	170.335731391	170.411060958	42.553	1049.645	222.656	1007.092		0.0753	-58.90	2	222.656	-68.37	170.3698	-20.448		
13	Spectrogram 1	1	184.727379676	184.793293047	397.163	1163.121	632.812	765.957		0.0659	-69.52	2	492.188	-80.31	184.7708	-31.069		
14	Spectrogram 1	1	189.958287688	195.014784863	49.645	1049.645	234.375	1000.000		5.0565	-70.61	138	58.594	-72.71	191.6250	-13.766		Mid_Selection
15	Spectrogram 1	1	196.615538159	196.681451530	78.014	553.191	234.375	475.177		0.0659	-63.40	2	222.656	-73.46	196.6562	-24.947		
16	Spectrogram 1	1	195.899907273	195.984653036	21.277	673.759	35.156	652.482		0.0847	-56.58	2	23.438	-59.51	195.9635	-18.133		
17	Spectrogram 1	1	202.819432494	202.885345865	78.014	617.021	234.375	539.007		0.0659	-60.47	1	222.656	-71.60	202.8542	-25.028		
18	Spectrogram 1	1	245.921206767	245.987120138	326.241	1368.794	761.719	1042.553		0.0659	-58.22	2	726.562	-69.53	245.9479	-19.767		
19	Spectrogram 1	1	258.028957211	258.076038191	290.780	1702.128	585.938	1411.348		0.0471	-51.62	1	515.625	-65.57	258.0521	-16.182		
20	Spectrogram 1	1	43.797928128	44.711299126	1056.738	1659.574	1312.500	602.837		0.9134	-83.21	25	1289.062	-90.06	43.8958	-33.789		Reference
