Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
1	Spectrogram 1	1	9.934086693	15.009416260	63.830	1063.830	234.375	1000.000		5.0753	-70.51	139	140.625	-72.24	14.8750	-13.641		Mid_Selection
2	Spectrogram 1	1	26.397691140	26.454188315	269.504	1709.220	609.375	1439.716		0.0565	-51.51	1	585.938	-65.04	26.4323	-16.068		
3	Spectrogram 1	1	72.518218541	72.584131912	340.426	1141.844	621.094	801.418		0.0659	-66.01	1	585.938	-80.26	72.5521	-30.567		
4	Spectrogram 1	1	69.965371592	75.059533551	70.922	1070.922	210.938	1000.000		5.0942	-67.47	139	152.344	-61.71	70.4010	-10.595		Mid_Selection
5	Spectrogram 1	1	118.831362139	118.887859314	113.475	794.326	210.938	680.851		0.0565	-54.24	1	210.938	-63.04	118.8542	-18.804		
6	Spectrogram 1	1	129.979897997	135.050399448	56.738	1056.738	210.938	1000.000		5.0705	-63.15	139	140.625	-59.19	130.8490	-6.280		Mid_Selection
7	Spectrogram 1	1	142.920680118	142.986593489	85.106	879.433	339.844	794.326		0.0659	-63.96	1	164.062	-78.02	142.9531	-28.517		
8	Spectrogram 1	1	160.935372774	160.991869950	49.645	723.404	187.500	673.759		0.0565	-56.00	1	210.938	-66.37	160.9635	-20.564		
9	Spectrogram 1	1	189.947112622	195.078939364	63.830	1063.830	210.938	1000.000		5.1318	-66.81	141	152.344	-67.14	192.1719	-9.875		Mid_Selection
10	Spectrogram 1	1	201.779428490	201.835925665	113.475	539.007	187.500	425.532		0.0565	-59.78	2	187.500	-64.77	201.7969	-21.327		
12	Spectrogram 1	1	211.456614501	211.522527872	347.518	1560.284	597.656	1212.766		0.0659	-61.35	2	550.781	-72.76	211.4948	-22.898		
14	Spectrogram 1	1	207.821962900	208.038535405	63.830	531.915	175.781	468.085		0.2166	-55.63	6	140.625	-61.21	207.8854	-12.406		Buzz
15	Spectrogram 1	1	245.373344385	245.439257756	361.702	1404.255	644.531	1042.553		0.0659	-64.21	2	574.219	-76.08	245.4010	-25.762		
16	Spectrogram 1	1	277.269867723	277.326364898	276.596	1404.255	550.781	1127.660		0.0565	-61.01	1	550.781	-74.59	277.3021	-25.566		
17	Spectrogram 1	1	298.672971858	298.720052837	35.461	617.021	175.781	581.560		0.0471	-63.32	1	128.906	-73.85	298.7031	-27.884		
18	Spectrogram 1	1	289.091541566	289.835421039	460.993	1049.645	726.562	588.652		0.7439	-83.01	20	503.906	-89.91	289.2240	-34.555		Reference
