Year,Month,Day,Hour,Minute,Date,Time,Snaps
2018,6,15,21,0,06/15/2018,21:00:00,375
2018,6,15,21,15,06/15/2018,21:15:00,320
2018,6,15,21,30,06/15/2018,21:30:00,200
2018,6,15,21,45,06/15/2018,21:45:00,142
2018,6,15,22,0,06/15/2018,22:00:00,254
2018,6,15,22,15,06/15/2018,22:15:00,164
2018,6,15,22,30,06/15/2018,22:30:00,116
2018,6,15,22,45,06/15/2018,22:45:00,26
2018,6,15,23,0,06/15/2018,23:00:00,203
2018,6,15,23,15,06/15/2018,23:15:00,16
2018,6,15,23,30,06/15/2018,23:30:00,30
2018,6,15,23,45,06/15/2018,23:45:00,33
2018,6,16,0,0,06/16/2018,00:00:00,23
2018,6,16,0,15,06/16/2018,00:15:00,5
2018,6,16,0,30,06/16/2018,00:30:00,20
2018,6,16,0,45,06/16/2018,00:45:00,25
2018,6,16,1,0,06/16/2018,01:00:00,41
2018,6,16,1,15,06/16/2018,01:15:00,27
2018,6,16,1,30,06/16/2018,01:30:00,29
2018,6,16,1,45,06/16/2018,01:45:00,14
2018,6,16,2,0,06/16/2018,02:00:00,8
2018,6,16,2,15,06/16/2018,02:15:00,12
2018,6,16,2,30,06/16/2018,02:30:00,12
2018,6,16,2,45,06/16/2018,02:45:00,10
2018,6,16,3,0,06/16/2018,03:00:00,15
2018,6,16,3,15,06/16/2018,03:15:00,10
2018,6,16,3,30,06/16/2018,03:30:00,26
2018,6,16,3,45,06/16/2018,03:45:00,3
2018,6,16,4,0,06/16/2018,04:00:00,18
2018,6,16,4,15,06/16/2018,04:15:00,15
2018,6,16,4,30,06/16/2018,04:30:00,7
2018,6,16,4,45,06/16/2018,04:45:00,5
2018,6,16,5,0,06/16/2018,05:00:00,6
2018,6,16,5,15,06/16/2018,05:15:00,16
2018,6,16,5,30,06/16/2018,05:30:00,10
2018,6,16,5,45,06/16/2018,05:45:00,4
2018,6,16,6,0,06/16/2018,06:00:00,22
2018,6,16,6,15,06/16/2018,06:15:00,5
2018,6,16,6,30,06/16/2018,06:30:00,8
2018,6,16,6,45,06/16/2018,06:45:00,15
2018,6,16,7,0,06/16/2018,07:00:00,7
2018,6,16,7,15,06/16/2018,07:15:00,25
2018,6,16,7,30,06/16/2018,07:30:00,11
2018,6,16,7,45,06/16/2018,07:45:00,9
2018,6,16,8,0,06/16/2018,08:00:00,23
2018,6,16,8,15,06/16/2018,08:15:00,36
2018,6,16,8,30,06/16/2018,08:30:00,49
2018,6,16,8,45,06/16/2018,08:45:00,119
2018,6,16,9,0,06/16/2018,09:00:00,29
2018,6,16,9,15,06/16/2018,09:15:00,71
2018,6,16,9,30,06/16/2018,09:30:00,73
2018,6,16,9,45,06/16/2018,09:45:00,486
2018,6,16,10,0,06/16/2018,10:00:00,540
2018,6,16,10,15,06/16/2018,10:15:00,461
2018,6,16,10,30,06/16/2018,10:30:00,263
2018,6,16,10,45,06/16/2018,10:45:00,604
2018,6,16,11,0,06/16/2018,11:00:00,586
2018,6,16,11,15,06/16/2018,11:15:00,822
2018,6,16,11,30,06/16/2018,11:30:00,788
2018,6,16,11,45,06/16/2018,11:45:00,803
2018,6,16,12,0,06/16/2018,12:00:00,808
2018,6,16,12,15,06/16/2018,12:15:00,788
2018,6,16,12,30,06/16/2018,12:30:00,613
2018,6,16,12,45,06/16/2018,12:45:00,645
2018,6,16,13,0,06/16/2018,13:00:00,764
2018,6,16,13,15,06/16/2018,13:15:00,730
2018,6,16,13,30,06/16/2018,13:30:00,779
2018,6,16,13,45,06/16/2018,13:45:00,829
2018,6,16,14,0,06/16/2018,14:00:00,754
2018,6,16,14,15,06/16/2018,14:15:00,710
2018,6,16,14,30,06/16/2018,14:30:00,684
2018,6,16,14,45,06/16/2018,14:45:00,719
2018,6,16,15,0,06/16/2018,15:00:00,645
2018,6,16,15,15,06/16/2018,15:15:00,506
2018,6,16,15,30,06/16/2018,15:30:00,530
2018,6,16,15,45,06/16/2018,15:45:00,566
2018,6,16,16,0,06/16/2018,16:00:00,568
2018,6,16,16,15,06/16/2018,16:15:00,541
2018,6,16,16,30,06/16/2018,16:30:00,805
2018,6,16,16,45,06/16/2018,16:45:00,539
2018,6,16,17,0,06/16/2018,17:00:00,895
2018,6,16,17,15,06/16/2018,17:15:00,503
2018,6,16,17,30,06/16/2018,17:30:00,453
2018,6,16,17,45,06/16/2018,17:45:00,594
2018,6,16,18,0,06/16/2018,18:00:00,734
2018,6,16,18,15,06/16/2018,18:15:00,588
2018,6,16,18,30,06/16/2018,18:30:00,730
2018,6,16,18,45,06/16/2018,18:45:00,512
2018,6,16,19,0,06/16/2018,19:00:00,299
2018,6,16,19,15,06/16/2018,19:15:00,391
2018,6,16,19,30,06/16/2018,19:30:00,657
2018,6,16,19,45,06/16/2018,19:45:00,649
2018,6,16,20,0,06/16/2018,20:00:00,671
2018,6,16,20,15,06/16/2018,20:15:00,732
2018,6,16,20,30,06/16/2018,20:30:00,654
2018,6,16,20,45,06/16/2018,20:45:00,611
2018,6,16,21,0,06/16/2018,21:00:00,343
2018,6,16,21,15,06/16/2018,21:15:00,297
2018,6,16,21,30,06/16/2018,21:30:00,107
2018,6,16,21,45,06/16/2018,21:45:00,459
2018,6,16,22,0,06/16/2018,22:00:00,281
2018,6,16,22,15,06/16/2018,22:15:00,43
2018,6,16,22,30,06/16/2018,22:30:00,129
2018,6,16,22,45,06/16/2018,22:45:00,62
2018,6,16,23,0,06/16/2018,23:00:00,98
2018,6,16,23,15,06/16/2018,23:15:00,146
2018,6,16,23,30,06/16/2018,23:30:00,35
2018,6,16,23,45,06/16/2018,23:45:00,31
2018,6,17,0,0,06/17/2018,00:00:00,34
2018,6,17,0,15,06/17/2018,00:15:00,16
2018,6,17,0,30,06/17/2018,00:30:00,53
2018,6,17,0,45,06/17/2018,00:45:00,22
2018,6,17,1,0,06/17/2018,01:00:00,46
2018,6,17,1,15,06/17/2018,01:15:00,49
2018,6,17,1,30,06/17/2018,01:30:00,43
2018,6,17,1,45,06/17/2018,01:45:00,136
2018,6,17,2,0,06/17/2018,02:00:00,28
2018,6,17,2,15,06/17/2018,02:15:00,38
2018,6,17,2,30,06/17/2018,02:30:00,15
2018,6,17,2,45,06/17/2018,02:45:00,42
2018,6,17,3,0,06/17/2018,03:00:00,20
2018,6,17,3,15,06/17/2018,03:15:00,34
2018,6,17,3,30,06/17/2018,03:30:00,27
2018,6,17,3,45,06/17/2018,03:45:00,33
2018,6,17,4,0,06/17/2018,04:00:00,51
2018,6,17,4,15,06/17/2018,04:15:00,31
2018,6,17,4,30,06/17/2018,04:30:00,29
2018,6,17,4,45,06/17/2018,04:45:00,40
