Site,Date,Time,Time_In_Raven,Num_ind_knocks,Num_knock_trains,Num_in_KT,Tot_Knocks,Num_L_calls,L_call_type,Num_Herbivory,Comment
40,24_06_18,21:00:20,0:00:20,0,0,0,0,0,,2,
40,24_06_18,21:00:30,0:00:30,0,1,3,3,0,,,
40,24_06_18,21:00:40,0:00:40,0,0,0,0,0,,,
40,24_06_18,21:00:50,0:00:50,0,0,0,0,0,,,
40,24_06_18,21:01:00,0:01:00,0,0,0,0,0,,,
40,24_06_18,21:01:10,0:01:10,0,1,8,8,0,,,Large background noise overtakes half of KT
40,24_06_18,21:01:20,0:01:20,0,0,0,0,1,Buzz,,
40,24_06_18,21:01:30,0:01:30,0,0,0,0,0,,,
40,24_06_18,21:01:40,0:01:40,1,0,0,1,0,,,
40,24_06_18,21:01:50,0:01:50,0,1,26,26,0,,,
40,24_06_18,21:02:00,0:02:00,0,1,4,4,0,,,
40,24_06_18,21:02:10,0:02:10,0,0,0,0,0,,,
40,24_06_18,21:02:20,0:02:20,0,0,0,0,0,,,
40,24_06_18,21:02:30,0:02:30,0,0,0,0,0,,,
40,24_06_18,21:02:40,0:02:40,0,0,0,0,0,,,
40,24_06_18,21:02:50,0:02:50,0,0,0,0,0,,,
40,24_06_18,21:03:00,0:03:00,0,1,3,3,0,,,
40,24_06_18,21:03:10,0:03:10,0,3,7,7,1,Squeak,,
40,24_06_18,21:03:20,0:03:20,0,0,0,0,0,,,
40,24_06_18,21:03:30,0:03:30,0,0,0,0,0,,,
40,24_06_18,21:03:40,0:03:40,0,0,0,0,0,,,
40,24_06_18,21:03:50,0:03:50,0,0,0,0,0,,,
40,24_06_18,21:04:00,0:04:00,0,0,0,0,0,,,
40,24_06_18,21:04:10,0:04:10,0,0,0,0,0,,,
40,24_06_18,21:04:20,0:04:20,1,0,0,1,0,,,
40,24_06_18,21:04:30,0:04:30,0,0,0,0,0,,,
40,24_06_18,21:04:40,0:04:40,0,0,0,0,0,,,
40,24_06_18,21:04:50,0:04:50,0,0,0,0,0,,,
40,13_07_17,3:00:00,0:00:00,4,0,0,4,1,Buzz,,
40,13_07_17,3:00:10,0:00:10,0,0,0,0,0,,,
40,13_07_17,3:00:20,0:00:20,4,2,5,9,0,,,
40,13_07_17,3:00:30,0:00:30,0,1,10,10,0,,,
40,13_07_17,3:00:40,0:00:40,0,1,7,7,0,,,
40,13_07_17,3:00:50,0:00:50,0,0,0,0,0,,,
40,13_07_17,3:01:00,0:01:00,0,0,0,0,0,,,
40,13_07_17,3:01:10,0:01:10,0,0,0,0,0,,,
40,13_07_17,3:01:20,0:01:20,0,1,4,4,0,,,
40,13_07_17,3:01:30,0:01:30,0,0,0,0,0,,,
40,13_07_17,3:01:40,0:01:40,2,0,0,2,0,,,
40,13_07_17,3:01:50,0:01:50,1,0,0,1,0,,,
40,13_07_17,3:02:00,0:02:00,0,1,4,4,4,2 UNF; 2 Squeak,,
40,13_07_17,3:02:10,0:02:10,0,0,0,0,0,,,
40,13_07_17,3:02:20,0:02:20,0,0,0,0,0,,,
40,13_07_17,3:02:30,0:02:30,0,0,0,0,0,,,
40,13_07_17,3:02:40,0:02:40,0,1,6,6,0,,,
40,13_07_17,3:02:50,0:02:50,0,0,0,0,0,,,
40,13_07_17,3:03:00,0:03:00,0,0,0,0,0,,,
40,13_07_17,3:03:10,0:03:10,0,0,0,0,0,,,
40,13_07_17,3:03:20,0:03:20,0,0,0,0,2,Buzz,,
