Time Stamp,ACI_BB,ACI_HF,ACI_Midrange,SPL_BB,SPL_HF,SPL_Midrange
180614210002,64518.34298,64130.15395,50241.84404,112.6571065,111.6385694,102.6130257
180614211502,71944.171,72027.48109,57043.99472,113.352766,112.2785037,104.2275906
180614213002,56548.51519,56415.50012,53840.12784,113.1988942,112.1353607,103.8723824
180614214502,61966.26662,61860.3046,51307.81654,115.1680617,114.2386176,106.2094566
180614220002,67703.13361,67740.95602,56355.43245,117.5811996,117.0411674,106.6303664
180614221502,80324.26124,81113.17835,68078.33904,119.9558731,119.4653485,109.2607219
180614223002,60101.75767,60510.54438,59840.24551,118.8988395,117.4575599,112.8579957
180614224502,65800.92335,66727.2177,53782.5613,122.1898657,118.1923605,119.7789889
180614230002,65024.79514,67363.23094,56990.40091,123.4670058,117.6491029,121.9638233
180614231502,70616.84112,71955.04147,54031.27065,123.8920819,117.7200555,122.5261172
180614233002,66473.02308,67957.53897,55097.64341,123.8369787,117.4649787,122.525797
180614234502,58641.37389,60285.2239,59180.18478,122.6463931,116.708398,121.1777414
180615000002,57578.40868,58178.97299,56548.24743,121.7958278,118.0581606,119.1713152
180615001502,66884.53786,67506.2099,57665.70986,119.5871239,117.6846188,114.6740921
180615003002,56480.43396,56469.27665,60260.79614,118.586249,117.6002297,110.9161001
180615004502,66531.31346,66600.79519,55179.69693,118.0181671,117.1665818,109.5675183
180615010002,68952.79109,69722.82646,58912.26909,118.1536566,116.9269308,111.3679193
180615011502,57330.55134,57640.75409,60014.25998,118.1449551,117.4238726,108.9042992
180615013002,64514.89188,64534.33684,55944.98554,118.7941236,118.3035802,107.7493026
180615014502,65561.16977,65925.47628,53618.3953,118.0965282,117.6508539,106.2038731
180615020002,59155.46135,58771.61228,54680.26912,118.6541717,117.5783982,110.3191454
180615021502,72758.73277,72825.47391,53574.82622,117.9389199,117.4559382,106.4410067
180615023002,66512.14339,66566.50305,57448.94075,117.9970761,117.5195478,106.4679756
180615024502,65886.23832,65905.26467,56901.07841,119.2410365,118.9046339,106.1556511
180615030002,63656.20917,63703.441,55244.91498,118.3540241,117.8653912,107.0303907
180615031502,66934.74669,67215.79039,53731.60578,118.4887631,118.0883121,106.1193561
180615033002,69383.60211,69586.74852,57869.40214,117.5520459,117.025038,106.4140839
180615034502,64389.62951,64355.12261,59026.18081,118.345429,117.8900916,106.6828559
180615040002,68139.28292,68406.86035,54483.20677,117.9140036,117.4782803,105.6898346
180615041502,73813.5223,73825.43697,54014.1202,117.5653369,117.0243086,106.5906599
180615043002,68882.51379,68662.49613,53116.40355,118.0193301,117.6110966,105.3959838
180615044502,61012.80823,60958.06513,59934.58366,117.5688282,117.1045808,105.6446336
180615050002,64811.47476,65009.84005,57446.81853,117.6740685,117.273552,104.8710516
180615051502,59584.63599,59641.07703,53230.48936,118.0419539,117.6484753,105.3217661
180615053002,60410.06758,60747.8838,57272.69408,116.8512127,116.3694875,104.7812652
180615054502,62704.70478,62893.33446,54547.68737,117.8812683,117.377833,106.5871633
180615060002,59280.42979,59258.428,53973.00993,117.2676752,116.6724028,106.6997501
180615061502,69494.98398,69383.75772,58360.7773,117.8049844,117.360563,105.7514582
180615063002,66313.53931,66305.38484,55002.54708,117.8608241,117.4329113,105.5760677
180615064502,58899.12625,58976.10002,55567.88981,118.108454,117.7090023,105.5336163
180615070002,63415.8419,63456.37664,56530.8873,117.4879031,116.9519984,106.4196493
180615071502,63345.82021,63170.79066,53680.77985,118.144065,117.6555781,106.8192708
180615073002,57984.8919,57772.78462,53163.49195,117.3108145,116.6901079,106.9948407
180615074502,72415.44443,72511.90913,58687.34932,118.7067817,118.1380085,108.3947217
180615080002,59327.79659,59107.83376,60352.05976,117.5250092,116.7964069,108.1649823
180615081502,66477.37683,66617.21776,54572.35789,118.9818619,118.4636779,108.2442238
180615083002,61655.71248,61842.92085,59526.02794,117.952726,117.6190548,104.04789
180615084502,62834.87911,63255.16047,60994.882,119.7241517,119.3955614,106.7372954
180615090002,63183.35362,63142.38813,50340.20315,118.2529646,117.9316309,104.2885395
180615091502,61749.17222,61487.8988,49819.84358,116.284432,115.8411683,103.0370316
180615093002,69932.78437,69777.54137,50534.94864,123.4091685,116.9038278,116.9309207
180615094502,60766.6314,60709.67125,49583.19829,115.9170218,115.45738,102.2770404
180615100002,57853.28398,57772.39924,49765.52623,114.7708023,114.1766969,102.1797726
180615101502,65970.0271,65730.49197,50174.45588,114.1238712,113.4253899,102.3983409
180615103002,59032.07308,58915.95478,49708.08407,115.0876597,114.5667455,101.9018231
180615104502,55133.49197,54766.74532,51191.18481,114.9285298,114.3493331,102.5709668
180615110002,63124.29481,62830.23176,51227.63409,115.0212839,114.3743085,103.6218247
180615111502,58613.43671,58463.92133,55750.5834,114.356109,113.6250422,103.26864
180615113002,57862.9846,57637.3097,53403.36426,114.3451708,113.5689285,103.7195322
180615114502,64015.09357,64435.08793,51482.28025,114.0241204,113.2586979,102.9899104
180615120002,63038.8243,62635.77298,55563.70167,114.2331983,113.5138487,102.9913179
180615121502,68376.92548,68325.26587,51491.90391,114.2241426,113.4539987,103.422376
180615123002,65874.98922,65561.43286,51516.69765,114.3168959,113.5644911,103.2025283
180615124502,78050.18283,77908.68476,50263.34048,114.2279449,113.5403642,102.4765761
180615130002,66412.26401,66259.15827,50617.31984,115.3590037,114.7200959,104.0058074
180615131502,61190.45294,61551.56322,51041.86606,117.6698932,116.0770908,111.9527137
180615133002,58000.80898,58091.69684,51586.08879,114.682014,114.0194514,103.1182488
180615134502,62845.02651,62624.79041,50643.55809,114.3818932,113.5599687,104.0707774
180615140002,62208.26484,62259.76783,52821.99898,115.1979766,114.5454417,103.9680354
180615141502,65641.97962,65292.49121,51405.6224,113.9936974,113.2004296,103.2121909
180615143002,57508.13002,57909.10021,54699.67544,114.4964622,113.6914607,104.2275496
180615144502,58264.64891,58334.38927,54357.94869,113.9643426,112.9968518,104.5305562
180615150002,62619.95461,62691.94611,50651.58853,114.3921311,113.5891872,103.7402532
180615151502,56333.21517,56184.89907,49886.9526,113.668873,112.7595783,103.6378346
180615153002,71535.372,71429.00628,50585.5481,113.6414876,112.8163506,102.8983265
180615154502,70056.19971,69913.0643,52652.57685,115.4632806,114.6592391,105.8578059
180615160002,65546.61174,65108.57631,50834.34222,115.5388148,114.9631043,103.4028647
180615161502,62949.16052,62880.67732,51606.28536,114.2883897,113.4322934,104.1775557
180615163002,65638.11585,65380.69376,52057.76976,116.9555785,116.4960999,104.5486801
180615164502,76537.8271,76425.88669,55840.08294,113.8056095,112.834639,104.3208664
180615170002,62057.28087,62231.14272,53888.6359,115.1695431,114.4845171,104.0254872
180615171502,60573.66735,60576.67278,49476.89027,113.631947,112.8242718,102.6139255
180615173002,59202.39197,59103.52792,51672.23088,114.5400127,113.7757185,103.9361882
180615174502,71086.0588,71087.56595,49785.2406,113.1805215,112.1651472,103.2089682
180615180002,74402.5781,74308.66257,49085.75315,114.1423248,113.3662855,103.3263133
180615181502,62967.9061,62613.60977,53668.26112,113.6241541,112.665607,103.784723
180615183002,66375.84874,66125.31497,53917.2065,114.0917002,113.371756,102.6309248
180615184502,77097.66155,77522.50676,69977.792,115.3877195,114.831736,103.1555194
180615190002,58468.57829,58200.57415,49624.81539,114.2732434,113.6053624,102.4975264
180615191502,63043.68615,62851.38949,50765.7218,114.1617731,113.4695366,102.4105853
180615193002,63954.25423,63682.56963,50041.40535,114.900718,114.3638082,101.8878863
180615194502,62185.28656,61968.78091,49543.93201,115.1095231,114.5938942,102.0499372
180615200002,60911.61892,60911.94853,49560.66546,113.7680535,113.0400449,102.1091793
180615201502,63020.94847,62300.13459,59792.28708,113.6819217,112.6936582,103.9703485
180615203002,58049.58661,57795.48439,49485.73158,113.5200514,112.7529672,102.0098309
180615210002,59203.63818,59065.94354,51348.44507,113.7307349,112.8871975,103.0822552
180615211502,68944.03109,68649.66807,56416.59254,116.2804383,115.8694685,102.4542322
180615213002,58966.63684,58722.36866,50448.13641,115.1864332,114.6074984,103.0451852
180615214502,64866.12337,65169.55579,52232.55706,116.6129142,116.0347149,105.5758963
180615220002,62096.04783,62030.2199,73364.501,119.9203111,119.2690645,110.5804934
180615221502,58371.3929,59143.00852,69751.86771,120.8155747,120.5208693,107.6171158
180615223002,56044.09443,56382.95432,58263.9316,119.8114603,119.0376582,111.2170676
180615224502,64067.14427,64624.26792,58193.93713,122.2404629,118.6937888,119.484313
180615230002,55087.9182,56433.68647,53278.98667,123.6414011,118.9826145,121.6414462
180615231502,59345.00707,60620.39297,57973.367,124.0137932,118.5753609,122.3741171
180615233002,72673.60187,74292.99974,58912.0641,124.1999241,120.3957195,121.6744729
180615234502,60358.42056,61371.18693,57044.9213,122.9058775,119.1439441,120.3274214
180616000002,57868.98764,58584.11372,57857.13502,121.7593412,119.5754385,117.4443364
180616001502,67387.79299,68004.80253,63991.03183,120.5852818,119.3577727,114.0469707
180616003002,64743.34462,64708.32367,57495.92306,119.011233,118.1143502,110.9811717
180616004502,72518.93092,72601.91949,53261.70624,118.6628246,117.9660283,109.3864105
180616010002,57429.895,57889.07991,53743.35395,119.1817786,118.7298215,107.7895966
180616011502,63390.65869,63471.98258,53253.49005,119.7385565,119.3867345,107.1482912
180616013002,65087.54534,65403.68708,56514.06181,120.0387949,119.716456,107.0341499
180616014502,71451.34479,71480.51148,54100.33417,118.9526042,118.5630909,106.6199193
180616020002,62855.72696,63689.47579,58076.11931,118.7553348,118.3581494,106.4734689
180616021502,57438.80373,57696.70702,52847.88267,118.9051984,118.2702538,109.1448127
180616023002,63476.3836,63349.42143,54991.81606,120.1650043,119.8676381,106.7597882
180616024502,66477.12467,66239.25011,52516.93885,121.010109,120.7688502,106.7103583
180616030002,61013.43234,61281.41527,54686.45249,119.1601925,118.8486129,105.5468277
180616031502,73366.33529,73403.45969,57633.42198,118.5448923,118.0448996,107.5411653
180616033002,58971.96464,59155.01786,53027.18543,118.9579418,118.5948239,106.2258511
180616034502,58769.84956,59004.74868,54143.15151,119.0283174,118.7264023,105.1478182
180616040002,67034.62025,67139.45664,54079.49267,118.4254079,118.0832453,105.0206664
180616041502,58892.94479,58796.93468,53964.87118,119.5510057,119.2685332,105.5532204
180616043002,67354.47274,67306.81543,56498.93087,119.0736516,118.7657245,105.3654823
180616044502,58717.51205,58620.86182,53358.97992,118.5438419,118.1568406,106.0129265
180616050002,56575.48867,56762.07527,52901.86745,119.6963327,119.4339258,105.2832604
180616051502,60831.20038,60971.55007,54513.5172,119.3496404,119.0535584,105.5279496
180616053002,61620.28226,61629.22391,52444.89768,118.6602856,118.3471861,104.8003292
180616054502,69476.99825,69552.61083,53889.80642,118.3404664,118.0181139,104.4585575
180616060002,57313.64847,57386.08265,66447.37309,118.286396,117.9119219,105.4035901
180616061502,63210.37226,63527.87625,53280.75384,118.0900709,117.7323457,104.7805814
180616063002,58624.64919,58673.65901,53884.36689,117.7116845,117.2925621,105.1581212
180616064502,72255.94753,71937.48903,56301.34291,120.8567043,120.5516939,107.8206135
180616070002,63830.50579,63669.95357,54154.5857,118.3678537,117.9331319,106.4380364
180616071502,64479.39404,64412.15342,54635.9112,119.1391285,118.7449562,106.9607992
180616073002,57061.12976,57026.99844,54063.53717,119.3407067,118.9139843,107.6866618
180616074502,64890.64849,65014.4945,56349.24842,118.8914532,118.3238045,108.6016521
