Site,Date,Time,Time_In_Raven,Num_ind_knocks,Num_knock_trains,Num_in_KT,Tot_Knocks,Num_L_calls,L_call_type,Num_Herbivory,Comment
35,24_06_18,3:00:00,0:00:00,0,0,0,0,1,UNF,,
35,24_06_18,3:00:10,0:00:10,0,0,0,0,0,,,
35,24_06_18,3:00:20,0:00:20,2,0,0,2,0,,,
35,24_06_18,3:00:30,0:00:30,0,0,0,0,0,,,
35,24_06_18,3:00:40,0:00:40,0,1,5,5,0,,,
35,24_06_18,3:00:50,0:00:50,0,0,0,0,0,,,
35,24_06_18,3:01:00,0:01:00,0,0,0,0,2,Buzz,,Sounds like someone is blowing on the hydrophone
35,24_06_18,3:01:10,0:01:10,0,0,0,0,0,,,
35,24_06_18,3:01:20,0:01:20,0,1,5,5,0,,,
35,24_06_18,3:01:30,0:01:30,0,0,0,0,0,,,
35,24_06_18,3:01:40,0:01:40,1,1,7,8,0,,,
35,24_06_18,3:01:50,0:01:50,0,1,5,5,0,,,
35,24_06_18,3:02:00,0:02:00,0,2,7,7,0,,,
35,24_06_18,3:02:10,0:02:10,1,0,0,1,0,,,
35,24_06_18,3:02:20,0:02:20,0,0,0,0,0,,,
35,24_06_18,3:02:30,0:02:30,0,0,0,0,0,,,
35,24_06_18,3:02:40,0:02:40,0,0,0,0,0,,,
35,24_06_18,3:02:50,0:02:50,0,0,0,0,0,,,
35,24_06_18,3:03:00,0:03:00,0,1,6,6,0,,,
35,24_06_18,3:03:10,0:03:10,0,0,0,0,0,,,
35,24_06_18,3:03:20,0:03:20,0,0,0,0,0,,,
35,24_06_18,3:03:30,0:03:30,0,0,0,0,0,,,
35,24_06_18,3:03:40,0:03:40,0,1,3,3,1,UNF,,
35,24_06_18,3:03:50,0:03:50,0,0,0,0,0,,,
35,24_06_18,3:04:00,0:04:00,0,0,0,0,0,,,
35,24_06_18,3:04:10,0:04:10,0,0,0,0,0,,,
35,24_06_18,3:04:20,0:04:20,0,0,0,0,0,,,
35,24_06_18,3:04:30,0:04:30,0,0,0,0,0,,,
35,24_06_18,3:04:40,0:04:40,0,0,0,0,0,,,
35,24_06_18,3:04:50,0:04:50,0,0,0,0,0,,,
35,24_06_18,9:00:00,0:00:00,1,2,21,22,0,,,
35,24_06_18,9:00:10,0:00:10,1,1,13,14,0,,,
35,24_06_18,9:00:20,0:00:20,0,1,16,16,0,,,
35,24_06_18,9:00:30,0:00:30,0,3,13,13,0,,,
35,24_06_18,9:00:40,0:00:40,0,1,4,4,0,,,
35,24_06_18,9:00:50,0:00:50,0,0,0,0,0,,,
35,24_06_18,9:01:00,0:01:00,0,1,20,20,0,,,
35,24_06_18,9:01:10,0:01:10,1,3,8,9,0,,,
35,24_06_18,9:01:20,0:01:20,0,0,0,0,0,,,
35,24_06_18,9:01:30,0:01:30,0,1,4,4,0,,,
35,24_06_18,9:01:40,0:01:40,0,1,5,5,0,,,
35,24_06_18,9:01:50,0:01:50,0,0,0,0,0,,,
35,24_06_18,9:02:00,0:02:00,0,0,0,0,0,,,
35,24_06_18,9:02:10,0:02:10,0,1,5,5,0,,,
35,24_06_18,9:02:20,0:02:20,0,1,5,5,0,,,
35,24_06_18,9:02:30,0:02:30,0,2,12,12,0,,,
35,24_06_18,9:02:40,0:02:40,0,1,3,3,0,,,
35,24_06_18,9:02:50,0:02:50,4,1,3,7,0,,,
35,24_06_18,9:03:00,0:03:00,0,1,3,3,0,,,
35,24_06_18,9:03:10,0:03:10,0,4,10,10,0,,,
35,24_06_18,9:03:20,0:03:20,0,0,0,0,0,,,
35,24_06_18,9:03:30,0:03:30,2,1,11,13,0,,,
35,24_06_18,9:03:40,0:03:40,1,2,26,27,0,,,
35,24_06_18,9:03:50,0:03:50,0,1,3,3,0,,,
35,24_06_18,9:04:00,0:04:00,0,0,0,0,0,,,
35,24_06_18,9:04:10,0:04:10,0,1,5,5,0,,,
35,24_06_18,9:04:20,0:04:20,3,0,0,3,0,,,
35,24_06_18,9:04:30,0:04:30,0,0,0,0,0,,,
35,24_06_18,9:04:40,0:04:40,0,1,20,20,0,,,
35,24_06_18,9:04:50,0:04:50,0,0,0,0,0,,,
35,24_06_18,15:00:00,0:00:00,0,0,0,0,0,,,
