"","Date","T","s32","s35","s40","s8","s5","Year"
"529","14-07","13:20",56834.91264,73705.65809,56628.29832,65322.41594,63543.94655,"2017"
"530","14-07","13:30",62916.59979,63199.71197,65263.72875,67267.44469,66098.9294,"2017"
"531","14-07","13:40",54986.1502,60923.12003,73800.43263,65536.99371,62746.1105,"2017"
"532","14-07","13:50",66758.02428,69038.38566,67932.70622,68172.40898,64636.95265,"2017"
"533","14-07","14:00",54750.51113,64873.92311,56770.30707,71282.28532,69977.15515,"2017"
"534","14-07","14:10",72602.78552,62352.92989,60660.51058,64642.56701,74770.63915,"2017"
"535","14-07","14:20",57312.52079,67520.30691,59119.11219,59368.41077,68764.38819,"2017"
"536","14-07","14:30",59717.73502,65140.2376,60277.12864,70484.12205,62362.94404,"2017"
"537","14-07","14:40",59121.94268,62145.97358,58712.24429,63648.94918,66424.53704,"2017"
"538","14-07","14:50",65078.18361,63346.23099,57426.50823,70658.93991,67884.72559,"2017"
"539","14-07","15:00",57067.92485,61692.68558,57779.58283,66127.77305,76920.85649,"2017"
"540","14-07","15:10",57451.2037,57930.38917,64299.14725,81321.75197,65585.80703,"2017"
"541","14-07","15:20",58235.93948,67720.74647,59049.10689,66900.73263,73294.76485,"2017"
"542","14-07","15:30",68154.14236,61192.16433,67498.05802,65860.86401,71135.68041,"2017"
"543","14-07","15:40",59529.86124,67870.45206,56852.20011,72903.51089,64087.24427,"2017"
"544","14-07","15:50",69121.84778,71875.25204,61253.10259,72623.61842,61684.07615,"2017"
"545","14-07","16:00",59354.23987,65952.90037,59779.13511,70511.25475,60737.27603,"2017"
"546","14-07","16:10",60786.85962,64553.45967,59500.26132,76941.14949,65663.51668,"2017"
"547","14-07","16:20",70762.49227,61230.10768,63396.70993,75460.31955,66107.27939,"2017"
"548","14-07","16:30",64846.96445,59974.13852,55894.50711,60588.76575,70151.1386,"2017"
"549","14-07","16:40",58087.25125,58763.9711,56862.1394,64078.87037,62078.09471,"2017"
"550","14-07","16:50",58330.63925,70941.98883,61309.37108,65212.54364,61055.83648,"2017"
"551","14-07","17:00",61042.48757,74310.44131,60425.22866,64015.25082,63222.04134,"2017"
"552","14-07","17:10",62502.21941,65214.31176,59823.96463,65900.08331,66035.45301,"2017"
"553","14-07","17:20",77385.44958,63245.76201,59808.41114,73610.01588,62314.48654,"2017"
"554","14-07","17:30",58909.78715,61503.22228,54837.84792,67531.18261,72563.08584,"2017"
"555","14-07","17:40",76403.45096,64950.92409,56905.14222,83556.29918,65282.20845,"2017"
"556","14-07","17:50",62247.80587,60325.1281,56114.34822,66111.8203,57141.09077,"2017"
"557","14-07","18:00",65366.06028,67425.10096,56304.62073,64850.69569,61277.33078,"2017"
"558","14-07","18:10",65153.45598,64623.00045,65956.14831,70322.84936,72390.75474,"2017"
"559","14-07","18:20",56822.65993,68198.17548,61860.79076,65844.63739,72564.07011,"2017"
"560","14-07","18:30",63732.55622,62066.3329,66933.88726,67629.88235,68899.19025,"2017"
"561","14-07","18:40",52959.30809,65495.76408,67210.65142,71006.9067,60222.16262,"2017"
"562","14-07","18:50",59110.33451,62858.46873,60815.97145,70826.46479,63217.11077,"2017"
"563","14-07","19:00",57827.27395,65288.35948,59248.87749,70243.20391,61540.65848,"2017"
"564","14-07","19:10",57310.64043,65622.80894,62255.51992,65700.9207,70861.10428,"2017"
"565","14-07","19:20",57178.3738,72194.54692,55872.60474,67376.37268,62881.99139,"2017"
"566","14-07","19:30",61031.29692,68708.85765,56685.41459,64109.51363,60236.12997,"2017"
"567","14-07","19:40",57623.17576,67427.05045,61771.75217,62354.79809,62954.98115,"2017"
"568","14-07","19:50",71310.16771,61854.37582,57779.96157,68225.75446,60291.5408,"2017"
"569","14-07","20:00",61385.47272,64708.41471,56650.88412,69610.28286,58494.28679,"2017"
"570","14-07","20:10",60382.07391,62043.46557,59864.58951,67866.23468,66461.33597,"2017"
"571","14-07","20:20",59029.63832,67291.50956,58576.41104,71229.76264,64409.68302,"2017"
"572","14-07","20:30",58120.77582,66656.78593,56262.93168,68457.2062,61572.21316,"2017"
"573","14-07","20:40",55274.4853,74725.4038,63473.15746,74400.59421,63005.33358,"2017"
"574","14-07","20:50",61693.62003,73410.66474,55148.60977,70220.12473,70969.92484,"2017"
"575","14-07","21:00",59397.24979,71013.84503,58778.54382,77878.72407,63412.20703,"2017"
"576","14-07","21:10",62572.45666,66976.80871,67113.91376,69366.62816,64860.03646,"2017"
"577","14-07","21:20",61472.54771,71322.66351,57606.43502,67141.06195,63206.27083,"2017"
"578","14-07","21:30",56758.76027,69368.61391,60980.60311,64801.57278,60816.79096,"2017"
"579","14-07","21:40",69775.90767,66457.96916,62376.83126,72739.58725,70285.30887,"2017"
"580","14-07","21:50",58423.36773,77005.76626,67323.67107,66943.36823,60088.60931,"2017"
"581","14-07","22:00",56806.08801,59603.53269,58499.96855,67308.95137,58868.95874,"2017"
"582","14-07","22:10",56593.06508,67292.38839,59529.20565,68408.72972,57336.22494,"2017"
"583","14-07","22:20",56558.47853,61097.48442,59579.77358,63810.31635,58923.01643,"2017"
"584","14-07","22:30",62414.53243,60607.45671,58538.01382,70967.34211,59169.10224,"2017"
"585","14-07","22:40",71430.92435,68301.9228,57202.41498,79568.39284,60664.96343,"2017"
"586","14-07","22:50",61189.42874,63751.61801,59530.37398,63304.58242,60851.09409,"2017"
"587","14-07","23:00",60483.40276,66131.97694,65393.80599,71549.30826,59177.99543,"2017"
"588","14-07","23:10",60846.78464,63317.1959,59518.20737,79733.65829,60219.03809,"2017"
"589","14-07","23:20",56877.51812,67110.05289,61485.02961,66799.63827,60789.77681,"2017"
"590","14-07","23:30",64898.11805,78938.16687,56426.14956,59320.77648,61043.38391,"2017"
"591","14-07","23:40",60256.29124,64540.56982,56262.0092,64968.86934,63008.80361,"2017"
"592","14-07","23:50",59165.71873,57061.37678,58539.07828,65157.15699,62583.83651,"2017"
"593","15-07","00:00",75115.79857,59741.45541,59604.83562,63396.64338,58656.72717,"2017"
"594","15-07","00:10",62821.32396,63747.72142,63123.22109,74345.17243,61169.23467,"2017"
"595","15-07","00:20",58845.93683,83266.56129,56890.81118,60935.89715,60723.35004,"2017"
"596","15-07","00:30",71451.90291,65921.82775,55893.17736,64530.46187,56729.17328,"2017"
"597","15-07","00:40",59174.43028,71749.04677,57311.67523,63035.38271,61158.05561,"2017"
"598","15-07","00:50",62248.78296,72005.72422,58630.53898,72433.36468,58818.97274,"2017"
"599","15-07","01:00",59163.67117,67868.10722,56233.73407,73830.47957,72207.61795,"2017"
"600","15-07","01:10",57710.64078,69549.36376,57399.35907,62529.32887,70145.7136,"2017"
"601","15-07","01:20",55212.88697,72047.63683,65235.53399,65435.34669,58636.90601,"2017"
"602","15-07","01:30",64365.65064,64477.98917,56831.69432,67241.19572,63264.82987,"2017"
"603","15-07","01:40",57880.17799,63824.49536,64854.87207,65053.47772,66469.11195,"2017"
"604","15-07","01:50",61899.05428,65457.01822,57735.93596,80835.05508,64627.33001,"2017"
"605","15-07","02:00",68011.86302,72549.32482,59516.47857,71024.87112,60608.71236,"2017"
"606","15-07","02:10",65391.35221,66592.62261,58270.81341,63217.51637,59529.36072,"2017"
"607","15-07","02:20",62090.84431,65150.20396,65282.95394,62332.11514,62593.34527,"2017"
"608","15-07","02:30",64899.98319,78689.14575,64781.53522,69410.26778,59110.33881,"2017"
"609","15-07","02:40",60902.4178,68278.74257,58597.23026,74696.44869,63419.56714,"2017"
"610","15-07","02:50",58646.81658,63742.20627,65114.09302,60694.23586,74938.97223,"2017"
"611","15-07","03:00",76958.75238,62900.57358,54376.3753,67628.52846,70765.00681,"2017"
"612","15-07","03:10",64309.6191,56506.26645,60035.45291,69125.65818,58947.37802,"2017"
"613","15-07","03:20",60254.20738,66916.10405,60054.18928,70497.52518,60145.01553,"2017"
"614","15-07","03:30",59979.07014,62521.77219,61023.68818,76957.59845,59933.37161,"2017"
"615","15-07","03:40",63772.39383,65794.27016,57515.616,62459.07326,57094.91474,"2017"
"616","15-07","03:50",60115.8315,60210.64912,55469.86505,70438.75033,74353.92027,"2017"
"617","15-07","04:00",62050.43554,67642.61299,57495.81585,64308.37976,61316.71952,"2017"
"618","15-07","04:10",59884.11352,66333.45024,60674.43207,65186.13076,68460.6354,"2017"
"619","15-07","04:20",64158.29119,63778.10488,61842.56516,62827.76631,63027.32492,"2017"
"620","15-07","04:30",60926.7485,63537.10459,54647.81512,62719.48057,63153.89027,"2017"
"621","15-07","04:40",55541.14907,67524.99252,59668.39947,65479.17094,60377.50301,"2017"
"622","15-07","04:50",61182.24729,65084.04504,57832.80308,73190.39449,56842.22223,"2017"
"623","15-07","05:00",66552.21338,79378.8018,59196.38688,66683.94848,63208.54733,"2017"
"624","15-07","05:10",61069.71986,64067.48886,58897.55756,64178.51019,74879.69608,"2017"
"625","15-07","05:20",70165.60725,68792.1806,60679.74256,62556.79711,59188.18921,"2017"
"626","15-07","05:30",57045.81139,69749.31546,65047.34037,65512.44149,67245.10979,"2017"
"627","15-07","05:40",58406.89088,62730.67377,62116.95448,61334.95137,59141.6837,"2017"
"628","15-07","05:50",56881.51931,72220.68285,64916.15075,61942.44008,62876.46728,"2017"
"629","15-07","06:00",60086.47185,60552.17759,59308.09752,59382.60309,61509.37618,"2017"
"630","15-07","06:10",66417.20404,59427.0193,65254.14298,61429.02137,62381.89854,"2017"
"631","15-07","06:20",61996.66992,61687.66512,57399.68721,66766.04389,59379.9163,"2017"
"632","15-07","06:30",57577.00475,68049.93899,57399.8132,70888.67497,55740.14728,"2017"
"633","15-07","06:40",68511.35947,65521.43863,56642.42921,62997.71069,60811.42478,"2017"
"634","15-07","06:50",64430.0128,64116.09324,58517.82877,63752.48372,60132.29301,"2017"
"635","15-07","07:00",61833.6077,62545.01417,62425.14207,64054.45165,65758.59586,"2017"
"636","15-07","07:10",61709.94162,64045.67633,68321.15909,61022.48466,59562.18164,"2017"
"637","15-07","07:20",62954.96784,66596.44884,58298.86893,62755.92659,58444.20055,"2017"
"638","15-07","07:30",63574.29813,67514.32676,62878.4101,63550.52463,62151.72518,"2017"
"639","15-07","07:40",60895.56228,64762.71643,60286.05285,65812.52003,58950.99998,"2017"
"640","15-07","07:50",56321.18937,61257.28176,58315.14552,80165.83259,59866.65869,"2017"
"641","15-07","08:00",60465.55886,61428.01899,54774.9085,78543.91233,60748.01735,"2017"
"642","15-07","08:10",62887.18457,63824.30011,58964.65576,65321.18701,59204.60112,"2017"
"643","15-07","08:20",67158.4015,65587.60474,55542.85471,64269.95975,61175.2373,"2017"
"644","15-07","08:30",56291.50454,64440.31986,54154.49837,72569.14344,55902.63778,"2017"
"645","15-07","08:40",71658.85579,61749.91307,57977.30812,67213.01872,61207.70529,"2017"
"646","15-07","08:50",60528.38377,67960.86399,56407.61542,70603.66913,69926.80405,"2017"
"647","15-07","09:00",65353.73039,66500.48948,55978.35714,67762.57643,65790.63087,"2017"
"648","15-07","09:10",61972.46638,63720.95871,69876.14306,65013.05538,57638.97383,"2017"
"649","15-07","09:20",68651.61877,64400.82075,56316.48411,58843.5113,63123.72071,"2017"
"650","15-07","09:30",61263.2064,67063.43556,56927.04287,67714.67167,63928.56245,"2017"
"651","15-07","09:40",57925.46044,64176.2033,57903.69761,67311.32939,65258.91087,"2017"
"652","15-07","09:50",61635.38431,81413.1515,55622.65743,57897.81814,61608.98034,"2017"
"653","15-07","10:00",61810.49831,72233.58677,56780.26059,66092.92354,63878.03053,"2017"
"654","15-07","10:10",62166.30617,65736.04319,61273.7581,74938.14649,61359.53434,"2017"
"655","15-07","10:20",59531.3286,74651.54273,54626.6574,70682.67401,60623.44564,"2017"
"656","15-07","10:30",63482.2283,73354.3974,55031.07445,69892.32159,63760.59401,"2017"
"657","15-07","10:40",59548.05439,70231.33749,69207.50784,66452.94269,64836.72075,"2017"
"658","15-07","10:50",60095.04947,68283.34584,57311.7942,79390.92314,64225.13094,"2017"
"659","15-07","11:00",59045.13967,67130.11364,55318.8657,61585.40956,73403.43372,"2017"
"660","15-07","11:10",58460.54191,78096.73063,63552.52912,62649.25467,66079.99469,"2017"
"661","15-07","11:20",58455.58165,63786.92763,56550.41122,65514.91854,66248.39815,"2017"
"662","15-07","11:30",57571.90492,65918.85861,56484.74656,70884.29902,59010.01351,"2017"
"663","15-07","11:40",60658.52346,66366.47783,59943.38185,62941.91521,60726.44722,"2017"
"664","15-07","11:50",58344.27652,73707.37265,55298.54389,73094.51075,66798.72575,"2017"
"665","15-07","12:00",61582.69425,63919.40572,58714.44121,65233.94587,61828.73001,"2017"
"666","15-07","12:10",67723.08263,64298.35221,57518.92169,70736.39064,58716.02493,"2017"
"667","15-07","12:20",54471.81915,68899.53165,57030.88418,64770.4406,58958.69907,"2017"
"668","15-07","12:30",72434.82863,64702.84985,66624.92942,65035.38937,69445.06853,"2017"
"669","15-07","12:40",60934.73664,61807.7054,53840.49624,64445.32794,59766.52697,"2017"
"670","15-07","12:50",59540.8276,58957.18661,59318.63308,70473.68928,62906.87658,"2017"
"671","15-07","13:00",60639.93927,63830.3297,60120.72251,70678.9474,60640.572,"2017"
"672","15-07","13:10",63806.78488,62851.79775,67727.71361,69669.45578,60456.49774,"2017"
"673","15-07","13:20",70417.12603,65078.65604,74935.6631,70659.7127,60393.7837,"2017"
"674","15-07","13:30",61277.175,58119.14752,57090.16539,61395.40891,60909.96731,"2017"
"675","15-07","13:40",59376.00733,67367.88665,54676.87095,63753.36576,60230.73926,"2017"
"676","15-07","13:50",59618.82449,60488.66445,58519.94121,71783.65174,59525.82394,"2017"
"677","15-07","14:00",58102.4672,64139.77083,71460.47268,65909.77051,58823.08529,"2017"
"678","15-07","14:10",61712.64329,63983.65076,69255.83173,64577.44995,64493.04216,"2017"
"679","15-07","14:20",55602.06999,63791.27207,59600.099,68257.12437,65788.04163,"2017"
"680","15-07","14:30",64684.75172,62248.98357,60045.24641,69717.59391,72891.09984,"2017"
"681","15-07","14:40",59169.0855,67245.25119,54492.45106,62048.04195,70208.69173,"2017"
"682","15-07","14:50",61319.19387,75425.6915,61904.07022,70400.75398,64695.20309,"2017"
"683","15-07","15:00",70836.73655,60844.92666,55836.81825,67135.31145,65237.28204,"2017"
"684","15-07","15:10",59028.52669,63292.29416,62010.45202,62817.34279,68279.08621,"2017"
"685","15-07","15:20",71389.2342,66081.42688,57628.49872,76139.8807,59354.53157,"2017"
"686","15-07","15:30",66627.23561,67904.6443,60258.62582,68928.53535,64111.54963,"2017"
"687","15-07","15:40",63848.18343,68233.37009,58957.01612,63977.10594,60254.11328,"2017"
"688","15-07","15:50",55211.48304,61117.5138,59185.62722,71616.76471,75825.37997,"2017"
"689","15-07","16:00",75220.48723,59553.29246,54846.96377,66387.86063,66708.24842,"2017"
"690","15-07","16:10",54957.02512,62290.77372,64994.44638,67125.61746,62799.70147,"2017"
"691","15-07","16:20",66483.49167,63212.531,61014.77214,66319.10369,77021.93609,"2017"
"692","15-07","16:30",56751.7406,58953.63553,56786.47073,73156.08391,63209.91443,"2017"
"693","15-07","16:40",58777.41975,62401.16748,58325.98187,64026.09021,67200.60407,"2017"
"694","15-07","16:50",69977.73511,59809.72687,56091.97316,68269.67988,61743.15146,"2017"
"695","15-07","17:00",59530.24563,64587.98218,69502.84082,67048.90561,60298.9077,"2017"
"696","15-07","17:10",63505.17272,62679.42507,61691.91555,70380.03792,75779.05835,"2017"
"697","15-07","17:20",64123.97942,60060.46949,57769.06174,65611.05637,62313.70046,"2017"
"698","15-07","17:30",57458.00704,62046.11808,57819.4243,64903.60031,61273.7164,"2017"
"699","15-07","17:40",67474.96112,58125.27163,61845.53616,68654.96675,62858.88741,"2017"
"700","15-07","17:50",57876.07528,68062.13689,64643.80001,78466.81691,64054.05789,"2017"
"701","15-07","18:00",55038.9471,58055.50296,57873.73374,65206.3891,66734.51866,"2017"
"702","15-07","18:10",57103.41082,58883.27468,56504.79778,64084.78005,63971.72017,"2017"
"703","15-07","18:20",65874.70828,61994.38773,67922.55589,71606.50843,61892.89362,"2017"
"704","15-07","18:30",63454.67495,60938.99814,55325.31391,69854.69817,64143.70975,"2017"
"705","15-07","18:40",65242.69528,66055.3846,55491.66294,73485.29133,62757.72366,"2017"
"706","15-07","18:50",60935.7252,67642.56251,61475.58512,70065.16986,62583.5533,"2017"
"707","15-07","19:00",65027.61684,66744.059,57070.86598,64643.56194,63874.62475,"2017"
"708","15-07","19:10",59205.53551,68067.16285,65725.13228,72421.68774,64216.99335,"2017"
"709","15-07","19:20",50534.22536,73244.39471,60714.04872,67733.2473,61390.97257,"2017"
"710","15-07","19:30",60074.25759,63324.15021,55996.03742,70119.72133,75769.04879,"2017"
"711","15-07","19:40",57534.22809,69333.55602,66974.17407,68899.81225,65293.63357,"2017"
"712","15-07","19:50",56462.48053,66579.52817,54307.61307,69079.44313,66829.37532,"2017"
"713","15-07","20:00",58620.75774,66709.15655,63740.47653,68303.1442,67332.56272,"2017"
"714","15-07","20:10",60163.41576,67551.07749,57100.02793,76920.78038,67597.64791,"2017"
"715","15-07","20:20",57613.39766,82116.75913,66516.32858,83152.85819,64924.16247,"2017"
"716","15-07","20:30",61828.64546,69256.61355,58006.43176,67974.92567,65220.90059,"2017"
"717","15-07","20:40",57411.16846,65508.34393,61081.72956,65783.73608,66217.3726,"2017"
"718","15-07","20:50",64580.69052,65105.64526,57542.15355,67424.90569,68702.88757,"2017"
"719","15-07","21:00",60650.57171,65678.25352,62110.35067,61466.07176,62735.78718,"2017"
"720","15-07","21:10",61950.86918,63013.42125,59260.17579,66597.17873,68118.26779,"2017"
"721","15-07","21:20",63611.05218,67376.32621,65143.19166,68899.49681,61493.29087,"2017"
"722","15-07","21:30",62754.09036,65030.95993,64868.49681,68872.37186,57688.05314,"2017"
"723","15-07","21:40",63810.14951,64392.28143,58520.44781,70496.45197,60578.3385,"2017"
"724","15-07","21:50",62754.22671,66082.85705,58438.97581,71790.80116,59866.48663,"2017"
"725","15-07","22:00",60566.00781,62247.22064,69563.12914,68839.7738,66216.38149,"2017"
"726","15-07","22:10",61537.66576,76187.45477,56805.49558,62693.76113,63257.99383,"2017"
"727","15-07","22:20",68436.8891,82253.18207,57128.58345,65347.81912,57530.86838,"2017"
"728","15-07","22:30",69126.59658,62777.19868,56106.36912,63261.72504,63868.71168,"2017"
"729","15-07","22:40",69742.19757,76209.88083,57553.90137,61024.15029,58580.72153,"2017"
"730","15-07","22:50",71880.3227,66015.2852,59905.69959,64898.68943,60394.51419,"2017"
"731","15-07","23:00",65153.52961,67701.24774,69604.77523,62318.82325,57506.83197,"2017"
"732","15-07","23:10",75960.90013,66963.51155,56463.19329,69152.95403,55774.66803,"2017"
"733","15-07","23:20",61024.18339,66588.76594,71554.68698,76244.12838,61656.27224,"2017"
"734","15-07","23:30",68078.85068,59393.07801,59192.82516,64874.10846,63359.4899,"2017"
"735","15-07","23:40",63760.33957,65250.88262,57701.1941,63086.87462,63542.46711,"2017"
"736","15-07","23:50",59327.6549,67708.52011,58454.64546,64177.72389,61015.44012,"2017"
"737","16-07","00:00",65905.14716,65455.38782,64501.55886,64244.34284,57926.25035,"2017"
"738","16-07","00:10",60471.68212,65095.62439,60693.87116,80744.60003,58355.11579,"2017"
"739","16-07","00:20",61033.03361,76229.56858,56751.46286,67791.42074,63958.86879,"2017"
"740","16-07","00:30",56919.83635,64887.53796,55132.00156,68858.20401,58862.17914,"2017"
"741","16-07","00:40",56595.28406,63711.00992,58404.50528,63230.10714,67392.25549,"2017"
"742","16-07","00:50",64030.20377,65340.97681,59062.26456,63372.79211,59479.50366,"2017"
"743","16-07","01:00",74147.22436,69295.77678,54889.08003,63245.12802,57944.00712,"2017"
"744","16-07","01:10",58648.07561,69018.55602,57232.35768,74671.72188,58475.32187,"2017"
"745","16-07","01:20",58611.56731,67507.63483,57318.67892,65376.33106,58199.72146,"2017"
"746","16-07","01:30",61596.20926,62255.43155,60632.31489,63675.5255,66015.65749,"2017"
"747","16-07","01:40",65358.47685,60975.82861,65974.64216,63313.87693,58214.17123,"2017"
"748","16-07","01:50",56287.76645,68009.79078,58419.47496,61347.4718,59658.66744,"2017"
"749","16-07","02:00",57262.96008,79705.13082,65201.65575,64406.43838,71635.81791,"2017"
"750","16-07","02:10",57509.71056,65317.78411,58560.42285,72998.41411,61953.70412,"2017"
"751","16-07","02:20",60458.73364,66411.25432,61732.20198,76682.08403,60068.64682,"2017"
"752","16-07","02:30",60205.03097,64095.87244,54610.49149,64761.71396,64427.96566,"2017"
"753","16-07","02:40",70609.65173,70338.58168,58356.05874,59133.53563,67033.82787,"2017"
"754","16-07","02:50",67650.09881,63252.35123,61187.11461,63055.85941,59274.99948,"2017"
"755","16-07","03:00",58564.51921,61687.59901,59128.08908,64513.29023,59423.38279,"2017"
"756","16-07","03:10",57869.71544,66648.43174,62246.11919,58768.18242,60763.49892,"2017"
"757","16-07","03:20",60935.03483,71621.7079,57846.467,66977.59147,58316.71045,"2017"
"758","16-07","03:30",59215.50188,60685.14844,71482.16328,67142.27881,61371.66484,"2017"
"759","16-07","03:40",71166.33504,65311.58671,61855.5112,62644.27458,60981.737,"2017"
"760","16-07","03:50",59315.34665,64080.94385,57169.63382,68340.06326,67368.08155,"2017"
"761","16-07","04:00",61647.84994,64513.43903,55743.67516,63039.69448,59120.09373,"2017"
"762","16-07","04:10",61351.48705,70532.27639,61735.99288,62974.53751,64326.58326,"2017"
"763","16-07","04:20",61179.5369,68538.36354,66061.52782,61454.8842,66677.69528,"2017"
"764","16-07","04:30",67731.33842,63147.05725,58990.27332,69819.03673,58077.87064,"2017"
"765","16-07","04:40",64241.44753,62175.2435,54219.31859,67111.59497,69693.04146,"2017"
"766","16-07","04:50",58815.48344,62963.98136,58640.17906,64174.4121,60113.58357,"2017"
"767","16-07","05:00",63557.64853,67079.70888,56388.52629,65179.52025,61423.89508,"2017"
"768","16-07","05:10",58830.75539,73481.82102,57694.4827,67721.15952,69038.80333,"2017"
"769","16-07","05:20",61727.57282,69337.74054,59170.28862,77747.03467,60316.38684,"2017"
"770","16-07","05:30",64849.00706,61751.3369,61394.64722,74385.52376,60478.73166,"2017"
"771","16-07","05:40",60407.60052,62954.62248,57732.86885,63447.39437,73027.93766,"2017"
"772","16-07","05:50",62900.82079,59380.58133,63487.19633,67471.18866,64861.84102,"2017"
"773","16-07","06:00",68508.48796,60527.24411,64328.43778,73205.04283,63098.09416,"2017"
"774","16-07","06:10",62935.41869,70791.1837,56742.16171,71120.68055,61375.55768,"2017"
"775","16-07","06:20",61925.35224,60363.87605,55788.22202,60048.91477,63373.75458,"2017"
"776","16-07","06:30",58332.26224,62392.70035,59685.07251,78703.47278,77592.81646,"2017"
"777","16-07","06:40",72579.9601,60055.22489,68337.05775,62926.43779,64574.95679,"2017"
"778","16-07","06:50",75118.62419,62851.67618,55871.9526,70151.61037,62426.99186,"2017"
"779","16-07","07:00",66820.39023,69528.10203,56282.11722,81207.57685,65242.04588,"2017"
"780","16-07","07:10",63463.88592,76767.24918,55222.71274,60512.01366,61560.40875,"2017"
"781","16-07","07:20",68176.5759,67519.61592,53823.56315,67958.2798,67479.30779,"2017"
"782","16-07","07:30",66526.20404,57281.04371,60585.82431,71934.30161,64101.87953,"2017"
"783","16-07","07:40",68135.91513,66619.28369,60717.52338,65845.94695,61433.01842,"2017"
"784","16-07","07:50",59285.20397,65166.67848,60863.94812,72392.29856,65746.57823,"2017"
"785","16-07","08:00",68717.68302,56419.09573,58504.81996,77372.62736,68470.65285,"2017"
"786","16-07","08:10",68614.00797,68758.01077,62245.54217,63222.36756,63478.98052,"2017"
"787","16-07","08:20",59425.75558,71325.17377,58360.21849,78043.31668,59013.24405,"2017"
"788","16-07","08:30",61949.97916,64250.37316,59388.2386,67928.18872,61146.92168,"2017"
"789","16-07","08:40",58180.31127,66677.30011,57459.51254,69866.00553,65877.80497,"2017"
"790","16-07","08:50",60264.5366,66069.98037,58790.64253,64672.22642,62916.66881,"2017"
"791","16-07","09:00",67111.79959,60795.5036,70721.92411,62450.37576,61851.7778,"2017"
"792","16-07","09:10",56643.99285,61455.33683,55323.63932,64220.41589,58468.02701,"2017"
"793","16-07","09:20",61683.92565,68749.62469,68581.47172,67789.12677,65693.15063,"2017"
"794","16-07","09:30",59315.25727,65278.0966,56787.24645,61773.02272,62561.57216,"2017"
"795","16-07","09:40",58848.78632,64835.84097,61122.05784,74269.68012,60826.50809,"2017"
"796","16-07","09:50",68189.77493,63322.16644,57436.87045,65454.30043,73128.70907,"2017"
"797","16-07","10:00",60962.35173,68745.40243,59736.03646,65476.07447,67858.66724,"2017"
"798","16-07","10:10",60629.97477,63195.18344,58241.16601,64959.47591,67206.92783,"2017"
"799","16-07","10:20",73575.47684,60318.3588,59565.12133,66204.04982,73777.46103,"2017"
"800","16-07","10:30",60937.23869,67332.7006,59852.89366,66412.58666,61480.00462,"2017"
"801","16-07","10:40",66512.06471,67055.19453,59747.49681,74282.16487,62752.07914,"2017"
"802","16-07","10:50",56531.71896,68670.32189,58774.90795,69756.81405,61239.83438,"2017"
"803","16-07","11:00",62274.95295,76033.90415,55736.59478,64302.04696,59259.25624,"2017"
"804","16-07","11:10",55958.51953,62887.26452,69059.58867,69823.70764,61390.27982,"2017"
"805","16-07","11:20",54578.92385,63304.65788,55083.24286,66003.64654,64150.78548,"2017"
"806","16-07","11:30",62033.76895,65826.69006,54863.25688,65543.03383,61502.97544,"2017"
"807","16-07","11:40",57409.58722,70650.44683,58669.30385,65504.56079,71310.87554,"2017"
"808","16-07","11:50",57004.99985,61179.18188,57639.9669,74751.45347,61932.55399,"2017"
"809","16-07","12:00",69511.82761,61519.897,55860.93701,61586.5267,66738.19428,"2017"
"810","16-07","12:10",55407.55319,64380.01424,56305.23343,69925.65576,65322.3672,"2017"
"811","16-07","12:20",67569.14141,75526.38072,57050.61941,63096.24554,65403.51116,"2017"
"812","16-07","12:30",59969.84634,80291.64688,59180.90949,66929.133,78164.39649,"2017"
"813","16-07","12:40",61514.79994,63236.74161,58602.08795,68152.44675,67441.21144,"2017"
"814","16-07","12:50",65300.64671,61936.53537,64878.13363,68657.88374,64392.23125,"2017"
"815","16-07","13:00",57465.05194,61462.12569,58008.5706,71061.38888,59926.23237,"2017"
"816","16-07","13:10",59295.01776,59160.21965,56723.3076,67572.12959,65810.05036,"2017"
"817","16-07","13:20",68717.25487,65982.30964,57037.19834,66445.59431,65579.37271,"2017"
"818","16-07","13:30",57181.57139,64686.90544,56239.10029,73977.52832,76279.23514,"2017"
"819","16-07","13:40",60492.66184,65453.97028,58191.39637,66181.55689,66400.75996,"2017"
"820","16-07","13:50",58195.26373,64862.4214,59105.19945,74935.89312,69392.4063,"2017"
"821","16-07","14:00",55873.76741,70563.6809,76958.22573,69656.88417,61252.92817,"2017"
"822","16-07","14:10",73610.59488,68502.7566,68046.1521,63587.99214,66569.00779,"2017"
"823","16-07","14:20",61194.78096,62591.90237,60901.36465,79262.40136,62533.82709,"2017"
"824","16-07","14:30",69734.81218,76309.22829,72769.89033,71403.41192,65856.49856,"2017"
"825","16-07","14:40",58729.46402,69135.48684,68229.13817,79144.92127,61849.98018,"2017"
"826","16-07","14:50",62954.95894,66174.25846,55584.39385,73485.78104,72835.75216,"2017"
"827","16-07","15:00",54574.491,62447.07787,60407.69151,69111.36227,81698.11088,"2017"
"828","16-07","15:10",58303.7331,70093.14291,65382.40294,65461.14498,75639.25123,"2017"
"829","16-07","15:20",62071.84795,63528.43065,57129.52397,71518.68501,71509.07206,"2017"
"830","16-07","15:30",60951.69452,62569.91134,56348.30028,69731.53131,65150.10893,"2017"
"831","16-07","15:40",60353.38834,79169.5122,62831.0324,68071.22732,66577.07283,"2017"
"832","16-07","15:50",55341.47685,58561.50497,58615.84636,68346.70952,60928.30246,"2017"
