Site,Date,Time,Time_In_Raven,Num_ind_knocks,Num_knock_trains,Num_in_KT,Tot_Knocks,Num_L_calls,L_call_type,Num_Herbivory,Comment,
32,24_06_18,3:00:00,0:00:00,0,0,0,0,0,,,,
32,24_06_18,3:00:10,0:00:10,1,0,0,1,0,,,,
32,24_06_18,3:00:20,0:00:20,0,1,3,3,0,,,,
32,24_06_18,3:00:30,0:00:30,0,1,2,2,0,,,,
32,24_06_18,3:00:40,0:00:40,0,0,0,0,0,,,,
32,24_06_18,3:00:50,0:00:50,0,0,0,0,0,,,,
32,24_06_18,3:01:00,0:01:00,1,0,0,1,0,,,,
32,24_06_18,3:01:10,0:01:10,1,0,0,1,0,,,,
32,24_06_18,3:01:20,0:01:20,1,0,0,1,0,,,,
32,24_06_18,3:01:30,0:01:30,0,0,0,0,0,,,,
32,24_06_18,3:01:40,0:01:40,0,0,0,0,0,,,,
32,24_06_18,3:01:50,0:01:50,0,0,0,0,0,,,,
32,24_06_18,3:02:00,0:02:00,0,0,0,0,1,UNF,,,
32,24_06_18,3:02:10,0:02:10,0,0,0,0,0,,,,
32,24_06_18,3:02:20,0:02:20,0,0,0,0,1,Growl,,,
32,24_06_18,3:02:30,0:02:30,0,0,0,0,0,,,,
32,24_06_18,3:02:40,0:02:40,0,0,0,0,0,,,,
32,24_06_18,3:02:50,0:02:50,0,1,6,6,0,,,,
32,24_06_18,3:03:00,0:03:00,0,0,0,0,0,,,,
32,24_06_18,3:03:10,0:03:10,0,0,0,0,0,,,Very weak UNF calls,
32,24_06_18,3:03:20,0:03:20,1,0,0,1,0,,,,
32,24_06_18,3:03:30,0:03:30,0,1,6,6,0,,,,
32,24_06_18,3:03:40,0:03:40,0,0,0,0,0,,,,
32,24_06_18,3:03:50,0:03:50,1,0,0,1,3,"2 UNF, 1 Growl",,,
32,24_06_18,3:04:00,0:04:00,0,0,0,0,0,,,,
32,24_06_18,3:04:10,0:04:10,0,0,0,0,1,Growl,,,
32,24_06_18,3:04:20,0:04:20,0,0,0,0,3,"1 Chirp, 2 UNF",,,
32,24_06_18,3:04:30,0:04:30,0,0,0,0,1,UNF,,,
32,24_06_18,3:04:40,0:04:40,0,1,3,3,0,,,,
