Time Stamp,ACI_BB,ACI_HF,ACI_Midrange,SPL_BB,SPL_HF,SPL_Midrange
170710210002,72737.26643,73217.91677,58727.15803,115.1698613,114.8187363,101.5270462
170710211002,65896.94821,66442.89064,64095.68985,115.7357126,115.3636095,102.5190372
170710212002,66334.10528,66583.59162,67442.78741,114.10679,113.6122598,101.9695448
170710213002,63702.73371,64326.1736,61418.50941,114.993514,114.5710407,102.4137237
170710214002,73614.1993,74126.43856,63954.44148,117.2021758,116.8840432,104.1079096
170710215002,66855.56277,67240.57912,65533.19378,115.7511028,115.1992329,105.1551575
170710220002,68415.78,68697.1232,57562.50495,117.4160616,117.1010836,104.3540863
170710221002,69666.4694,70360.07993,65294.0191,119.920004,119.7023625,105.6391509
170710222002,66365.75728,66569.91305,62849.67727,121.2276675,121.0852623,105.1273501
170710223002,66351.75328,66706.15449,68279.0175,120.0062236,119.8489029,103.6367615
170710224002,70628.9378,70828.85068,71328.39126,117.7045107,117.3907622,104.7402692
170710225002,61322.87651,61970.04216,69558.38987,117.802719,117.5094986,104.5537127
170710230002,82338.88668,82939.94316,83854.38343,120.2092165,120.0217682,105.096822
170710231002,61024.91503,61333.19693,63220.91781,119.5014933,119.329863,103.8482669
170710232002,73766.14121,73784.26798,77796.0624,120.721109,120.5751987,104.3775136
170710233002,80319.893,80431.8796,71774.96223,118.61827,118.4425214,101.9436505
170710234002,62646.82682,62671.43489,69300.5206,119.8137644,119.7002808,101.4959898
170710235002,74148.36406,74359.2011,79858.32199,120.6302536,119.993244,111.5762253
170711000002,69587.36461,69763.66528,69493.6292,119.0514172,118.8953513,102.3619581
170711001002,82880.20752,82798.91254,72724.10093,123.1122752,123.0128408,105.218557
170711002002,78600.20605,79166.82906,85140.78781,119.8437029,119.727553,101.4137627
170711003002,70031.8647,70677.88584,75448.01879,117.3734245,117.1666585,101.28532
170711004002,59245.52848,59335.80485,64211.11686,117.810277,117.6360636,101.0672707
170711005002,68335.40832,68352.72874,68982.00811,121.0264539,120.9384177,101.7768578
170711010002,66802.82182,66984.96334,61107.51788,119.8964297,119.8023984,100.2085487
170711011002,69946.17858,70145.99412,70826.58154,120.4829531,120.3579606,102.957415
170711012002,77806.9902,77899.29522,66982.80277,120.2136785,120.1156298,99.88510833
170711013002,60442.43844,60616.60487,65348.96229,117.0167049,116.848822,99.06871944
170711014002,63797.21769,64027.10724,81220.30123,118.2404893,118.1082063,98.90475741
170711015002,65785.6344,65927.42287,62540.12747,117.1402689,116.9732469,98.82543086
170711020002,70231.0482,70442.38144,72612.0861,118.4902137,118.3556757,100.2043213
170711021002,78695.13958,78871.81085,64202.56721,118.1582268,118.0190106,99.59116081
170711022002,73803.42489,74216.36279,78501.23644,117.1373179,116.9972839,98.24645683
170711023002,66751.61785,66863.31632,63879.84444,119.0447466,118.9358985,99.32171926
170711024002,62321.6692,62643.42829,71892.97153,117.7216418,117.575409,99.23458143
170711025002,63191.41219,63330.95829,68614.51529,119.2559854,119.1506327,99.22606575
