,formula,df,AICc,deltaAIC,R2m,R2c
1,HF ACI ~ Snaps + Day/Night + Snaps:Day/Night + (1|site_year),6,317813.9127,0.012731081,0.003263815,0.173455647
2,HF ACI ~ Snaps + Day/Night + (1|site_year),5,317814.6489,0.748857964,0.00323298,0.173802186
