,(Intercept),Snaps,dnNight,Snaps:dnNight,formula,df,AICc,deltaAIC,R2m,R2c
aci.hf2,71774.21091,-5.144121258,39.81428787,NA,HF SPL ~ Snaps + Day/Night + (1|site_year),5,317814.6489,0.748857964,0.00323298,0.173802186
aci.hf4,72219.97543,-5.45148527,-1006.881013,0.716197886,HF SPL ~ Snaps + Day/Night + Snaps:Day/Night + (1|site_year),6,317813.9127,0.012731081,0.003263815,0.173455647
