Site,Date,Time,Time_In_Raven,Num_ind_knocks,Num_knock_trains,Num_in_KT,Tot_Knocks,Num_L_calls,L_call_type,Num_Herbivory,Comment,
8,24_06_18,15:04:50,0:04:50,0,0,0,0,0,,,,
8,24_06_18,21:00:00,0:00:00,0,0,0,0,0,,,,
8,24_06_18,21:00:10,0:00:10,0,0,0,0,0,,,,
8,24_06_18,21:00:20,0:00:20,0,0,0,0,0,,,,
8,24_06_18,21:00:30,0:00:30,1,0,0,1,0,,,,
8,24_06_18,21:00:40,0:00:40,0,0,0,0,0,,,,
8,24_06_18,21:00:50,0:00:50,0,1,3,3,0,,,,
8,24_06_18,21:01:00,0:01:00,0,0,0,0,0,,,,
8,24_06_18,21:01:10,0:01:10,0,0,0,0,0,,,,
8,24_06_18,21:01:20,0:01:20,0,1,10,10,0,,,,
8,24_06_18,21:01:30,0:01:30,0,0,0,0,0,,,,
8,24_06_18,21:01:40,0:01:40,1,0,0,1,0,,,,
8,24_06_18,21:01:50,0:01:50,2,0,0,2,0,,,,
8,24_06_18,21:02:00,0:02:00,0,0,0,0,0,,,,
8,24_06_18,21:02:10,0:02:10,0,1,5,5,0,,,,
8,24_06_18,21:02:20,0:02:20,0,0,0,0,0,,,,
8,24_06_18,21:02:30,0:02:30,0,1,4,4,0,,,,
8,24_06_18,21:02:40,0:02:40,0,1,3,3,0,,,,
8,24_06_18,21:02:50,0:02:50,2,0,0,2,0,,,,
8,24_06_18,21:03:00,0:03:00,1,0,0,1,0,,,,
8,24_06_18,21:03:10,0:03:10,1,0,0,1,0,,,,
8,24_06_18,21:03:20,0:03:20,0,0,0,0,0,,,,
8,24_06_18,21:03:30,0:03:30,0,0,0,0,0,,,,
8,24_06_18,21:03:40,0:03:40,0,0,0,0,0,,,,
8,24_06_18,21:03:50,0:03:50,0,0,0,0,0,,,Big low frequency background noise,
8,24_06_18,21:04:00,0:04:00,0,0,0,0,0,,,,
8,24_06_18,21:04:10,0:04:10,0,0,0,0,0,,,,
8,24_06_18,21:04:20,0:04:20,1,0,0,1,0,,,,
8,24_06_18,21:04:30,0:04:30,0,0,0,0,0,,,,
8,24_06_18,21:04:40,0:04:40,2,0,0,2,0,,,,
8,24_06_18,21:04:50,0:04:50,0,1,9,9,0,,,,
8,13_07_17,3:00:00,0:00:00,6,2,7,13,0,,,,
8,13_07_17,3:00:10,0:00:10,3,0,0,3,0,,,,
8,13_07_17,3:00:20,0:00:20,0,0,0,0,0,,,,
8,13_07_17,3:00:30,0:00:30,0,0,0,0,0,,,,
8,13_07_17,3:00:40,0:00:40,0,0,0,0,0,,,,
8,13_07_17,3:00:50,0:00:50,0,0,0,0,0,,,,
8,13_07_17,3:01:00,0:01:00,1,0,0,1,0,,,,
8,13_07_17,3:01:10,0:01:10,0,1,5,5,0,,,,
8,13_07_17,3:01:20,0:01:20,0,0,0,0,0,,,,
8,13_07_17,3:01:30,0:01:30,0,0,0,0,0,,,,
8,13_07_17,3:01:40,0:01:40,1,0,0,1,0,,,,
8,13_07_17,3:01:50,0:01:50,1,0,0,1,0,,,,
8,13_07_17,3:02:00,0:02:00,1,0,0,1,0,,,,
8,13_07_17,3:02:10,0:02:10,0,0,0,0,0,,,,
8,13_07_17,3:02:20,0:02:20,3,0,0,3,0,,,,
8,13_07_17,3:02:30,0:02:30,2,0,0,2,0,,,,
8,13_07_17,3:02:40,0:02:40,0,1,5,5,0,,,,
8,13_07_17,3:02:50,0:02:50,0,0,0,0,0,,,,
8,13_07_17,3:03:00,0:03:00,0,0,0,0,0,,,,
8,13_07_17,3:03:10,0:03:10,0,1,11,11,0,,,,
8,13_07_17,3:03:20,0:03:20,0,1,4,4,0,,,,
8,13_07_17,3:03:30,0:03:30,0,1,5,5,0,,,,
8,13_07_17,3:03:40,0:03:40,0,1,3,3,0,,,,
8,13_07_17,3:03:50,0:03:50,0,0,0,0,0,,,,
8,13_07_17,3:04:00,0:04:00,0,1,4,4,0,,,,
8,13_07_17,3:04:10,0:04:10,0,1,20,20,0,,,,
8,13_07_17,3:04:20,0:04:20,0,0,0,0,0,,,,
8,13_07_17,3:04:30,0:04:30,0,0,0,0,0,,,,
8,13_07_17,3:04:40,0:04:40,0,1,25,25,0,,,,
8,13_07_17,3:04:50,0:04:50,0,0,0,0,0,,,,
8,13_07_17,9:00:00,0:00:00,0,0,0,0,0,,,,
8,13_07_17,9:00:10,0:00:10,1,0,0,1,0,,,,
8,13_07_17,9:00:20,0:00:20,0,0,0,0,0,,,,
8,13_07_17,9:00:30,0:00:30,1,0,0,1,0,,,,
8,13_07_17,9:00:40,0:00:40,0,1,4,4,0,,,,
8,13_07_17,9:00:50,0:00:50,1,0,0,1,0,,,,
8,13_07_17,9:01:00,0:01:00,1,0,0,1,0,,,,
8,13_07_17,9:01:10,0:01:10,0,1,4,4,0,,,,
8,13_07_17,9:01:20,0:01:20,0,1,3,3,0,,,,
8,13_07_17,9:01:30,0:01:30,1,0,0,1,0,,,,
8,13_07_17,9:01:40,0:01:40,0,0,0,0,0,,,,
8,13_07_17,9:01:50,0:01:50,0,1,4,4,0,,,,
8,13_07_17,9:02:00,0:02:00,0,0,0,0,0,,,,
8,13_07_17,9:02:10,0:02:10,0,0,0,0,0,,,,
8,13_07_17,9:02:20,0:02:20,2,2,29,31,0,,,,
8,13_07_17,9:02:30,0:02:30,0,1,19,19,0,,,,
8,13_07_17,9:02:40,0:02:40,0,0,0,0,0,,,,
8,13_07_17,9:02:50,0:02:50,0,0,0,0,0,,,,
8,13_07_17,9:03:00,0:03:00,0,0,0,0,0,,,,
8,13_07_17,9:03:10,0:03:10,0,0,0,0,0,,,,
8,13_07_17,9:03:20,0:03:20,0,1,4,4,0,,,,
8,13_07_17,9:03:30,0:03:30,1,0,0,1,0,,,,
8,13_07_17,9:03:40,0:03:40,0,0,0,0,0,,,,
8,13_07_17,9:03:50,0:03:50,0,0,0,0,0,,,,
8,13_07_17,9:04:00,0:04:00,1,0,0,1,0,,,,
8,13_07_17,9:04:10,0:04:10,0,0,0,0,0,,,,
8,13_07_17,9:04:20,0:04:20,0,0,0,0,0,,,,
8,13_07_17,9:04:30,0:04:30,1,0,0,1,0,,,,
8,13_07_17,9:04:40,0:04:40,1,0,0,1,0,,,,
8,13_07_17,9:04:50,0:04:50,2,0,0,2,0,,,,
8,13_07_17,15:00:00,0:00:00,1,0,0,1,0,,,,
8,13_07_17,15:00:10,0:00:10,0,0,0,0,1,Growl,,,
8,13_07_17,15:00:20,0:00:20,0,0,0,0,0,,,,
8,13_07_17,15:00:30,0:00:30,0,0,0,0,0,,,,
8,13_07_17,15:00:40,0:00:40,2,0,0,2,0,,,,
8,13_07_17,15:00:50,0:00:50,0,0,0,0,0,,,,
8,13_07_17,15:01:00,0:01:00,1,0,0,1,0,,,,
8,13_07_17,15:01:10,0:01:10,2,0,0,2,0,,,,
8,13_07_17,15:01:20,0:01:20,0,0,0,0,0,,,,
8,13_07_17,15:01:30,0:01:30,0,0,0,0,1,Buzz,,,
8,13_07_17,15:01:40,0:01:40,0,0,0,0,1,Buzz,,,
8,13_07_17,15:01:50,0:01:50,0,0,0,0,0,,,,
8,13_07_17,15:02:00,0:02:00,0,0,0,0,0,,,,
8,13_07_17,15:02:10,0:02:10,0,0,0,0,0,,,,
8,13_07_17,15:02:20,0:02:20,1,0,0,1,0,,1,,
8,13_07_17,15:02:30,0:02:30,0,0,0,0,0,,1,,
8,13_07_17,15:02:40,0:02:40,3,0,0,3,0,,,,
8,13_07_17,15:02:50,0:02:50,0,1,4,4,0,,1,,
8,13_07_17,15:03:00,0:03:00,0,0,0,0,0,,,,
8,13_07_17,15:03:10,0:03:10,0,0,0,0,0,,1,,
8,13_07_17,15:03:20,0:03:20,0,0,0,0,0,,,,
8,13_07_17,15:03:30,0:03:30,2,0,0,2,0,,,,
8,13_07_17,15:03:40,0:03:40,0,1,31,31,0,,,,
8,13_07_17,15:03:50,0:03:50,1,0,0,1,0,,,,
8,13_07_17,15:04:00,0:04:00,0,0,0,0,0,,,,
8,13_07_17,15:04:10,0:04:10,1,0,0,1,0,,,,
8,13_07_17,15:04:20,0:04:20,0,0,0,0,0,,,,
8,13_07_17,15:04:30,0:04:30,1,0,0,1,0,,,Big background noise,
8,13_07_17,15:04:40,0:04:40,0,0,0,0,0,,,,
8,13_07_17,15:04:50,0:04:50,0,1,2,2,0,,,,
8,13_07_17,21:00:00,0:00:00,1,0,0,1,0,,,,
8,13_07_17,21:00:10,0:00:10,0,0,0,0,0,,,,
8,13_07_17,21:00:20,0:00:20,1,0,0,1,0,,,,
8,13_07_17,21:00:30,0:00:30,0,1,5,5,1,Grunt,,,
8,13_07_17,21:00:40,0:00:40,0,0,0,0,0,,,,
8,13_07_17,21:00:50,0:00:50,0,0,0,0,0,,,,
8,13_07_17,21:01:00,0:01:00,0,2,13,13,0,,,,
8,13_07_17,21:01:10,0:01:10,0,0,0,0,0,,,,
8,13_07_17,21:01:20,0:01:20,0,0,0,0,0,,,,
8,13_07_17,21:01:30,0:01:30,0,0,0,0,0,,,,
8,13_07_17,21:01:40,0:01:40,0,1,2,2,0,,,,
8,13_07_17,21:01:50,0:01:50,1,0,0,1,0,,,,
8,13_07_17,21:02:00,0:02:00,1,0,0,1,0,,,,
8,13_07_17,21:02:10,0:02:10,0,0,0,0,0,,,,
8,13_07_17,21:02:20,0:02:20,0,0,0,0,0,,,,
8,13_07_17,21:02:30,0:02:30,0,0,0,0,0,,,,
8,13_07_17,21:02:40,0:02:40,1,0,0,1,0,,,,
8,13_07_17,21:02:50,0:02:50,0,4,14,14,0,,,,
8,13_07_17,21:03:00,0:03:00,0,2,6,6,0,,,,
8,13_07_17,21:03:10,0:03:10,2,0,0,2,0,,,,
8,13_07_17,21:03:20,0:03:20,0,1,3,3,0,,,,
8,13_07_17,21:03:30,0:03:30,0,1,4,4,0,,,,
8,13_07_17,21:03:40,0:03:40,0,1,4,4,0,,,,
8,13_07_17,21:03:50,0:03:50,0,1,10,10,0,,,,
8,13_07_17,21:04:00,0:04:00,0,1,8,8,0,,,,
8,13_07_17,21:04:10,0:04:10,0,1,3,3,0,,,,
8,13_07_17,21:04:20,0:04:20,0,2,7,7,0,,,,
8,13_07_17,21:04:30,0:04:30,2,2,8,10,0,,,,
8,13_07_17,21:04:40,0:04:40,0,0,0,0,1,Growl,,,
8,13_07_17,21:04:50,0:04:50,0,1,6,6,2,Buzz,,,
8,27_06_18,3:00:00,0:00:00,0,1,2,2,0,,,,
8,27_06_18,3:00:10,0:00:10,2,0,0,2,0,,,,
8,27_06_18,3:00:20,0:00:20,1,0,0,1,0,,,,
8,27_06_18,3:00:30,0:00:30,0,0,0,0,0,,,,
8,27_06_18,3:00:40,0:00:40,0,2,17,17,0,,,,
8,27_06_18,3:00:50,0:00:50,0,0,0,0,0,,,,
8,27_06_18,3:01:00,0:01:00,1,0,0,1,0,,,,
8,27_06_18,3:01:10,0:01:10,2,1,2,4,0,,,,
8,27_06_18,3:01:20,0:01:20,0,1,2,2,0,,,,
8,27_06_18,3:01:30,0:01:30,0,0,0,0,0,,,,
8,27_06_18,3:01:40,0:01:40,0,2,9,9,0,,,,
8,27_06_18,3:01:50,0:01:50,1,1,10,11,1,UNF,,,
8,27_06_18,3:02:00,0:02:00,0,2,7,7,0,,,,
8,27_06_18,3:02:10,0:02:10,3,1,9,12,0,,,,
8,27_06_18,3:02:20,0:02:20,0,2,5,5,0,,,,
8,27_06_18,3:02:30,0:02:30,0,2,15,15,0,,,,
8,27_06_18,3:02:40,0:02:40,0,3,16,16,1,UNF,,,
8,27_06_18,3:02:50,0:02:50,1,1,3,4,0,,,,
8,27_06_18,3:03:00,0:03:00,1,1,9,10,0,,,,
8,27_06_18,3:03:10,0:03:10,0,2,15,15,0,,,,
8,27_06_18,3:03:20,0:03:20,0,2,18,18,2,Grunt,,,
8,27_06_18,3:03:30,0:03:30,0,4,28,28,0,,,,
8,27_06_18,3:03:40,0:03:40,0,2,13,13,0,,,,
8,27_06_18,3:03:50,0:03:50,0,2,28,28,0,,,,
8,27_06_18,3:04:00,0:04:00,3,1,3,6,0,,,,
8,27_06_18,3:04:10,0:04:10,0,3,34,34,0,,,,
8,27_06_18,3:04:20,0:04:20,1,1,3,4,0,,,,
8,27_06_18,3:04:30,0:04:30,0,0,0,0,0,,,,
8,27_06_18,3:04:40,0:04:40,3,0,0,3,0,,,,
8,27_06_18,3:04:50,0:04:50,0,0,0,0,0,,,,
8,27_06_18,9:00:00,0:00:00,0,1,4,4,0,,,,
8,27_06_18,9:00:10,0:00:10,0,0,0,0,0,,,,
8,27_06_18,9:00:20,0:00:20,0,0,0,0,0,,,,
8,27_06_18,9:00:30,0:00:30,0,0,0,0,0,,,,
8,27_06_18,9:00:40,0:00:40,1,0,0,1,0,,,,
8,27_06_18,9:00:50,0:00:50,0,0,0,0,0,,,,
8,27_06_18,9:01:00,0:01:00,0,0,0,0,0,,,,
8,27_06_18,9:01:10,0:01:10,0,3,8,8,0,,,,
8,27_06_18,9:01:20,0:01:20,0,0,0,0,0,,,,
8,27_06_18,9:01:30,0:01:30,1,0,0,1,0,,,,
8,27_06_18,9:01:40,0:01:40,0,0,0,0,0,,,,
8,27_06_18,9:01:50,0:01:50,0,0,0,0,0,,,,
8,27_06_18,9:02:00,0:02:00,0,1,3,3,0,,,,
8,27_06_18,9:02:10,0:02:10,0,1,6,6,0,,,,
8,27_06_18,9:02:20,0:02:20,0,1,3,3,0,,,,
8,27_06_18,9:02:30,0:02:30,0,1,2,2,0,,,,
8,27_06_18,9:02:40,0:02:40,0,0,0,0,0,,,,
8,27_06_18,9:02:50,0:02:50,1,1,2,3,0,,,,
8,27_06_18,9:03:00,0:03:00,0,0,0,0,0,,,,
8,27_06_18,9:03:10,0:03:10,2,0,0,2,0,,,,
8,27_06_18,9:03:20,0:03:20,4,0,0,4,0,,,,
8,27_06_18,9:03:30,0:03:30,0,1,20,20,0,,,,
8,27_06_18,9:03:40,0:03:40,0,0,0,0,0,,,,
8,27_06_18,9:03:50,0:03:50,0,2,12,12,0,,,,
8,27_06_18,9:04:00,0:04:00,0,0,0,0,0,,,,
8,27_06_18,9:04:10,0:04:10,1,0,0,1,0,,,,
8,27_06_18,9:04:20,0:04:20,0,0,0,0,0,,,,
8,27_06_18,9:04:30,0:04:30,0,0,0,0,0,,,,
8,27_06_18,9:04:40,0:04:40,0,0,0,0,0,,,,
8,27_06_18,9:04:50,0:04:50,0,0,0,0,0,,,,
8,27_06_18,15:00:00,0:00:00,0,0,0,0,0,,,,
8,27_06_18,15:00:10,0:00:10,0,0,0,0,0,,,,
8,27_06_18,15:00:20,0:00:20,1,0,0,1,0,,,,
8,27_06_18,15:00:30,0:00:30,3,0,0,3,0,,,,
8,27_06_18,15:00:40,0:00:40,0,0,0,0,0,,,,
8,27_06_18,15:00:50,0:00:50,1,0,0,1,0,,2,,
8,27_06_18,15:01:00,0:01:00,0,0,0,0,0,,4,,
8,27_06_18,15:01:10,0:01:10,0,0,0,0,0,,2,,
8,27_06_18,15:01:20,0:01:20,0,0,0,0,0,,,,
8,27_06_18,15:01:30,0:01:30,0,0,0,0,0,,,,
8,27_06_18,15:01:40,0:01:40,1,0,0,1,0,,,,
8,27_06_18,15:01:50,0:01:50,0,0,0,0,0,,,,
8,27_06_18,15:02:00,0:02:00,0,0,0,0,0,,,,
8,27_06_18,15:02:10,0:02:10,0,0,0,0,0,,,,
8,27_06_18,15:02:20,0:02:20,0,0,0,0,1,Grunt,,,
8,27_06_18,15:02:30,0:02:30,0,0,0,0,0,,,,
8,27_06_18,15:02:40,0:02:40,0,0,0,0,0,,,,
8,27_06_18,15:02:50,0:02:50,0,0,0,0,0,,,,
8,27_06_18,15:03:00,0:03:00,2,0,0,2,0,,,,
8,27_06_18,15:03:10,0:03:10,0,0,0,0,1,Growl,,,
8,27_06_18,15:03:20,0:03:20,0,0,0,0,0,,,,
8,27_06_18,15:03:30,0:03:30,1,0,0,1,2,Grunt,,,
8,27_06_18,15:03:40,0:03:40,0,0,0,0,0,,,,
8,27_06_18,15:03:50,0:03:50,0,0,0,0,0,,,,
8,27_06_18,15:04:00,0:04:00,0,0,0,0,0,,,,
8,27_06_18,15:04:10,0:04:10,0,0,0,0,0,,,,
8,27_06_18,15:04:20,0:04:20,0,1,10,10,0,,,,
8,27_06_18,15:04:30,0:04:30,0,0,0,0,0,,,,
8,27_06_18,15:04:40,0:04:40,0,0,0,0,0,,,,
8,27_06_18,15:04:50,0:04:50,1,0,0,1,0,,,,
8,27_06_18,21:00:00,0:00:00,2,0,0,2,0,,,,
8,27_06_18,21:00:10,0:00:10,0,0,0,0,0,,,,
8,27_06_18,21:00:20,0:00:20,0,0,0,0,0,,7,,
8,27_06_18,21:00:30,0:00:30,0,0,0,0,0,,,,
8,27_06_18,21:00:40,0:00:40,0,1,5,5,1,Buzz,,,
8,27_06_18,21:00:50,0:00:50,2,0,0,2,1,Grunt,,,
8,27_06_18,21:01:00,0:01:00,0,0,0,0,0,,,,
8,27_06_18,21:01:10,0:01:10,0,0,0,0,0,,,,
8,27_06_18,21:01:20,0:01:20,1,0,0,1,0,,,,
8,27_06_18,21:01:30,0:01:30,1,0,0,1,0,,,,
8,27_06_18,21:01:40,0:01:40,0,0,0,0,0,,,,
8,27_06_18,21:01:50,0:01:50,0,0,0,0,1,Grunt,,,
8,27_06_18,21:02:00,0:02:00,0,0,0,0,0,,,,
8,27_06_18,21:02:10,0:02:10,1,2,6,7,0,,,,
8,27_06_18,21:02:20,0:02:20,1,0,0,1,4,Grunt,,,
8,27_06_18,21:02:30,0:02:30,0,0,0,0,11,Grunt,,Grunt-train - all in a row with regular spacing,
8,27_06_18,21:02:40,0:02:40,1,0,0,1,0,,,,
8,27_06_18,21:02:50,0:02:50,0,1,2,2,0,,,,
8,27_06_18,21:03:00,0:03:00,0,0,0,0,0,,,,
8,27_06_18,21:03:10,0:03:10,0,1,2,2,0,,,,
8,27_06_18,21:03:20,0:03:20,1,0,0,1,0,,,,
8,27_06_18,21:03:30,0:03:30,0,0,0,0,0,,,,
8,27_06_18,21:03:40,0:03:40,1,0,0,1,0,,,,
8,27_06_18,21:03:50,0:03:50,0,0,0,0,0,,,,
8,27_06_18,21:04:00,0:04:00,0,0,0,0,0,,,,
8,27_06_18,21:04:10,0:04:10,1,0,0,1,0,,,,
8,27_06_18,21:04:20,0:04:20,1,1,4,5,0,,,,
8,27_06_18,21:04:30,0:04:30,0,1,8,8,1,Buzz,,,
8,27_06_18,21:04:40,0:04:40,0,0,0,0,1,Buzz,,,
