Year,Month,Day,Hour,Minute,Date,Time,Snaps
2018,6,16,22,30,06/16/2018,22:30:00,1527
2018,6,16,22,45,06/16/2018,22:45:00,1525
2018,6,16,23,0,06/16/2018,23:00:00,1504
2018,6,16,23,15,06/16/2018,23:15:00,1485
2018,6,16,23,30,06/16/2018,23:30:00,1506
2018,6,16,23,45,06/16/2018,23:45:00,1527
2018,6,17,0,0,06/17/2018,00:00:00,1471
2018,6,17,0,15,06/17/2018,00:15:00,1509
2018,6,17,0,30,06/17/2018,00:30:00,1470
2018,6,17,0,45,06/17/2018,00:45:00,1526
2018,6,17,1,0,06/17/2018,01:00:00,1499
2018,6,17,1,15,06/17/2018,01:15:00,1498
2018,6,17,1,30,06/17/2018,01:30:00,1477
2018,6,17,1,45,06/17/2018,01:45:00,1523
2018,6,17,2,0,06/17/2018,02:00:00,1422
2018,6,17,2,15,06/17/2018,02:15:00,1451
2018,6,17,2,30,06/17/2018,02:30:00,1439
2018,6,17,2,45,06/17/2018,02:45:00,1498
2018,6,17,3,0,06/17/2018,03:00:00,1441
2018,6,17,3,15,06/17/2018,03:15:00,1421
2018,6,17,3,30,06/17/2018,03:30:00,1452
2018,6,17,3,45,06/17/2018,03:45:00,1479
2018,6,17,4,0,06/17/2018,04:00:00,1508
2018,6,17,4,15,06/17/2018,04:15:00,1520
2018,6,17,4,30,06/17/2018,04:30:00,1509
2018,6,17,4,45,06/17/2018,04:45:00,1558
2018,6,17,5,0,06/17/2018,05:00:00,1538
2018,6,17,5,15,06/17/2018,05:15:00,1478
2018,6,17,5,30,06/17/2018,05:30:00,1486
2018,6,17,5,45,06/17/2018,05:45:00,1502
2018,6,17,6,0,06/17/2018,06:00:00,1460
2018,6,17,6,15,06/17/2018,06:15:00,1510
2018,6,17,6,30,06/17/2018,06:30:00,1509
2018,6,17,6,45,06/17/2018,06:45:00,1525
2018,6,17,7,0,06/17/2018,07:00:00,1490
2018,6,17,7,15,06/17/2018,07:15:00,1426
2018,6,17,7,30,06/17/2018,07:30:00,1479
