,st.id,Year,SPL_BB,SPL_HF,SPL_Midrange,Hour,Site,Tot_Knocks,Num_L_calls,Num_Herbivory,Date,Snaps,
89,20_06_18-21_5,18,115.0372608,113.1043869,108.6187542,21,5,166,11,1,20_06_18,1424,High
94,20_06_18-3_5,18,120.4456887,119.9656353,108.7211719,3,5,61,0,0,20_06_18,1484,
119,21_07_17-9_5,17,118.269903,117.5742976,108.895358,9,5,153,1,0,21_07_17,1499,
19,12_07_17-9_5,17,117.4157203,116.5523234,108.9311251,9,5,196,3,0,12_07_17,1450,
79,19_07_17-9_5,17,118.2239767,117.432223,109.4668393,9,5,112,1,0,19_07_17,1549,
139,24_06_18-9_5,18,120.1455022,119.2550601,111.244335,9,5,42,0,0,24_06_18,1560,
179,26_06_18-9_5,18,121.1972395,120.4189354,111.7599728,9,5,153,1,0,26_06_18,1566,
159,25_06_18-9_5,18,120.6340977,119.7282087,111.9532315,9,5,65,0,0,25_06_18,1530,
199,27_06_18-9_5,18,121.1129006,120.1658378,112.590647,9,5,84,3,0,27_06_18,1505,
99,20_06_18-9_5,18,121.4436347,120.5840582,112.5946878,9,5,108,1,0,20_06_18,1543,
44,14_07_17-15_5,17,112.4301702,111.357697,102.0689501,15,5,73,2,15,14_07_17,1456,Low
74,19_07_17-3_5,17,117.635019,117.3574486,102.1005813,3,5,98,3,0,19_07_17,1458,
4,12_07_17-15_5,17,112.9327398,112.0258259,102.3868006,15,5,181,6,8,12_07_17,1486,
114,21_07_17-3_5,17,116.945409,116.5949822,102.5112703,3,5,47,1,0,21_07_17,1487,
49,14_07_17-21_5,17,112.4229006,111.2631575,102.7944556,21,5,140,1,0,14_07_17,1467,
54,14_07_17-3_5,17,116.9317302,116.5246765,103.8508397,3,5,170,7,0,14_07_17,1510,
29,13_07_17-21_5,17,116.080785,115.5745923,103.9094174,21,5,98,3,1,13_07_17,1415,
34,13_07_17-3_5,17,117.0319783,116.6337042,103.9127813,3,5,129,6,0,13_07_17,1512,
144,25_06_18-15_5,18,113.6475661,112.2914819,104.2156851,15,5,54,6,0,25_06_18,1441,
9,12_07_17-21_5,17,114.8013475,114.07603,104.2161732,21,5,180,7,2,12_07_17,1470,
