File,Snaps
1677987881.170706210002.wav,1382
1677987881.170706211002.wav,1419
1677987881.170706212002.wav,1464
1677987881.170706213002.wav,1406
1677987881.170706214002.wav,1422
1677987881.170706215002.wav,1478
1677987881.170706220002.wav,1415
1677987881.170706221002.wav,1454
1677987881.170706222002.wav,1494
1677987881.170706223002.wav,1415
1677987881.170706224002.wav,1448
1677987881.170706225002.wav,1420
1677987881.170706230002.wav,1423
1677987881.170706231002.wav,1432
1677987881.170706232002.wav,1454
1677987881.170706233002.wav,1412
1677987881.170706234002.wav,1481
1677987881.170706235002.wav,1430
1677987881.170707000002.wav,1462
1677987881.170707001002.wav,1456
1677987881.170707002002.wav,1394
1677987881.170707003002.wav,1461
1677987881.170707004002.wav,1471
1677987881.170707005002.wav,1423
1677987881.170707010002.wav,1424
1677987881.170707011002.wav,1414
1677987881.170707012002.wav,1426
1677987881.170707013002.wav,1428
1677987881.170707014002.wav,1459
1677987881.170707015002.wav,1436
1677987881.170707020002.wav,1308
1677987881.170707021002.wav,1434
1677987881.170707022002.wav,1448
1677987881.170707023002.wav,1488
1677987881.170707024002.wav,1487
1677987881.170707025002.wav,1428
1677987881.170707030002.wav,1423
1677987881.170707031002.wav,1424
1677987881.170707032002.wav,1482
1677987881.170707033002.wav,1446
1677987881.170707034002.wav,1486
1677987881.170707035002.wav,1454
1677987881.170707040002.wav,1381
1677987881.170707041002.wav,1435
1677987881.170707042002.wav,1439
1677987881.170707043002.wav,1455
1677987881.170707044002.wav,1453
1677987881.170707045002.wav,1425
1677987881.170707050002.wav,1424
1677987881.170707051002.wav,1484
1677987881.170707052002.wav,1396
1677987881.170707053002.wav,1424
1677987881.170707054002.wav,1470
1677987881.170707055002.wav,1440
1677987881.170707060002.wav,1428
1677987881.170707061002.wav,1538
1677987881.170707062002.wav,1452
1677987881.170707063002.wav,1489
1677987881.170707064002.wav,1452
1677987881.170707065002.wav,1445
1677987881.170707070002.wav,1416
1677987881.170707071002.wav,1429
1677987881.170707072002.wav,1427
1677987881.170707073002.wav,1521
1677987881.170707074002.wav,1417
1677987881.170707075002.wav,1460
1677987881.170707080002.wav,1408
1677987881.170707081002.wav,1423
1677987881.170707082002.wav,1462
1677987881.170707083002.wav,1480
1677987881.170707084002.wav,1487
1677987881.170707085002.wav,1429
1677987881.170707090002.wav,1528
1677987881.170707091002.wav,1547
1677987881.170707092002.wav,1563
1677987881.170707093002.wav,1560
1677987881.170707094002.wav,1560
1677987881.170707095002.wav,1514
1677987881.170707100002.wav,1490
1677987881.170707101002.wav,1414
1677987881.170707102002.wav,1480
1677987881.170707103002.wav,1488
1677987881.170707104002.wav,1424
1677987881.170707105002.wav,1452
1677987881.170707110002.wav,1423
1677987881.170707111002.wav,1470
1677987881.170707112002.wav,1453
1677987881.170707113002.wav,1408
1677987881.170707114002.wav,1423
1677987881.170707115002.wav,1434
1677987881.170707120002.wav,1452
1677987881.170707121002.wav,1446
1677987881.170707122002.wav,1494
1677987881.170707123002.wav,1407
1677987881.170707124002.wav,1424
1677987881.170707125002.wav,1435
1677987881.170707130002.wav,1485
1677987881.170707131002.wav,1384
1677987881.170707132002.wav,1392
1677987881.170707133002.wav,1450
1677987881.170707134002.wav,1445
1677987881.170707135002.wav,1461
1677987881.170707140002.wav,1369
1677987881.170707141002.wav,1328
1677987881.170707142002.wav,1299
1677987881.170707143002.wav,1503
1677987881.170707144002.wav,1348
1677987881.170707145002.wav,1380
1677987881.170707150002.wav,1394
1677987881.170707151002.wav,1459
1677987881.170707152002.wav,1441
1677987881.170707153002.wav,1392
1677987881.170707154002.wav,1426
1677987881.170707155002.wav,1460
1677987881.170707160002.wav,1527
1677987881.170707161002.wav,1426
1677987881.170707162002.wav,1487
1677987881.170707163002.wav,1502
1677987881.170707164002.wav,1449
1677987881.170707165002.wav,1373
1677987881.170707170002.wav,1455
1677987881.170707171002.wav,1449
1677987881.170707172002.wav,1457
1677987881.170707173002.wav,1514
1677987881.170707174002.wav,1481
1677987881.170707175002.wav,1425
1677987881.170707180002.wav,1466
1677987881.170707181002.wav,1483
1677987881.170707182002.wav,1429
1677987881.170707183002.wav,1430
1677987881.170707184002.wav,1462
1677987881.170707185002.wav,1460
1677987881.170707190002.wav,1419
1677987881.170707191002.wav,1453
1677987881.170707192002.wav,1443
1677987881.170707193002.wav,1458
1677987881.170707194002.wav,1419
1677987881.170707195002.wav,1487
1677987881.170707200002.wav,1530
1677987881.170707201002.wav,1393
1677987881.170707202002.wav,1481
1677987881.170707203002.wav,1407
1677987881.170707204002.wav,1389
1677987881.170707205002.wav,1517
1677987881.170707210002.wav,1446
1677987881.170707211002.wav,1470
1677987881.170707212002.wav,1413
1677987881.170707213002.wav,1426
1677987881.170707214002.wav,1450
1677987881.170707215002.wav,1486
1677987881.170707220002.wav,1443
1677987881.170707221002.wav,1437
1677987881.170707222002.wav,1501
1677987881.170707223002.wav,1435
1677987881.170707224002.wav,1465
1677987881.170707225002.wav,1447
1677987881.170707230002.wav,1459
1677987881.170707231002.wav,1451
1677987881.170707232002.wav,1464
1677987881.170707233002.wav,1516
1677987881.170707234002.wav,1501
1677987881.170707235002.wav,1429
1677987881.170708000002.wav,1409
1677987881.170708001002.wav,1444
1677987881.170708002002.wav,1405
1677987881.170708003002.wav,1424
1677987881.170708004002.wav,1470
1677987881.170708005002.wav,1486
1677987881.170708010002.wav,1437
1677987881.170708011002.wav,1495
1677987881.170708012002.wav,1437
1677987881.170708013002.wav,1485
1677987881.170708014002.wav,1465
1677987881.170708015002.wav,1443
1677987881.170708020002.wav,1430
1677987881.170708021002.wav,1463
1677987881.170708022002.wav,1445
1677987881.170708023002.wav,1403
1677987881.170708024002.wav,1496
1677987881.170708025002.wav,1398
1677987881.170708030002.wav,1478
1677987881.170708031002.wav,1397
1677987881.170708032002.wav,1432
1677987881.170708033002.wav,1435
1677987881.170708034002.wav,1434
1677987881.170708035002.wav,1503
1677987881.170708040002.wav,1480
1677987881.170708041002.wav,1461
1677987881.170708042002.wav,1477
1677987881.170708043002.wav,1431
1677987881.170708044002.wav,1441
1677987881.170708045002.wav,1510
1677987881.170708050002.wav,1502
1677987881.170708051002.wav,1458
1677987881.170708052002.wav,1453
1677987881.170708053002.wav,1523
1677987881.170708054002.wav,1455
1677987881.170708055002.wav,1439
1677987881.170708060002.wav,1510
1677987881.170708061002.wav,1458
1677987881.170708062002.wav,1529
1677987881.170708063002.wav,1456
1677987881.170708064002.wav,1436
1677987881.170708065002.wav,1420
1677987881.170708070002.wav,1514
1677987881.170708071002.wav,1455
1677987881.170708072002.wav,1533
1677987881.170708073002.wav,1466
1677987881.170708074002.wav,1429
1677987881.170708075002.wav,1448
1677987881.170708080002.wav,1479
1677987881.170708081002.wav,1441
1677987881.170708082002.wav,1455
1677987881.170708083002.wav,1469
1677987881.170708084002.wav,1533
1677987881.170708085002.wav,1483
1677987881.170708090002.wav,1543
1677987881.170708091002.wav,1544
1677987881.170708092002.wav,1547
1677987881.170708093002.wav,1505
1677987881.170708094002.wav,1481
1677987881.170708095002.wav,1489
1677987881.170708100002.wav,1465
1677987881.170708101002.wav,1456
1677987881.170708102002.wav,1457
1677987881.170708103002.wav,1474
1677987881.170708104002.wav,1476
1677987881.170708105002.wav,1482
1677987881.170708110002.wav,1491
1677987881.170708111002.wav,1449
1677987881.170708112002.wav,1200
1677987881.170708113002.wav,1480
1677987881.170708114002.wav,1508
1677987881.170708115002.wav,1402
1677987881.170708120002.wav,1479
1677987881.170708121002.wav,1489
1677987881.170708122002.wav,1463
1677987881.170708123002.wav,1458
1677987881.170708124002.wav,1282
1677987881.170708125002.wav,1422
1677987881.170708130002.wav,1458
1677987881.170708131002.wav,1537
1677987881.170708132002.wav,1455
1677987881.170708133002.wav,1455
1677987881.170708134002.wav,1507
1677987881.170708135002.wav,1479
1677987881.170708140002.wav,1413
1677987881.170708141002.wav,1411
1677987881.170708142002.wav,1463
1677987881.170708143002.wav,1410
1677987881.170708144002.wav,1443
1677987881.170708145002.wav,1476
1677987881.170708150002.wav,1450
1677987881.170708151002.wav,1476
1677987881.170708152002.wav,1463
1677987881.170708153002.wav,1487
1677987881.170708154002.wav,1409
1677987881.170708155002.wav,1451
1677987881.170708160002.wav,1439
1677987881.170708161002.wav,1499
1677987881.170708162002.wav,1486
1677987881.170708163002.wav,1424
1677987881.170708164002.wav,1498
1677987881.170708165002.wav,1287
1677987881.170708170002.wav,1479
1677987881.170708171002.wav,1495
1677987881.170708172002.wav,1387
1677987881.170708173002.wav,1439
1677987881.170708174002.wav,1459
1677987881.170708175002.wav,1392
