File,Snaps
1677987850.170705210002.wav,1398
1677987850.170705211002.wav,1410
1677987850.170705212002.wav,1336
1677987850.170705213002.wav,1451
1677987850.170705214002.wav,1432
1677987850.170705215002.wav,1468
1677987850.170705220002.wav,1493
1677987850.170705221002.wav,1514
1677987850.170705222002.wav,1494
1677987850.170705223002.wav,1464
1677987850.170705224002.wav,1495
1677987850.170705225002.wav,1480
1677987850.170705230002.wav,1497
1677987850.170705231002.wav,1481
1677987850.170705232002.wav,1456
1677987850.170705233002.wav,1462
1677987850.170705234002.wav,1485
1677987850.170705235002.wav,1476
1677987850.170706000002.wav,1433
1677987850.170706001002.wav,1461
1677987850.170706002002.wav,1464
1677987850.170706003002.wav,1420
1677987850.170706004002.wav,1471
1677987850.170706005002.wav,1477
1677987850.170706010002.wav,1471
1677987850.170706011002.wav,1494
1677987850.170706012002.wav,1449
1677987850.170706013002.wav,1420
1677987850.170706014002.wav,1453
1677987850.170706015002.wav,1446
1677987850.170706020002.wav,1450
1677987850.170706021002.wav,1460
1677987850.170706022002.wav,1412
1677987850.170706023002.wav,1531
1677987850.170706024002.wav,1476
1677987850.170706025002.wav,1477
1677987850.170706030002.wav,1532
1677987850.170706031002.wav,1481
1677987850.170706032002.wav,1464
1677987850.170706033002.wav,1469
1677987850.170706034002.wav,1483
1677987850.170706035002.wav,1432
1677987850.170706040002.wav,1429
1677987850.170706041002.wav,1442
1677987850.170706042002.wav,1455
1677987850.170706043002.wav,1453
1677987850.170706044002.wav,1384
1677987850.170706045002.wav,1480
1677987850.170706050002.wav,1503
1677987850.170706051002.wav,1526
1677987850.170706052002.wav,1501
1677987850.170706053002.wav,1489
1677987850.170706054002.wav,1494
1677987850.170706055002.wav,1493
1677987850.170706060002.wav,1444
1677987850.170706061002.wav,1498
1677987850.170706062002.wav,1460
1677987850.170706063002.wav,1520
1677987850.170706064002.wav,1491
1677987850.170706065002.wav,1452
1677987850.170706070002.wav,1493
1677987850.170706071002.wav,1467
1677987850.170706072002.wav,1458
1677987850.170706073002.wav,1480
1677987850.170706074002.wav,1381
1677987850.170706075002.wav,1464
1677987850.170706080002.wav,1426
1677987850.170706081002.wav,1454
1677987850.170706082002.wav,1466
1677987850.170706083002.wav,1475
1677987850.170706084002.wav,1462
1677987850.170706085002.wav,1422
1677987850.170706090002.wav,1494
1677987850.170706091002.wav,1501
1677987850.170706092002.wav,1455
1677987850.170706093002.wav,1441
1677987850.170706094002.wav,1426
1677987850.170706095002.wav,1446
1677987850.170706100002.wav,1413
1677987850.170706101002.wav,1448
1677987850.170706102002.wav,1432
1677987850.170706103002.wav,1437
1677987850.170706104002.wav,1432
1677987850.170706105002.wav,1482
1677987850.170706110002.wav,1445
1677987850.170706111002.wav,1429
1677987850.170706112002.wav,1414
1677987850.170706113002.wav,1439
1677987850.170706114002.wav,1431
1677987850.170706115002.wav,1424
1677987850.170706120002.wav,1478
1677987850.170706121002.wav,1425
1677987850.170706122002.wav,1418
1677987850.170706123002.wav,1419
1677987850.170706124002.wav,1485
1677987850.170706125002.wav,1433
1677987850.170706130002.wav,1399
1677987850.170706131002.wav,1406
1677987850.170706132002.wav,1444
1677987850.170706133002.wav,1425
1677987850.170706134002.wav,1431
1677987850.170706135002.wav,1457
1677987850.170706140002.wav,1485
1677987850.170706141002.wav,1411
1677987850.170706142002.wav,1435
1677987850.170706143002.wav,1395
1677987850.170706144002.wav,1460
1677987850.170706145002.wav,1361
1677987850.170706150002.wav,1346
1677987850.170706151002.wav,1415
1677987850.170706152002.wav,1348
1677987850.170706153002.wav,1411
1677987850.170706154002.wav,1377
1677987850.170706155002.wav,1398
1677987850.170706160002.wav,1388
