Time Stamp,ACI_BB,ACI_HF,ACI_Midrange,SPL_BB,SPL_HF,SPL_Midrange
180617113002,68093.52908,69245.34663,67790.87501,114.9052027,111.8070909,109.1215404
180617114502,63563.74792,64400.05535,64707.08569,113.9690672,111.4157165,107.7490936
180617120002,70453.17638,70867.67212,71519.11616,114.9107807,113.485443,106.4557947
180617121502,70041.41539,70113.40165,71511.06076,114.6438243,113.0795393,106.6259165
180617123002,72941.52861,69460.87218,94551.5799,114.8554037,111.274317,108.3756547
180617124502,69653.00226,69781.19877,69417.64995,113.683696,112.0707527,105.6260248
180617130002,69268.17453,69576.34692,65724.2606,113.0329771,111.0990708,105.6865295
180617131502,57905.64437,58132.1614,66947.94344,123.0805325,122.7912308,108.0444592
180617133002,71574.19084,71811.44401,72102.9226,116.5033346,115.2345699,108.1197943
180617134502,74203.66493,74326.92114,73323.17939,113.9017955,111.9918299,106.582217
180617140002,65677.32695,66065.19684,68592.2207,114.4014881,111.394085,108.991872
180617141502,62848.32656,62998.85463,68743.5679,113.9271275,112.4947165,105.0903144
180617143002,72904.00265,73200.1877,77618.07219,113.3691163,111.4392474,106.1048567
180617144502,61212.4337,61284.16175,67689.39998,114.2725829,112.863863,105.467494
180617150002,67179.82376,67333.66316,66296.15441,113.6278452,111.9850988,105.3415632
180617151502,66553.87221,66861.80133,74558.75061,113.174222,111.393363,105.2427913
180617153002,57021.86187,57116.08819,63797.36886,118.8235441,118.2262643,106.9630502
180617154502,60426.24379,60382.58225,66395.40044,113.5729434,110.7481683,108.3076208
180617160002,60592.93515,60874.2251,59580.82981,114.0261615,112.6661152,104.8862789
180617161502,73224.31121,73349.57492,67707.10316,113.4745565,111.511147,106.2351934
180617163002,57990.38517,58739.74885,62233.55076,114.6646722,110.9522049,108.4443226
180617164502,70324.28033,70937.89804,58607.79769,115.0546742,113.0850601,107.6644101
180617170002,59584.009,59957.57488,62788.39331,113.3791605,111.3438468,105.9937082
180617171502,71216.48877,71116.85393,89413.75935,113.5641999,111.9949866,105.0039409
180617173002,76127.5358,76382.9226,60971.25569,114.5652887,112.9586017,107.0087963
180617174502,69412.94438,69731.8463,61106.39746,113.4853387,111.5936038,106.2315745
180617180002,70274.09896,70684.56394,73190.75629,114.8152813,112.2167344,109.7055896
180617181502,71855.94026,71785.64886,78482.56303,115.3802096,112.6302592,110.7261048
180617183002,74476.86152,74358.53644,69518.99565,113.8319599,111.6473961,107.7075249
180617184502,72260.08558,72177.81902,87011.28006,116.4187788,114.3340898,110.8050585
180617190002,66902.61933,67132.60625,67890.1209,113.4867717,111.7931709,105.4952128
180617191502,59100.34462,59019.3872,71527.19534,113.2020682,111.517714,104.9499581
180617193002,67016.10746,67423.03117,75447.12223,113.2814874,111.2632858,106.2940187
180617194502,59955.98668,60107.88195,71613.57672,112.904168,110.4399465,106.606438
180617200002,60373.92239,60677.58046,61600.40501,113.418356,111.4227929,106.2833516
180617201502,62887.7394,62949.30694,68701.10679,113.5256483,111.8081831,105.7052352
180617203002,66775.49807,66947.94736,65227.03478,113.9031283,111.7897807,107.4427043
180617204502,61723.93217,61888.83945,61678.94424,113.5637164,111.783917,105.8602961
180617210002,72464.55598,72820.16215,67455.81915,114.3970564,112.1917962,108.3987234
180617211502,65515.10802,66021.98113,62632.81071,115.5586506,113.6443521,109.3010977
180617213002,70305.7819,70525.73037,85800.47402,116.116729,113.6303272,111.0298576
180617214502,64269.81648,64433.7538,64217.16156,118.0749854,116.4044294,111.5269664
180617220002,66333.94576,66494.25067,67716.62501,119.2725696,117.4956891,113.3338938
180617221502,58715.65965,59216.79531,56428.64069,119.864778,118.9675475,111.2936561
180617223002,63963.55778,64311.90423,72016.76009,119.9223698,118.8850119,111.8237005
180617224502,60730.9376,61402.61658,54125.8301,119.50342,118.0634096,112.6805347
180617230002,59314.45758,60216.20721,57845.84352,120.5702596,119.1732655,113.8446001
180617231502,64428.68178,65084.32079,64265.34119,119.8480559,118.2332472,113.5310682
180617233002,61690.24237,62111.35475,56475.81109,120.5501018,119.3234131,113.09933
180617234502,63562.09645,63780.93837,59289.37348,119.5104688,117.9973239,112.7913778
180618000002,58743.62841,58748.25211,56428.71739,119.0163622,117.9221166,110.7763911
180618001502,58158.62195,58391.53044,59397.10937,119.2702137,118.1441843,111.3063722
180618003002,72823.06713,73477.08989,62680.40484,118.8148981,117.7115159,110.6046723
180618004502,62347.46734,62387.68073,57828.40272,118.4752383,117.4048649,110.0728751
180618010002,62751.94568,63096.27249,59194.85917,118.586585,117.6977017,109.2722986
180618011502,68276.24255,68611.57578,57529.72829,119.0793131,118.4493821,108.2475297
180618013002,68714.97069,68996.70433,59486.45305,118.2729667,117.5906114,107.5612591
180618014502,63110.3985,63404.31745,62473.04735,118.3545291,117.7385585,107.1082903
180618020002,71578.67967,71651.49172,61415.75404,117.7706449,117.0699076,107.076332
180618021502,59809.80635,60105.62799,60673.3709,118.1815411,117.5752674,106.804636
180618023002,63231.82077,63473.41676,59270.44181,118.911842,118.3661564,107.1031554
180618024502,60923.55507,61182.34984,60804.6795,121.7312696,121.4616681,107.2092082
180618030002,65685.18872,65799.89096,53202.45359,118.4951202,117.9457289,106.7475733
180618031502,76449.5392,76579.54815,54488.20405,119.9019315,119.3277843,109.2536779
180618033002,59215.1802,59318.03772,68429.74976,118.8484717,118.1879046,107.9221122
180618034502,68882.58459,68905.19187,62498.75732,118.0781232,117.4552498,106.8098901
180618040002,63096.34304,63067.16387,64986.86969,118.0774507,117.4748035,106.7476825
180618041502,58810.14453,58885.93521,61254.59231,118.4359652,117.9040617,106.4488104
180618043002,64647.87816,64917.07976,60354.32264,119.2932596,118.8264293,106.9266019
180618044502,72897.61683,72927.88718,57416.9354,118.5868224,118.0638089,106.666492
180618050002,58856.85853,59109.81953,65947.40211,119.3081637,118.8573716,106.8624895
180618051502,59808.20631,59900.93169,64384.17393,117.9315084,117.3703125,105.9663869
180618053002,71220.89691,71739.78255,58678.733,119.5465219,119.130841,106.6631022
180618054502,62292.27167,62498.45239,57816.22636,119.0730666,118.657066,105.8352288
180618060002,68966.38652,69232.38653,61813.70031,118.2941896,117.7678624,106.0448625
180618061502,73696.61888,74274.46663,88045.63988,118.2927446,117.7584998,106.312544
180618063002,72311.38884,72441.42474,63888.82878,118.1193037,117.5194045,106.6442717
180618064502,56932.40032,57116.23914,58476.49944,118.6866461,118.1667421,106.6707643
180618070002,60737.24471,60833.95339,71635.22292,118.1823538,117.6723721,105.606708
180618071502,59498.28261,59613.897,65041.85578,118.8956767,118.4150827,106.6374665
180618073002,60069.46331,60548.65681,68661.41646,118.6439338,118.1885749,105.6656978
180618074502,65202.41503,65403.54064,62550.78411,118.8203991,118.3203455,106.7543972
180618080002,58098.71294,58131.25732,62442.50478,117.4992299,116.9121084,105.5162513
180618081502,64990.59043,65208.05725,66199.33008,118.7822625,118.3117114,106.0957115
180618083002,64052.04355,64183.81588,68872.6132,119.2295099,118.6665821,108.0894841
180618084502,61914.92472,62507.29004,74494.81126,119.4528424,118.5795607,110.4477513
180618090002,60837.07175,61135.75607,63117.87902,120.0040774,118.8602099,112.2025315
180618091502,68717.95603,69063.63724,59266.51515,118.7343877,117.4341606,111.3439459
180618093002,64242.30612,64433.31238,61585.04245,116.8135501,115.5875278,108.6383878
180618094502,61852.12966,62130.89083,64105.79072,118.2919187,117.4529238,108.6497187
180618100002,75536.24527,75510.05403,75233.10374,115.2694373,113.4021552,108.3727178
180618101502,64598.7448,64460.97675,73084.15031,117.0220991,115.9136671,108.6621419
180618103002,74246.38644,74462.69165,87357.43831,116.3244526,115.3665262,106.6168267
180618104502,72814.5005,72838.68956,76572.55554,114.5981308,113.2018941,106.1230872
180618110002,69686.74573,69805.21377,69652.75813,115.5427321,114.2745938,106.3771278
180618111502,57374.60594,57335.17687,60087.66966,115.112788,113.9887423,105.6586812
180618113002,63542.69511,63733.76616,66399.2145,114.8838411,113.7130741,105.568018
180618114502,61278.79678,61516.83665,60980.99276,115.7056636,114.7527094,105.3377081
180618120002,72456.02699,72396.89976,67809.29639,115.6814891,114.7322497,105.5925758
180618121502,63957.50678,63883.23965,60844.6692,114.6873823,113.4422265,105.7244468
180618123002,64859.55161,64734.95698,75978.22711,114.3723516,112.9579382,105.9450332
180618124502,64732.65382,64594.93242,65630.96766,115.7180477,114.6277207,106.5620005
180618130002,76122.96564,76015.99089,75606.02855,114.8630361,113.6354344,105.7290701
180618131502,68114.72806,68148.93658,59980.54487,114.2132088,112.8381811,105.489238
180618133002,60271.31512,60840.66382,68375.45035,114.6109753,113.121653,106.6155745
180618134502,74707.49174,74660.8124,68221.51679,114.0157584,112.345737,106.2852039
180618140002,62988.92899,62804.79667,61176.38117,113.85553,112.2948056,105.619065
180618141502,72882.99141,73017.34679,71648.52333,115.714313,114.5627076,106.8464027
180618143002,72637.39875,72691.6424,63331.81608,114.4169149,112.8431977,106.773653
180618144502,73768.66017,73756.97201,72363.08717,113.0958522,111.2924126,105.1938771
180618150002,60269.07234,60531.53462,69043.32214,113.7902498,112.384198,104.7115228
180618151502,66063.46784,66112.16002,71697.72882,115.9624481,114.6625734,107.9218405
180618153002,67182.32302,67252.82531,59907.88333,114.2951599,112.9375909,105.4737903
180618154502,65133.94161,65180.35566,62507.76665,114.3743623,113.0311133,105.5884948
180618160002,64937.95314,65051.9487,74338.43687,115.0664442,113.5655092,107.3790783
180618161502,80413.41156,80031.37295,71353.60487,115.3018509,113.875622,107.4577299
180618163002,66087.77813,65829.853,72783.64016,117.2769268,116.158584,109.1658559
180618164502,68856.74037,68672.87386,79273.74497,114.5099195,113.177722,105.900212
180618170002,67145.07991,66994.74397,65079.42648,114.5933343,112.7612783,107.7816852
180618171502,66247.76202,66770.95977,74273.86184,115.5070728,113.5631027,109.1688218
180618173002,62154.70105,62297.43896,75320.15583,114.8831681,113.2317406,107.7020284
180618174502,64732.20538,64918.55416,78623.60598,113.9373994,112.0268289,106.7639063
180618180002,69616.45408,69740.22315,68650.51641,115.6887829,114.2466796,108.113557
180618181502,68165.1065,68004.96456,69911.45132,115.3652204,114.320294,105.7972795
180618183002,66686.18409,66918.56448,57279.89403,114.5759569,113.0325177,106.9095254
180618184502,72013.86808,72046.01407,67578.34638,116.9477889,116.058907,107.2906864
180618190002,75133.16366,75185.81406,79722.87848,113.7016556,112.1649059,105.1481143
180618191502,61428.29267,61911.38221,72834.27783,113.7041356,112.2131973,104.8852599
180618193002,60612.30053,60892.99434,78652.84654,114.6118145,113.3919387,105.3643443
180618194502,63629.0464,63921.34565,78488.16092,114.425796,113.2138244,105.0278594
180618200002,60774.49954,61028.55281,75867.17692,114.5672265,113.181613,106.0765156
180618201502,63438.91945,63633.70108,63355.32515,114.4200126,113.0106107,105.9357174
180618203002,66670.30745,66876.66741,67879.4003,114.4805473,112.4699744,107.7548844
180618204502,58711.8517,59347.76721,74331.49259,114.4945618,112.8350884,106.973429
180618210002,67719.16699,68209.8034,67045.65106,115.6522942,113.9603204,108.8509243
180618211502,65077.79905,65183.38174,69333.9852,115.5469818,113.4150245,109.5972088
180618213002,66890.42668,67302.46412,63750.67012,115.9751249,113.5339194,110.8001795
180618214502,64625.56786,65226.36656,73545.3012,118.2157408,115.9004348,113.0718504
180618220002,62960.21337,63597.92954,67001.45834,121.5298404,120.15414,114.8797657
180618221502,64476.21038,64918.93658,69994.71534,121.5483584,120.9142635,111.7363629
180618223002,67537.90161,67702.45389,57540.25331,120.1139826,119.3464868,110.7269741
180618224502,61304.24807,61542.74337,60100.66354,120.1544556,119.2994469,111.1746093
180618230002,58525.34503,58770.40812,56644.57476,120.1273596,119.1306516,111.8650326
180618231502,59880.12677,60294.48384,63235.27725,120.7679621,119.4931329,113.7889222
180618233002,64124.4281,64530.50201,56257.06846,119.9930566,118.8847449,112.123967
180618234502,69707.01331,70052.37468,58577.27705,120.0889757,118.8947279,112.584434
180619000002,70827.01275,71050.49372,60868.09668,120.2513004,119.0714479,112.7210606
180619001502,67091.39987,67145.14927,58500.18935,120.2531799,119.1878998,112.2432292
180619003002,63356.80585,63943.63192,58749.77468,119.653004,118.3564663,112.355542
180619004502,57028.69975,57389.64246,58947.46421,119.7027171,118.4641677,112.248834
180619010002,60644.34488,60793.1352,59582.6558,119.1927381,118.2211343,110.4890191
180619011502,62658.52792,62858.62681,59006.471,120.696889,120.0240255,110.6738962
180619013002,67640.21593,67911.46941,63677.23732,119.37201,118.6375698,109.4978728
180619014502,59384.54601,59540.17353,61114.31612,119.3824207,118.8253646,107.9305746
180619020002,61472.51788,62450.55725,69928.5101,120.1329785,119.5850822,109.0634208
180619021502,67747.19583,67873.4651,63405.19382,119.9034571,119.2444915,109.4012017
180619023002,60585.82593,60478.39252,61151.7175,119.0642329,118.5229056,107.4891763
180619024502,64335.57985,64657.50565,71467.61751,120.6108761,120.1788147,108.5754446
180619030002,61324.80196,61487.6128,62696.31419,118.7947406,118.2367247,107.1581181
180619031502,58753.22554,58928.25912,61907.10355,120.2667373,119.8854084,106.9613937
180619033002,63833.34111,63873.22228,58353.01517,118.6899416,118.2021507,106.2527254
180619034502,59569.62889,59703.02188,62572.08956,118.7552783,118.1881522,107.0859539
180619040002,62324.08798,62342.56887,65283.90061,118.7436234,118.2430575,106.464065
180619041502,63963.70584,64044.01156,64291.26533,119.8151384,119.3785543,107.3712651
180619043002,60432.7093,60445.71842,62958.3313,119.4775364,119.0713636,106.3167479
180619044502,62203.89302,62578.53818,61563.40267,119.2771246,118.8367047,106.639324
180619050002,65125.99833,65218.93713,68463.34917,119.2566532,118.853034,105.9903604
180619051502,63162.47602,63258.00669,57189.61453,118.7364541,118.2711262,106.0157113
180619053002,59541.797,59481.92639,63264.84404,118.7325553,118.2757166,105.9451101
180619054502,65469.06577,65627.24544,64353.13911,118.9191804,118.3531899,107.7205436
180619060002,62570.8195,62613.28535,56767.0356,119.1829624,118.7088865,106.9545309
180619061502,64413.40652,64407.80326,54700.40634,119.4182221,119.0373635,105.853986
180619063002,64750.67039,64790.90141,72441.19272,119.6356451,119.1001175,108.4276719
180619064502,64170.84302,64203.12192,61685.62325,119.2451279,118.8450096,105.8199508
