,CREDSpecies,CoarseFG,FineFG,Classifier,Date Classified,Reference,Notes
Labridae,Cheilinus chlorourus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Cheilinus fasciatus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Cheilinus oxycephalus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Cheilinus sp.,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Cheilinus trilobatus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Cheilinus undulatus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Cheilio inermis,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Cirrhilabrus exquisitus,Planktivore,Diurnal planktivore,MD,05/07/2013,Randall,
Labridae,Cirrhilabrus jordani,Planktivore,Diurnal planktivore,MD,05/07/2013,Randall,
Labridae,Cirrhilabrus katherinae,Planktivore,Diurnal planktivore,MD,05/07/2013,Randall,
Labridae,Cirrhilabrus punctatus,Planktivore,Diurnal planktivore,MD,05/07/2013,Randall,
Labridae,Cirrhilabrus sp,Planktivore,Diurnal planktivore,MD,05/07/2013,Randall,
Labridae,Cirrhilabrus temminckii,Planktivore,Diurnal planktivore,MD,05/07/2013,Randall,
Labridae,Coris aygula,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Coris ballieui,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Coris centralis,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Coris dorsomacula,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Coris flavovittata,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Coris gaimard,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Coris venusta,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Cymolutes lecluse,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Cymolutes praetextatus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Epibulus insidiator,Carnivore,Generalist carnivore,MD,05/07/2013,Randall,"Feeds on small fish, benthic inverts"
Labridae,Gomphosus varius,Carnivore,Generalist carnivore,MD,05/07/2013,Randall,"Feeds on small fish, benthic inverts"
Labridae,Halichoeres biocellatus,Carnivore,Invertivore,MD,05/07/2013,Wainwright,
Labridae,Halichoeres hortulanus,Carnivore,Invertivore,MD,05/07/2013,Wainwright,
Labridae,Halichoeres margaritaceus,Carnivore,Invertivore,MD,05/07/2013,Wainwright,
Labridae,Halichoeres marginatus,Carnivore,Invertivore,MD,05/07/2013,Wainwright,
Labridae,Halichoeres melanurus,Carnivore,Invertivore,MD,05/07/2013,Wainwright,
Labridae,Halichoeres melasmapomus,Carnivore,Invertivore,MD,05/07/2013,Wainwright,
Labridae,Halichoeres ornatissimus,Carnivore,Invertivore,MD,05/07/2013,Wainwright,
Labridae,Halichoeres prosopeion,Carnivore,Invertivore,MD,05/07/2013,Wainwright,
Labridae,Halichoeres sp,Carnivore,Invertivore,MD,05/07/2013,Wainwright,
Labridae,Halichoeres trimaculatus,Carnivore,Invertivore,MD,05/07/2013,Wainwright,
Labridae,Hemigymnus fasciatus,Carnivore,Invertivore,MD,05/07/2013,Randall,Feeds on microfauna in the sand
Labridae,Hemigymnus melapterus,Carnivore,Invertivore,MD,05/07/2013,Randall,Feeds on microfauna in the sand
Labridae,Hologymnosus annulatus,Carnivore,Diurnal piscivore,MD,05/07/2013,Randall,
Labridae,Hologymnosus doliatus,Carnivore,Generalist carnivore,MD,05/07/2013,Randall,"Feeds on fish, benthic crustaceans"
Labridae,Iniistius aneitensis,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Iniistius pavo,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Iniistius umbrilatus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Labrichthys unilineatus,Carnivore,Corallivore,MD,05/07/2013,Graham et al 2011,
Labridae,Labridae sp,Carnivore,NA,MD,05/07/2013,,Too much variation within the family to give fine FG
Labridae,Labroides bicolor,Carnivore,Ectoparasites,MD,05/07/2013,Randall,
Labridae,Labroides dimidiatus,Carnivore,Ectoparasites,MD,05/07/2013,Randall,
Labridae,Labroides pectoralis,Carnivore,Ectoparasites,MD,27/06/2013,Randall,
Labridae,Labroides phthirophagus,Carnivore,Ectoparasites,MD,27/06/2013,Randall,
Labridae,Labroides rubrolabiatus,Carnivore,Ectoparasites,MD,27/06/2013,Randall,
Labridae,Labropsis xanthonota,Carnivore,Corallivore,MD,02/07/2013,Graham et al 2011,
Labridae,Macropharyngodon geoffroy,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Macropharyngodon meleagris,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Novaculichthys taeniourus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Oxycheilinus bimaculatus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Oxycheilinus digramma,Carnivore,Diurnal piscivore,MD,05/07/2013,Randall,
Labridae,Oxycheilinus rhodochrous,Carnivore,Diurnal piscivore,MD,05/07/2013,Randall,
Labridae,Oxycheilinus sp.,Carnivore,Diurnal piscivore,MD,05/07/2013,Randall,
Labridae,Oxycheilinus unifasciatus,Carnivore,Diurnal piscivore,MD,05/07/2013,Randall,
Labridae,Pseudocheilinus evanidus,Carnivore,Generalist carnivore,MD,05/07/2013,Randall,"Feeds on fish, benthic crustaceans"
Labridae,Pseudocheilinus hexataenia,Carnivore,Invertivore,MD,05/07/2013,Graham et al 2011,
Labridae,Pseudocheilinus octotaenia,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Pseudocheilinus tetrataenia,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Pseudocoris aurantiofasciata,Planktivore,Diurnal planktivore,MD,05/07/2013,Randall,
Labridae,Pseudocoris heteroptera,Planktivore,Diurnal planktivore,MD,05/07/2013,Randall,
Labridae,Pseudocoris yamashiroi,Planktivore,Diurnal planktivore,MD,05/07/2013,Randall,
Labridae,Pseudodax moluccanus,Omnivore,Benthic omnivore,MD,05/07/2013,Randall,"Algae + crabs, sponges, worms"
Labridae,Pseudojuloides atavai,Carnivore,Invertivore,MD,05/07/2013,,"No dietary data found, assumed from Randall's family description"
Labridae,Pseudojuloides cerasinus,Carnivore,Invertivore,MD,05/07/2013,,"No dietary data found, assumed from Randall's family description"
Labridae,Pteragogus cryptus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Pteragogus enneacanthus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Stethojulis balteata,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Stethojulis bandanensis,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Stethojulis strigiventer,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Stethojulis trilineata,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Thalassoma amblycephalum,Planktivore,Diurnal planktivore,MD,05/07/2013,Randall,
Labridae,Thalassoma ballieui,Carnivore,Generalist carnivore,MD,05/07/2013,Sanderson,"Feeds on fish, benthic inverts"
Labridae,Thalassoma duperrey,Carnivore,Generalist carnivore,MD,05/07/2013,Sanderson,"Feeds on fish, benthic inverts"
Labridae,Thalassoma duperrey/lutescens hybrid,Carnivore,Invertivore,MD,05/07/2013,,Assumed from parental species
Labridae,Thalassoma hardwicke,Carnivore,Invertivore,MD,05/07/2013,Graham et al 2011,
Labridae,Thalassoma lunare,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Thalassoma lutescens,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Thalassoma nigrofasciatum,NA,NA,MD,05/07/2013,,No dietary data found
Labridae,Thalassoma purpureum,Carnivore,Generalist carnivore,MD,05/07/2013,Randall,"Feeds on fish, benthic inverts"
Labridae,Thalassoma quinquevittatum,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Thalassoma sp,NA,NA,MD,05/07/2013,,Variation in the genus â€“ cannot make assumption
Labridae,Thalassoma trilobatum,Carnivore,Invertivore,MD,05/07/2013,Randall,
Lethrinidae,Gnathodentex aureolineatus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Lethrinidae,Lethrinus harak,Carnivore,Invertivore,MD,05/07/2013,Randall,
Lethrinidae,Lethrinus obsoletus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Lethrinidae,Lethrinus olivaceus,Carnivore,Generalist carnivore,MD,05/07/2013,Randall,"Feeds on fish, benthic crustaceans"
Lethrinidae,Lethrinus rubrioperculatus,Carnivore,Diurnal piscivore,MD,05/07/2013,Trianni and Tenorio,
Lethrinidae,Lethrinus sp,NA,NA,MD,05/07/2013,,
Lethrinidae,Lethrinus xanthochilus,Carnivore,Generalist carnivore,MD,05/07/2013,Randall,"Feeds on fish, crabs, echinoids"
Lethrinidae,Monotaxis grandoculis,Carnivore,Invertivore,MD,05/07/2013,Randall,
Lutjanidae,Aphareus furca,Carnivore,Nocturnal piscivore,MD,05/07/2013,Randall,
Lutjanidae,Aprion virescens,Carnivore,Nocturnal piscivore,MD,05/07/2013,Randall,
Lutjanidae,Lutjanus bohar,Carnivore,Nocturnal piscivore,MD,05/07/2013,Randall,Also feeds on crustaceans and cephalopods
Lutjanidae,Lutjanus fulvus,Carnivore,Generalist carnivore,MD,05/07/2013,Randall,"Feeds on fish, benthic crustaceans"
Lutjanidae,Lutjanus gibbus,Carnivore,Generalist carnivore,MD,05/07/2013,Randall,"Feeds on fish, benthic inverts"
Lutjanidae,Lutjanus kasmira,Carnivore,Invertivore,MD,05/07/2013,Randall,
Lutjanidae,Lutjanus monostigma,Carnivore,Nocturnal piscivore,MD,05/07/2013,Randall,
Lutjanidae,Lutjanus semicinctus,Carnivore,Generalist carnivore,MD,05/07/2013,FishBase,"Feeds on fish, benthic crustaceans"
Lutjanidae,Macolor macularis,Planktivore,Nocturnal planktivore,MD,05/07/2013,Randall,
Lutjanidae,Macolor niger,Planktivore,Nocturnal planktivore,MD,05/07/2013,Randall,
Malacanthidae,Hoplolatilus starcki,Planktivore,Diurnal planktivore,MD,05/07/2013,Randall,
Malacanthidae,Malacanthus brevirostris,Carnivore,Invertivore,MD,05/07/2013,Randall,Assumed from genus
Malacanthidae,Malacanthus latovittatus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Microdesmidae,Gunnellichthys curiosus,Planktivore,Diurnal planktivore,MD,05/07/2013,Randall,
Microdesmidae,Microdesmidae sp,NA,NA,MD,05/07/2013,Randall,Cannot classify â€“ variation in the family
Monacanthidae,Aluterus scriptus,Omnivore,Benthic omnivore,MD,05/07/2013,Randall,
Monacanthidae,Amanses scopas,Carnivore,Corallivore,MD,05/07/2013,Randall,
Monacanthidae,Cantherhines dumerilii,Carnivore,Corallivore,MD,05/07/2013,Randall,
Monacanthidae,Cantherhines pardalis,Carnivore,Invertivore,MD,05/07/2013,Randall,
Monacanthidae,Cantherhines sandwichiensis,Herbivore,Cropper,MD,05/07/2013,Randall,Ingests corals as well as detritus and algae
Monacanthidae,Cantherhines verecundus,Omnivore,Benthic omnivore,MD,05/07/2013,Hutchins and Randall,"Sponges, algae, benthic inverts"
Monacanthidae,Monacanthidae sp,NA,NA,MD,05/07/2013,,Cannot classify â€“ variation in the family
Monacanthidae,Oxymonacanthus longirostris,Carnivore,Corallivore,MD,05/07/2013,Randall,
Monacanthidae,Paraluteres prionurus,Omnivore,Benthic omnivore,MD,05/07/2013,Randall,
Monacanthidae,Pervagor aspricaudus,Omnivore,Benthic omnivore,MD,05/07/2013,Randall,Assumed from genus
Monacanthidae,Pervagor janthinosoma,Omnivore,Benthic omnivore,MD,05/07/2013,Randall,
Monacanthidae,Pervagor marginalis,Omnivore,Benthic omnivore,MD,05/07/2013,Randall,Assumed from genus
Monacanthidae,Pervagor melanocephalus,Omnivore,Benthic omnivore,MD,05/07/2013,Randall,Assumed from genus
Monacanthidae,Pervagor sp,Omnivore,Benthic omnivore,MD,05/07/2013,Randall,Assumed from genus
Monacanthidae,Pervagor spilosoma,Omnivore,Benthic omnivore,MD,05/07/2013,Randall,Assumed from genus
Mullidae,Mullidae sp,Carnivore,Invertivore,MD,05/07/2013,,Assumed from family
Mullidae,Mulloidichthys flavolineatus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Mullidae,Mulloidichthys mimicus,Carnivore,Invertivore,MD,05/07/2013,Randall,Assumed from genus
Mullidae,Mulloidichthys pfluegeri,Carnivore,Invertivore,MD,05/07/2013,Randall,
Mullidae,Mulloidichthys vanicolensis,Carnivore,Invertivore,MD,05/07/2013,Randall,
Mullidae,Parupeneus barberinus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Mullidae,Parupeneus chrysonemus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Mullidae,Parupeneus crassilabris,Carnivore,Invertivore,MD,05/07/2013,Randall,
Mullidae,Parupeneus cyclostomus,Carnivore,Diurnal piscivore,MD,05/07/2013,Randall,
Mullidae,Parupeneus insularis,Carnivore,Invertivore,MD,05/07/2013,Randall,
Mullidae,Parupeneus multifasciatus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Mullidae,Parupeneus pleurostigma,Carnivore,Invertivore,MD,05/07/2013,Randall,
Mullidae,Parupeneus porphyreus,Carnivore,Invertivore,MD,05/07/2013,,Assumed from genus
Muraenidae,Echidna nebulosa,Carnivore,Invertivore,MD,05/07/2013,Randall,
Muraenidae,Enchelycore pardalis,Carnivore,Nocturnal piscivore,MD,05/07/2013,Randall,
Muraenidae,Gymnomuraena zebra,Carnivore,Invertivore,MD,05/07/2013,Randall,
Muraenidae,Gymnothorax breedeni,Carnivore,Nocturnal piscivore,MD,05/07/2013,Randall,
Muraenidae,Gymnothorax eurostus,Carnivore,Generalist carnivore,MD,05/07/2013,Randall,"Feeds on fish, benthic crustaceans"
Muraenidae,Gymnothorax flavimarginatus,Carnivore,Nocturnal piscivore,MD,05/07/2013,Randall,Also feeds on crustaceans
Muraenidae,Gymnothorax javanicus,Carnivore,Nocturnal piscivore,MD,05/07/2013,Randall,
Muraenidae,Gymnothorax meleagris,Carnivore,Nocturnal piscivore,MD,05/07/2013,Randall,
Muraenidae,Gymnothorax sp,Carnivore,Nocturnal piscivore,MD,05/07/2013,,Assumed from genus
Muraenidae,Gymnothorax steindachneri,Carnivore,Nocturnal piscivore,MD,05/07/2013,,Assumed from genus
Muraenidae,Gymnothorax undulatus,Carnivore,Nocturnal piscivore,MD,05/07/2013,Randall,
Muraenidae,Muraenidae sp,Carnivore,NA,MD,05/07/2013,,Cannot classify further â€“ variation in the family
Myliobatidae,Aetobatus narinari,Carnivore,Invertivore,MD,05/07/2013,Randall,
Mobulidae,Manta birostris,Planktivore,Diurnal planktivore,MD,05/07/2013,Randall,
Holocentridae,Myripristinae sp,Planktivore,Nocturnal planktivore,MD,05/07/2013,Randall,
Holocentridae,Myripristis berndti,Planktivore,Nocturnal planktivore,MD,05/07/2013,Randall,
Nemipteridae,Pentapodus caninus,Omnivore,Pelagic omnivore,MD,05/07/2013,Randall,"Feeds on small fish, macroplankton, benthic inverts; free swimming"
Nemipteridae,Scolopsis lineata,Omnivore,Pelagic omnivore,MD,05/07/2013,Randall,"Feeds on small fish, macroplankton, benthic inverts; free swimming"
Ophichthidae,Myrichthys magnificus,NA,NA,MD,05/07/2013,,No dietary data found
Oplegnathidae,Oplegnathus fasciatus,Carnivore,Invertivore,MD,05/07/2013,,
Oplegnathidae,Oplegnathus punctatus,Carnivore,Invertivore,MD,05/07/2013,,Assumed from genus
Ostraciidae,Lactoria fornasini,Carnivore,Invertivore,MD,05/07/2013,,Assumed from genus
Ostraciidae,Ostraciidae sp,Omnivore,Benthic omnivore,MD,05/07/2013,,Assumed from family
Ostraciidae,Ostracion cubicus,Omnivore,Benthic omnivore,MD,05/07/2013,Randall,"Feeds on algae, tunicates, sponge, inverts"
Ostraciidae,Ostracion meleagris,Omnivore,Benthic omnivore,MD,05/07/2013,Randall,"Feeds on inverts, algae, tunicates"
Ostraciidae,Ostracion whitleyi,Omnivore,Benthic omnivore,MD,05/07/2013,,Assumed from genus
Pempheridae,Pempheris oualensis,Planktivore,Nocturnal planktivore,MD,05/07/2013,Randall,
Pinguipedidae,Parapercis clathrata,Carnivore,Generalist carnivore,MD,05/07/2013,Sano,
Pinguipedidae,Parapercis millepunctata,Carnivore,Generalist carnivore,MD,05/07/2013,,Assumed from genus
Pinguipedidae,Parapercis schauinslandii,Carnivore,Generalist carnivore,MD,05/07/2013,,Assumed from genus
Pinguipedidae,Pinguipedidae sp,Carnivore,Generalist carnivore,MD,05/07/2013,,Assumed from family
Polynemidae,Polydactylus sexfilis,Carnivore,Invertivore,MD,05/07/2013,Randall,
Pomacanthidae,Apolemichthys arcuatus,Carnivore,Invertivore,MD,05/07/2013,,Assumed from genus
Pomacanthidae,Apolemichthys griffisi,Carnivore,Invertivore,MD,05/07/2013,Randall,Feeds on sponges and tunicates
Pomacanthidae,Apolemichthys trimaculatus,Carnivore,Invertivore,MD,05/07/2013,Randall,Feeds on sponges and tunicates
Pomacanthidae,Apolemichthys xanthopunctatus,Carnivore,Invertivore,MD,05/07/2013,Randall,Feeds on sponges and tunicates
Pomacanthidae,Centropyge bicolor,Herbivore,Cropper,MD,03/07/2013,Randall; Green and Bellwood,
Pomacanthidae,Centropyge bispinosa,Herbivore,Cropper,MD,03/07/2013,Randall; Green and Bellwood,
Pomacanthidae,Centropyge fisheri,Herbivore,Cropper,MD,03/07/2013,Randall; Green and Bellwood,
Pomacanthidae,Centropyge flavissima,Herbivore,Cropper,MD,03/07/2013,Randall; Green and Bellwood,
Pomacanthidae,Centropyge heraldi,Herbivore,Cropper,MD,03/07/2014,Randall; Green and Bellwood,
Pomacanthidae,Centropyge interruptus,Herbivore,Cropper,MD,03/07/2015,Randall; Green and Bellwood,
Pomacanthidae,Centropyge loricula,Herbivore,Cropper,MD,03/07/2016,Randall; Green and Bellwood,
Pomacanthidae,Centropyge multicolor,Herbivore,Cropper,MD,03/07/2017,Randall; Green and Bellwood,
Pomacanthidae,Centropyge multifasciata,Herbivore,Cropper,MD,03/07/2018,Randall; Green and Bellwood,
Pomacanthidae,Centropyge potteri,Herbivore,Cropper,MD,03/07/2019,Randall; Green and Bellwood,
Pomacanthidae,Centropyge shepardi,Herbivore,Cropper,MD,03/07/2020,Randall; Green and Bellwood,
Pomacanthidae,Centropyge vrolikii,Herbivore,Cropper,MD,03/07/2021,Randall; Green and Bellwood,
Pomacanthidae,Genicanthus personatus,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacanthidae,Genicanthus watanabei,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacanthidae,Pomacanthidae sp,NA,NA,MD,05/07/2013,,Cannot classify further â€“ variation in the family
Pomacanthidae,Pomacanthus imperator,Omnivore,Benthic omnivore,MD,03/07/2013,Randall,"(3 specimens = 95% sponge, 5% algae; 1 specimen = 65% s, 30% a, 5% gorgonian)"
Pomacanthidae,Pygoplites diacanthus,Omnivore,Benthic omnivore,MD,03/07/2013,Randall,Consumes sponges â€“ where does that fit in??????
Pomacentridae,Abudefduf abdominalis,Planktivore,Diurnal planktivore,MD,03/07/2013,Tyler III and Stanton,
Pomacentridae,Abudefduf septemfasciatus,Omnivore,Benthic omnivore,MD,03/07/2013,Randall,Consumes algae + benthic crustaceans and limpets
Pomacentridae,Abudefduf sexfasciatus,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall; Bruno et al,Copepods + algae + shrimps + polychaete larvae
Pomacentridae,Abudefduf sordidus,Omnivore,Benthic omnivore,MD,27/06/2013,Randall,"Algae + crabs, sponges, worms"
Pomacentridae,Abudefduf vaigiensis,Planktivore,Diurnal planktivore,MD,03/07/2013,Bruno et al,Zooplankton with minimal algae and invertebrates
Pomacentridae,Amblyglyphidodon curacao,Omnivore,Pelagic omnivore,MD,03/07/2013,Randall,Feeds on zooplankton and algae
Pomacentridae,Amphiprion chrysopterus,Planktivore,Diurnal planktivore,MD,03/07/2013,Holbrook and Schmitt,
Pomacentridae,Amphiprion clarkii,Planktivore,Diurnal planktivore,MD,03/07/2013,Fautin and Allen,
Pomacentridae,Amphiprion melanopus,Planktivore,Diurnal planktivore,MD,03/07/2013,Fautin and Allen,
Pomacentridae,Amphiprion perideraion,Omnivore,Pelagic omnivore,MD,03/07/2013,Fautin and Allen,Consumes zooplankton + algae (grazed and midwater)
Pomacentridae,Chromis acares,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacentridae,Chromis agilis,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacentridae,Chromis alpha,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacentridae,Chromis amboinensis,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacentridae,Chromis atripectoralis,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacentridae,Chromis caudalis,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacentridae,Chromis fumea,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacentridae,Chromis hanui,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacentridae,Chromis iomelas,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacentridae,Chromis lepidolepis,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacentridae,Chromis margaritifer,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacentridae,Chromis ovalis,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacentridae,Chromis ternatensis,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacentridae,Chromis vanderbilti,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacentridae,Chromis verater,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacentridae,Chromis viridis,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacentridae,Chromis weberi,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacentridae,Chromis xanthura,Planktivore,Diurnal planktivore,MD,03/07/2013,Randall,
Pomacentridae,Chrysiptera biocellata,Omnivore,Benthic omnivore,MD,03/07/2013,Randall,"Feeds mainly on algae, occasionally on crustaceans and polychaete worms"
Pomacentridae,Chrysiptera brownriggii,Omnivore,Benthic omnivore,MD,03/07/2013,Randall; Bruno,
Pomacentridae,Chrysiptera cyanea,Omnivore,Omnivorous planktivore,MD,03/07/2013,FishBase,
Pomacentridae,Chrysiptera glauca,Omnivore,Benthic omnivore,MD,03/07/2013,Randall; Bruno,"Feeds mainly on algae, occasionally on crustaceans and polychaete worms"
Pomacentridae,Chrysiptera taupou,Omnivore,Omnivorous planktivore,MD,27/06/2013,FishBase,
Pomacentridae,Chrysiptera traceyi,Omnivore,Omnivorous planktivore,MD,27/06/2013,FishBase,
Pomacentridae,Dascyllus albisella,Omnivore,Diurnal planktivore,MD,03/07/2013,Mann and Sancho,
Pomacentridae,Dascyllus aruanus,Planktivore,Diurnal planktivore,MD,03/07/2013,Bruno,
Pomacentridae,Dascyllus auripinnis,Planktivore,Diurnal planktivore,MD,04/07/2013,,
Pomacentridae,Dascyllus reticulatus,Planktivore,Diurnal planktivore,MD,04/07/2013,Randall,
Pomacentridae,Dascyllus trimaculatus,Planktivore,Diurnal planktivore,MD,04/07/2013,Bruno,
Pomacentridae,Lepidozygus tapeinosoma,Planktivore,Diurnal planktivore,MD,04/07/2013,Randall,
Pomacentridae,Neopomacentrus metallicus,Planktivore,Diurnal planktivore,MD,04/07/2013,,
Pomacentridae,Plectroglyphidodon dickii,Omnivore,Herbivore/Corallivore,MD,04/07/2013,Randall,
Pomacentridae,Plectroglyphidodon imparipennis,Planktivore,Diurnal planktivore,MD,04/07/2013,Randall,
Pomacentridae,Plectroglyphidodon johnstonianus,Carnivore,Corallivore,MD,04/07/2013,Randall,
Pomacentridae,Plectroglyphidodon lacrymatus,Herbivore,Cropper,MD,04/07/2013,Randall,
Pomacentridae,Plectroglyphidodon leucozonus,Herbivore,Cropper,MD,04/07/2013,Randall,
Pomacentridae,Plectroglyphidodon phoenixensis,Herbivore,Cropper,MD,04/07/2013,FishBase,
Pomacentridae,Plectroglyphidodon sindonis,Herbivore,Cropper,MD,04/07/2013,FishBase,
Pomacentridae,Pomacentridae sp,NA,NA,MD,04/07/2013,,Variation in the family â€“ cannot make assumption
Pomacentridae,Pomacentrus brachialis,Omnivore,Cropper/Diurnal planktivore,MD,04/07/2013,Randall,
Pomacentridae,Pomacentrus coelestis,Planktivore,Diurnal planktivore,MD,04/07/2013,Kuo and Shao,
Pomacentridae,Pomacentrus pavo,Planktivore,Diurnal planktivore,MD,04/07/2013,Randall,
Pomacentridae,Pomacentrus samoa,NA,NA,MD,04/07/2013,,No records found of this species
Pomacentridae,Pomacentrus vaiuli,Omnivore,Cropper/Diurnal planktivore,MD,04/07/2013,Randall,
Pomacentridae,Pomachromis guamensis,Planktivore,Diurnal planktivore,MD,04/07/2013,Allen and Larson,
Pomacentridae,Pomachromis richardsoni,Planktivore,Diurnal planktivore,MD,04/07/2013,Randall,
Pomacentridae,Stegastes albifasciatus,Herbivore,Cropper,MD,04/07/2013,Randall,
Pomacentridae,Stegastes aureus,Herbivore,Cropper,MD,04/07/2013,Randall,
Pomacentridae,Stegastes fasciolatus,Herbivore,Cropper,MD,04/07/2013,Randall,
Pomacentridae,Stegastes nigricans,Herbivore,Cropper,MD,04/07/2013,Randall,
Pomacentridae,Stegastes sp,Herbivore,Cropper,MD,04/07/2013,Randall,
Priacanthidae,Heteropriacanthus cruentatus,Planktivore,Nocturnal planktivore,MD,05/07/2013,Randall,
Priacanthidae,Priacanthus meeki,Planktivore,Nocturnal planktivore,MD,05/07/2013,Randall,
Priacanthidae,Priacanthus sp,Planktivore,Nocturnal planktivore,MD,05/07/2013,,Assumed from genus
Pseudochromidae,Pseudochromis jamesi,Carnivore,Invertivore,MD,05/07/2013,FishBase,
Ptereleotridae,Nemateleotris helfrichi,Planktivore,Diurnal planktivore,MD,05/07/2013,Randall,
Ptereleotridae,Nemateleotris magnifica,Planktivore,Diurnal planktivore,MD,05/07/2013,Randall,
Ptereleotridae,Ptereleotris evides,Planktivore,Diurnal planktivore,MD,05/07/2013,Randall,
Ptereleotridae,Ptereleotris heteroptera,Planktivore,Diurnal planktivore,MD,05/07/2013,Randall,
Ptereleotridae,Ptereleotris microlepis,Planktivore,Diurnal planktivore,MD,05/07/2013,Randall,
Ptereleotridae,Ptereleotris zebra,Planktivore,Diurnal planktivore,MD,05/07/2013,Randall,
Scaridae,Bolbometopon muricatum,Herbivore,Excavator,MD,04/07/2013,Green and Bellwood,
Scaridae,Calotomus carolinus,Herbivore,Scraper,MD,04/07/2013,Green and Bellwood,
Scaridae,Calotomus zonarchus,Herbivore,Scraper,MD,04/07/2013,Green and Bellwood,
Scaridae,Cetoscarus ocellatus,Herbivore,Excavator,MD,04/07/2013,Randall,
Scaridae,Chlorurus frontalis,Herbivore,Excavator,MD,04/07/2013,Green and Bellwood,
Scaridae,Chlorurus japanensis,Herbivore,Excavator,MD,04/07/2013,Green and Bellwood,
Scaridae,Chlorurus microrhinos,Herbivore,Excavator,MD,04/07/2013,Green and Bellwood,
Scaridae,Chlorurus perspicillatus,Herbivore,Excavator,MD,04/07/2013,Green and Bellwood,
Scaridae,Chlorurus sordidus,Herbivore,Excavator,MD,04/07/2013,Green and Bellwood,
Scaridae,Chlorurus sp,Herbivore,Excavator,MD,04/07/2013,Randall,
Scaridae,Hipposcarus longiceps,Herbivore,Scraper,MD,04/07/2013,Green and Bellwood,
