Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
4	Spectrogram 1	1	44.303201539	44.359698714	468.085	1021.277	703.125	553.191		0.0565	-58.86	1	714.844	-71.50	44.3333	-23.423		
5	Spectrogram 1	1	78.182674114	78.239171289	489.362	1000.000	691.406	510.638		0.0565	-57.69	1	750.000	-70.89	78.2031	-22.252		
6	Spectrogram 1	1	95.310734391	95.376647762	85.106	1283.688	210.938	1198.582		0.0659	-56.31	2	199.219	-64.58	95.3385	-17.854		
7	Spectrogram 1	1	88.502824786	88.559321961	439.716	1439.716	796.875	1000.000		0.0565	-58.00	2	785.156	-69.27	88.5208	-19.549		
8	Spectrogram 1	1	92.259886933	92.306967912	460.993	1517.730	820.312	1056.738		0.0471	-56.07	1	785.156	-71.01	92.2760	-20.624		
9	Spectrogram 1	1	121.233521611	121.299434982	368.794	1127.660	667.969	758.865		0.0659	-55.54	2	656.250	-66.01	121.2604	-17.085		
10	Spectrogram 1	1	209.171374501	209.227871676	404.255	1546.099	656.250	1141.844		0.0565	-58.35	1	562.500	-72.37	209.1979	-22.913		
11	Spectrogram 1	1	184.272942769	184.367104727	404.255	1120.567	691.406	716.312		0.0942	-58.28	2	656.250	-70.81	184.2969	-19.829		
12	Spectrogram 1	1	285.575470528	285.660216291	390.071	1170.213	714.844	780.142		0.0847	-54.10	3	726.562	-62.63	285.6146	-13.888		
13	Spectrogram 1	1	292.949086086	293.005583261	361.702	1219.858	574.219	858.156		0.0565	-56.39	1	515.625	-69.02	292.9792	-20.953		
14	Spectrogram 1	1	294.954735803	295.378464617	787.234	1425.532	1042.969	638.298		0.4237	-79.93	11	843.750	-87.80	295.3490	-34.080		
