Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
1	Spectrogram 1	1	9.943502770	14.999999946	56.738	1014.184	210.938	957.447		5.0565	-68.80	139	58.594	-61.17	13.1615	-11.927		Mid_Selection
2	Spectrogram 1	1	27.099811513	27.156308688	78.014	687.943	187.500	609.929		0.0565	-54.94	1	164.062	-64.70	27.1250	-19.502		
3	Spectrogram 1	1	48.615818937	48.681732308	163.121	1035.461	632.812	872.340		0.0659	-53.37	2	703.125	-64.54	48.6354	-14.924		
4	Spectrogram 1	1	63.126176644	63.182673819	382.979	1276.596	656.250	893.617		0.0565	-62.43	2	574.219	-73.65	63.1458	-23.977		
5	Spectrogram 1	1	69.929819419	75.005148986	92.199	1092.199	269.531	1000.000		5.0753	-69.98	139	187.500	-72.63	72.8073	-13.107		Mid_Selection
6	Spectrogram 1	1	93.187400329	93.253313700	283.688	1815.603	632.812	1531.915		0.0659	-58.57	2	562.500	-71.50	93.2240	-20.118		
7	Spectrogram 1	1	101.993895705	102.040976684	361.702	1092.199	574.219	730.496		0.0471	-64.80	1	445.312	-77.74	102.0104	-29.359		
8	Spectrogram 1	1	108.696349681	108.743430660	326.241	1460.993	621.094	1134.752		0.0471	-61.24	1	585.938	-76.43	108.7187	-25.800		
9	Spectrogram 1	1	163.150750872	163.226080439	418.440	1099.291	609.375	680.851		0.0753	-67.77	3	527.344	-76.86	163.1875	-27.563		
10	Spectrogram 1	1	129.950391116	135.006888291	56.738	1056.738	246.094	1000.000		5.0565	-68.99	139	187.500	-69.73	131.7604	-12.122		Mid_Selection
11	Spectrogram 1	1	168.411378005	168.477291376	326.241	1255.319	597.656	929.078		0.0659	-65.28	2	527.344	-75.58	168.4375	-26.827		
13	Spectrogram 1	1	219.494689633	219.570019200	319.149	1574.468	597.656	1255.319		0.0753	-57.99	2	550.781	-68.50	219.5521	-19.537		
14	Spectrogram 1	1	189.942709607	194.989790586	63.830	1063.830	457.031	1000.000		5.0471	-67.51	139	562.500	-71.57	193.1562	-10.643		Mid_Selection
15	Spectrogram 1	1	253.189960254	253.246457429	56.738	773.050	199.219	716.312		0.0565	-57.29	2	199.219	-64.27	253.2031	-18.840		
16	Spectrogram 1	1	148.751845962	149.505141631	673.759	1652.482	1042.969	978.723		0.7533	-80.85	20	785.156	-88.93	149.4792	-32.400		Reference
