Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
1	Spectrogram 1	1	9.952919026	15.000000005	56.738	1056.738	199.219	1000.000		5.0471	-69.69	139	164.062	-67.66	14.0000	-12.817		Mid_Selection
2	Spectrogram 1	1	17.729602758	17.776683738	226.950	822.695	445.312	595.745		0.0471	-64.77	1	445.312	-77.94	17.7552	-29.331		
3	Spectrogram 1	1	96.306008274	96.343673057	99.291	453.901	257.812	354.610		0.0377	-63.36	1	304.688	-75.19	96.3229	-27.924		
4	Spectrogram 1	1	155.074541783	155.121622763	134.752	659.574	328.125	524.823		0.0471	-62.10	1	199.219	-74.60	155.0937	-26.659		
5	Spectrogram 1	1	171.469422548	171.516503527	92.199	418.440	210.938	326.241		0.0471	-61.00	1	210.938	-70.33	171.5000	-25.562		
6	Spectrogram 1	1	183.864766720	183.921263896	297.872	851.064	597.656	553.191		0.0565	-69.82	1	632.812	-83.23	183.8958	-34.382		
7	Spectrogram 1	1	198.567738288	198.614819267	418.440	787.234	562.500	368.794		0.0471	-69.72	1	574.219	-80.77	198.5885	-34.280		
8	Spectrogram 1	1	197.249470868	197.315384239	127.660	581.560	234.375	453.901		0.0659	-63.15	2	199.219	-70.74	197.2760	-24.703		
9	Spectrogram 1	1	237.200849674	237.276179241	120.567	765.957	316.406	645.390		0.0753	-60.56	2	175.781	-70.35	237.2344	-22.109		
10	Spectrogram 1	1	241.288445652	241.354359023	148.936	1219.858	503.906	1070.922		0.0659	-58.80	2	468.750	-70.67	241.3177	-20.349		
11	Spectrogram 1	1	234.291615470	234.348112646	42.553	808.511	292.969	765.957		0.0565	-60.51	1	304.688	-73.57	234.3177	-25.074		
12	Spectrogram 1	1	189.518818348	189.725974657	460.993	1156.028	832.031	695.035		0.2072	-84.32	5	480.469	-93.45	189.5833	-41.887		Reference
13	Spectrogram 1	1	189.989628141	195.064957708	78.014	1078.014	222.656	1000.000		5.0753	-69.50	139	210.938	-68.25	192.7552	-12.625		Mid_Selection
14	Spectrogram 1	1	129.941494014	135.026239777	70.922	1070.922	210.938	1000.000		5.0847	-70.56	139	175.781	-68.37	131.1406	-13.687		Mid_Selection
15	Spectrogram 1	1	69.940133301	75.015462868	35.461	1035.461	140.625	1000.000		5.0753	-68.64	139	46.875	-63.20	69.9635	-11.769		Mid_Selection
