Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
14	Spectrogram 1	1	10.002922491	15.087668254	41.667	1020.833	128.906	979.167		5.0847	-69.38	139	46.875	-65.85	10.2448	-12.510		Mid_Selection
15	Spectrogram 1	1	129.938932333	135.033094291	62.500	1000.000	234.375	937.500		5.0942	-72.02	139	164.062	-71.66	130.5208	-15.152		Mid_Selection
16	Spectrogram 1	1	189.952934688	195.047096646	62.500	1006.944	210.938	944.444		5.0942	-69.98	139	117.188	-70.83	194.2500	-13.106		Mid_Selection
1	Spectrogram 1	1	38.813559274	38.860640253	497.899	1203.782	773.438	705.882		0.0471	-57.63	1	820.312	-71.86	38.8281	-22.187		
2	Spectrogram 1	1	67.709706600	67.756787580	302.521	1008.403	597.656	705.882		0.0471	-54.65	1	609.375	-68.48	67.7396	-19.206		
4	Spectrogram 1	1	91.480953308	91.518618092	560.924	1058.824	796.875	497.899		0.0377	-63.74	1	832.031	-76.88	91.5104	-28.297		
5	Spectrogram 1	1	101.629930344	101.667595128	258.403	794.118	492.188	535.714		0.0377	-59.11	1	468.750	-71.22	101.6458	-23.667		
6	Spectrogram 1	1	180.005182495	180.061679670	56.723	636.555	199.219	579.832		0.0565	-57.95	1	199.219	-68.16	180.0312	-22.507		
7	Spectrogram 1	1	195.274416843	195.349746410	69.328	680.672	199.219	611.345		0.0753	-49.40	2	199.219	-55.64	195.3073	-10.946		
8	Spectrogram 1	1	210.560603705	210.635933272	403.361	1102.941	738.281	699.580		0.0753	-57.63	2	738.281	-70.13	210.5833	-19.184		
9	Spectrogram 1	1	246.513913255	246.551578038	94.538	441.176	222.656	346.639		0.0377	-60.48	1	234.375	-70.66	246.5312	-25.038		
10	Spectrogram 1	1	280.933204617	280.980285596	88.235	529.412	222.656	441.176		0.0471	-58.86	1	234.375	-69.36	280.9479	-23.419		
11	Spectrogram 1	1	293.581251787	293.637748962	321.429	1594.538	609.375	1273.109		0.0565	-60.90	2	550.781	-72.18	293.5990	-22.453		
13	Spectrogram 1	1	69.945642248	75.002139423	27.778	1006.944	46.875	979.167		5.0565	-67.12	139	35.156	-67.67	72.9167	-10.251		
17	Spectrogram 1	1	188.408678567	190.084761430	576.389	1291.667	949.219	715.278		1.6761	-83.23	46	621.094	-86.69	188.7812	-31.160		Reference
