Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
1	Spectrogram 1	1	9.934086575	15.018832338	70.922	1070.922	234.375	1000.000		5.0847	-70.94	139	351.562	-68.99	14.3646	-14.065		Mid_Selection_
2	Spectrogram 1	1	42.263544539	42.320041714	77.465	457.746	199.219	380.282		0.0565	-60.76	1	199.219	-69.58	42.2917	-25.316		
3	Spectrogram 1	1	49.137367515	49.184448494	126.761	457.746	199.219	330.986		0.0471	-62.61	2	199.219	-67.84	49.1458	-24.163		
4	Spectrogram 1	1	106.621688253	106.687601624	91.549	492.958	246.094	401.408		0.0659	-60.90	2	246.094	-68.55	106.6771	-22.449		
5	Spectrogram 1	1	112.838633321	113.045789630	70.423	1028.169	410.156	957.746		0.2072	-65.66	5	246.094	-74.02	113.0208	-23.228		Grunt
6	Spectrogram 1	1	195.717888124	195.774385299	70.423	880.282	187.500	809.859		0.0565	-57.18	1	187.500	-67.19	195.7448	-21.737		
7	Spectrogram 1	1	202.003618185	202.041282969	49.296	774.648	199.219	725.352		0.0377	-58.93	1	152.344	-70.05	202.0156	-23.487		
8	Spectrogram 1	1	249.818452605	249.884365976	408.451	1500.000	703.125	1091.549		0.0659	-60.26	1	679.688	-75.54	249.8490	-24.824		
9	Spectrogram 1	1	258.170002510	258.235915881	105.634	591.549	281.250	485.915		0.0659	-61.63	2	281.250	-66.82	258.1979	-23.176		
10	Spectrogram 1	1	284.150218287	284.225547854	161.972	500.000	281.250	338.028		0.0753	-61.06	2	234.375	-69.10	284.1927	-22.608		
11	Spectrogram 1	1	265.908698355	265.955779334	56.338	450.704	199.219	394.366		0.0471	-58.08	1	117.188	-68.88	265.9271	-22.642		
12	Spectrogram 1	1	239.769805921	239.816886900	338.028	1063.380	726.562	725.352		0.0471	-55.97	1	750.000	-69.32	239.7865	-20.530		
13	Spectrogram 1	1	242.241594472	242.759485244	577.465	1295.775	902.344	718.310		0.5179	-83.11	14	914.062	-92.61	242.7396	-36.208		Reference
14	Spectrogram 1	1	69.951051524	75.007548699	84.507	1084.507	246.094	1000.000		5.0565	-71.39	139	375.000	-68.91	73.5365	-14.523		Mid_Selection
15	Spectrogram 1	1	129.937903455	135.022649218	77.465	1077.465	210.938	1000.000		5.0847	-70.24	139	128.906	-62.09	130.2292	-13.368		
16	Spectrogram 1	1	189.947540924	195.004038099	28.169	1028.169	105.469	1000.000		5.0565	-66.79	139	140.625	-65.25	194.8698	-9.914		Mid_Selection
