Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
1	Spectrogram 1	1	285.451898642	285.498979622	374.118	1108.235	703.125	734.118		0.0471	-50.76	1	691.406	-64.33	285.4687	-15.319		
2	Spectrogram 1	1	277.052914476	277.109411651	338.824	1171.765	703.125	832.941		0.0565	-55.51	1	738.281	-69.11	277.0833	-20.067		
3	Spectrogram 1	1	264.690176732	264.746673908	360.000	1094.118	714.844	734.118		0.0565	-55.75	1	761.719	-69.76	264.7240	-20.311		
4	Spectrogram 1	1	247.568120425	247.615201404	352.941	1270.588	609.375	917.647		0.0471	-55.50	1	550.781	-69.25	247.5885	-20.063		
5	Spectrogram 1	1	242.569979098	242.626476273	296.471	967.059	656.250	670.588		0.0565	-53.64	1	621.094	-66.24	242.5937	-18.204		
6	Spectrogram 1	1	227.876854913	227.923935892	458.824	1016.471	714.844	557.647		0.0471	-52.33	1	738.281	-66.00	227.9010	-16.891		
7	Spectrogram 1	1	223.178173180	223.225254160	77.647	571.765	246.094	494.118		0.0471	-53.63	1	234.375	-64.64	223.1979	-18.193		
9	Spectrogram 1	1	201.669025476	201.706690259	84.706	938.824	246.094	854.118		0.0377	-51.18	1	175.781	-62.86	201.6875	-15.736		
10	Spectrogram 1	1	188.599345631	188.655842806	451.765	1094.118	750.000	642.353		0.0565	-54.60	1	761.719	-68.06	188.6354	-19.160		
11	Spectrogram 1	1	62.968509119	63.025006294	317.647	1065.882	609.375	748.235		0.0565	-50.62	1	585.938	-64.23	63.0000	-15.177		
12	Spectrogram 1	1	36.403860113	37.759792317	35.294	557.647	210.938	522.353		1.3559	-57.57	37	117.188	-60.03	36.5677	-6.446		
