Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
1	Spectrogram 1	1	73.983051023	74.039548198	404.255	1638.298	785.156	1234.043		0.0565	-55.30	1	656.250	-71.42	74.0104	-19.857		
2	Spectrogram 1	1	85.870361189	85.917442168	205.674	794.326	480.469	588.652		0.0471	-54.37	1	234.375	-67.16	85.8958	-18.933		
3	Spectrogram 1	1	138.992111575	139.058024946	375.887	886.525	621.094	510.638		0.0659	-49.69	2	632.812	-58.86	139.0156	-11.238		
4	Spectrogram 1	1	150.530630825	150.605960392	418.440	893.617	656.250	475.177		0.0753	-55.01	2	656.250	-63.35	150.5729	-16.562		
5	Spectrogram 1	1	188.963784957	189.029698328	439.716	858.156	644.531	418.440		0.0659	-51.08	1	644.531	-61.75	189.0000	-15.641		
6	Spectrogram 1	1	225.279705268	225.345618639	475.177	943.262	667.969	468.085		0.0659	-51.47	1	644.531	-62.63	225.3125	-16.024		
7	Spectrogram 1	1	262.592671354	262.639752333	368.794	893.617	609.375	524.823		0.0471	-49.77	1	667.969	-63.02	262.6094	-14.327		
8	Spectrogram 1	1	24.618749834	24.684663205	262.411	1269.504	644.531	1007.092		0.0659	-51.76	2	632.812	-59.29	24.6458	-13.309		
9	Spectrogram 1	1	95.211647658	95.268144833	304.965	1737.589	703.125	1432.624		0.0565	-55.73	2	656.250	-68.23	95.2292	-17.278		
10	Spectrogram 1	1	130.814125244	130.880038615	368.794	716.312	574.219	347.518		0.0659	-54.80	1	527.344	-66.89	130.8490	-19.358		
11	Spectrogram 1	1	275.404555967	276.308510769	624.113	1205.674	820.312	581.560		0.9040	-75.43	25	644.531	-83.00	276.0625	-26.011		
