Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
1	Spectrogram 1	1	15.828889260	15.894802631	113.475	546.099	257.812	432.624		0.0659	-50.50	1	269.531	-61.07	15.8594	-15.055		
2	Spectrogram 1	1	20.640565343	20.687646322	120.567	617.021	281.250	496.454		0.0471	-54.42	1	316.406	-66.13	20.6719	-18.982		
3	Spectrogram 1	1	64.425875744	64.482372919	92.199	822.695	269.531	730.496		0.0565	-52.22	1	246.094	-64.58	64.4583	-16.775		
4	Spectrogram 1	1	160.207418900	160.254499879	404.255	1333.333	667.969	929.078		0.0471	-57.63	1	480.469	-71.04	160.2344	-22.187		
5	Spectrogram 1	1	231.049706948	231.106204123	432.624	1567.376	691.406	1134.752		0.0565	-57.12	1	621.094	-70.40	231.0729	-21.682		
6	Spectrogram 1	1	241.593957132	241.631621915	432.624	1148.936	703.125	716.312		0.0377	-59.85	1	562.500	-74.31	241.6094	-24.409		
7	Spectrogram 1	1	267.846578727	267.893659706	319.149	1042.553	609.375	723.404		0.0471	-60.85	1	550.781	-75.12	267.8594	-25.409		
8	Spectrogram 1	1	118.197469443	118.282215205	248.227	780.142	339.844	531.915		0.0847	-58.08	3	292.969	-64.33	118.2344	-17.869		
9	Spectrogram 1	1	197.547751373	197.594832352	113.475	1191.489	562.500	1078.014		0.0471	-44.07	1	222.656	-57.11	197.5677	-8.630		
10	Spectrogram 1	1	205.088457179	205.135538158	141.844	375.887	234.375	234.043		0.0471	-54.40	1	222.656	-62.25	205.1146	-18.959		
11	Spectrogram 1	1	28.304537350	28.850676710	865.248	1595.745	1113.281	730.496		0.5461	-74.97	15	1054.688	-81.52	28.4375	-27.766		
