Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
1	Spectrogram 1	1	92.382297774	92.438794949	352.941	1355.294	703.125	1002.353		0.0565	-58.90	2	527.344	-70.70	92.4219	-20.444		
2	Spectrogram 1	1	138.032015265	138.088512440	204.706	967.059	585.938	762.353		0.0565	-52.00	1	667.969	-66.43	138.0677	-16.564		
3	Spectrogram 1	1	235.191055007	235.256968378	268.235	1214.118	691.406	945.883		0.0659	-58.46	2	667.969	-69.92	235.2292	-20.005		
4	Spectrogram 1	1	252.951057384	253.007554559	352.941	1397.647	656.250	1044.706		0.0565	-52.66	1	457.031	-67.45	252.9844	-17.218		
5	Spectrogram 1	1	268.418278821	268.474775996	317.647	1609.412	667.969	1291.765		0.0565	-50.56	1	621.094	-66.03	268.4427	-15.115		
6	Spectrogram 1	1	290.469121779	290.535035150	381.176	1157.647	656.250	776.471		0.0659	-42.41	1	644.531	-54.44	290.5000	-6.973		
7	Spectrogram 1	1	169.722344741	169.788258112	338.824	1108.235	621.094	769.411		0.0659	-44.23	2	597.656	-53.95	169.7500	-5.782		
8	Spectrogram 1	1	131.955132625	132.011629800	367.059	1094.118	644.531	727.059		0.0565	-52.53	1	562.500	-65.48	131.9792	-17.094		
9	Spectrogram 1	1	103.505446849	103.561944024	70.588	395.294	222.656	324.706		0.0565	-53.45	1	152.344	-64.02	103.5417	-18.008		
10	Spectrogram 1	1	69.064606189	69.121103364	296.471	1249.412	644.531	952.941		0.0565	-36.35	1	632.812	-48.41	69.0885	-0.913		
11	Spectrogram 1	1	217.047452157	217.621840104	974.118	1574.118	1207.031	600.000		0.5744	-77.06	16	1464.844	-84.98	217.1094	-29.581		Reference
