Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
10	Spectrogram 1	1	53.600139843	53.656637018	184.397	709.220	410.156	524.823		0.0565	-65.08	1	210.938	-78.11	53.6302	-29.637		
11	Spectrogram 1	1	74.659635022	74.697299805	184.397	822.695	410.156	638.298		0.0377	-63.07	1	199.219	-77.64	74.6667	-27.625		
12	Spectrogram 1	1	73.887506962	73.925171745	70.922	631.206	363.281	560.284		0.0377	-58.89	1	433.594	-73.05	73.9010	-23.449		
13	Spectrogram 1	1	196.169541941	196.254287704	127.660	468.085	234.375	340.426		0.0847	-64.54	2	234.375	-72.13	196.2187	-26.089		
14	Spectrogram 1	1	239.325301847	239.381799023	113.475	652.482	199.219	539.007		0.0565	-59.19	1	210.938	-68.07	239.3490	-23.754		
15	Spectrogram 1	1	255.464203565	255.548949328	120.567	553.191	187.500	432.624		0.0847	-64.24	2	175.781	-71.21	255.5000	-25.786		
9	Spectrogram 1	1	38.392864256	38.524690998	106.383	851.064	269.531	744.681		0.1318	-62.63	3	269.531	-70.96	38.4635	-22.423		Chirp
1	Spectrogram 1	1	9.937302956	14.984383935	42.553	1021.277	152.344	978.723		5.0471	-69.89	139	58.594	-66.98	10.3542	-13.018		Mid_Selection
2	Spectrogram 1	1	69.907554317	74.973467688	63.830	992.908	281.250	929.078		5.0659	-68.61	139	187.500	-72.25	73.8281	-11.742		Mid_Selection
3	Spectrogram 1	1	129.924331333	134.980828508	49.645	1049.645	199.219	1000.000		5.0565	-70.06	139	187.500	-70.43	134.7135	-13.189		Mid_Selection
4	Spectrogram 1	1	189.948534682	194.967367074	56.738	1007.092	199.219	950.355		5.0188	-71.71	137	152.344	-75.66	192.5729	-14.898		Mid_Selection
5	Spectrogram 1	1	237.612115299	237.706277257	106.383	858.156	210.938	751.773		0.0942	-62.33	2	210.938	-68.50	237.6719	-23.883		
6	Spectrogram 1	1	234.768424150	234.815505129	120.567	460.993	210.938	340.426		0.0471	-60.40	1	210.938	-67.53	234.7917	-24.961		
7	Spectrogram 1	1	257.546731951	257.603229126	148.936	567.376	269.531	418.440		0.0565	-56.76	1	281.250	-67.98	257.5781	-21.317		
8	Spectrogram 1	1	254.712456998	254.759537978	106.383	475.177	210.938	368.794		0.0471	-59.86	1	210.938	-68.29	254.7344	-24.422		
16	Spectrogram 1	1	262.564869056	263.845471693	503.546	1014.184	761.719	510.638		1.2806	-83.46	35	550.781	-89.81	263.0104	-32.581		Reference
