Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
1	Spectrogram 1	1	81.487758857	81.553672228	317.6	2371.8	621.094	2054.118		0.0659	-56.63	1	585.938	-70.87	81.5208	-21.192		
2	Spectrogram 1	1	172.966101510	173.041431077	240.0	1362.4	574.219	1122.353		0.0753	-59.34	2	574.219	-69.78	172.9948	-20.887		
3	Spectrogram 1	1	175.725046896	175.828625050	261.2	1489.4	574.219	1228.235		0.1036	-62.18	3	515.625	-73.00	175.7656	-21.966		
4	Spectrogram 1	1	188.220338781	188.323916935	275.3	1574.1	574.219	1298.824		0.1036	-60.05	3	539.062	-69.59	188.2708	-19.841		
5	Spectrogram 1	1	203.323916917	203.408662680	317.6	1461.2	597.656	1143.529		0.0847	-60.49	3	492.188	-69.15	203.3646	-20.280		
6	Spectrogram 1	1	255.903954529	256.177024209	162.4	1143.5	363.281	981.176		0.2731	-57.14	7	339.844	-63.14	256.0469	-13.251		Buzz
7	Spectrogram 1	1	90.461393500	90.753295572	112.9	1115.3	363.281	1002.353		0.2919	-59.84	8	187.500	-65.40	90.7448	-15.373		Chirp
8	Spectrogram 1	1	91.826741899	91.920903858	296.5	1524.7	621.094	1228.235		0.0942	-60.73	3	621.094	-71.52	91.8750	-20.517		
9	Spectrogram 1	1	88.352165628	88.418078999	261.2	1517.6	621.094	1256.471		0.0659	-59.82	2	503.906	-71.35	88.3750	-21.370		
10	Spectrogram 1	1	83.052841017	83.109338192	345.9	1771.8	644.531	1425.882		0.0565	-57.46	1	597.656	-71.32	83.0885	-22.020		
11	Spectrogram 1	1	76.998227090	77.073556657	360.0	1305.9	609.375	945.882		0.0753	-62.24	3	585.938	-72.38	77.0365	-22.027		
12	Spectrogram 1	1	63.549640724	63.624970291	77.6	487.1	222.656	409.412		0.0753	-59.35	2	187.500	-66.40	63.5833	-20.902		
14	Spectrogram 1	1	8.910439766	9.447162930	1122.4	1680.0	1347.656	557.647		0.5367	-84.62	15	1300.781	-91.75	9.0417	-37.416		Reference
