Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
1	Spectrogram 1	1	37.118644297	37.175141472	61.503	574.032	199.219	512.528		0.0565	-52.74	1	175.781	-62.07	37.1510	-17.304		
2	Spectrogram 1	1	36.280602866	36.337100041	68.337	574.032	210.938	505.695		0.0565	-53.35	1	187.500	-63.16	36.3125	-17.913		
3	Spectrogram 1	1	48.052206467	48.127536034	47.836	1339.408	257.812	1291.572		0.0753	-53.84	2	175.781	-63.90	48.0885	-15.390		
4	Spectrogram 1	1	57.315829593	57.381742964	75.171	1503.417	316.406	1428.246		0.0659	-50.63	1	234.375	-64.61	57.3490	-15.188		
5	Spectrogram 1	1	144.891746313	144.957659684	355.353	1476.082	703.125	1120.729		0.0659	-55.75	1	597.656	-71.61	144.9219	-20.312		
6	Spectrogram 1	1	175.515828830	175.581742201	375.854	1182.232	644.531	806.378		0.0659	-63.30	1	621.094	-77.48	175.5469	-27.858		
7	Spectrogram 1	1	206.720771795	206.796101361	362.187	1148.064	632.812	785.877		0.0753	-65.21	2	632.812	-76.07	206.7552	-26.754		
8	Spectrogram 1	1	205.015025927	205.071523102	389.522	1148.064	644.531	758.542		0.0565	-64.07	1	527.344	-78.39	205.0417	-28.629		
9	Spectrogram 1	1	171.103276639	171.150357618	362.187	1018.223	632.812	656.036		0.0471	-63.95	1	644.531	-78.43	171.1354	-28.510		
10	Spectrogram 1	1	29.251883607	29.298964586	75.171	512.528	199.219	437.358		0.0471	-53.08	1	175.781	-62.26	29.2760	-17.637		
