Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
1	Spectrogram 1	1	9.962335239	15.056497198	78.014	1078.014	246.094	1000.000		5.0942	-68.12	139	210.938	-67.01	12.7969	-11.248		Mid_Selection
2	Spectrogram 1	1	12.721280625	12.796610192	411.348	1503.546	691.406	1092.199		0.0753	-58.85	2	726.562	-70.05	12.7604	-20.397		
3	Spectrogram 1	1	27.681677628	27.747590999	425.532	1063.830	632.812	638.298		0.0659	-65.84	2	585.938	-76.21	27.7083	-27.388		
4	Spectrogram 1	1	41.205657839	41.262155014	326.241	950.355	585.938	624.113		0.0565	-57.51	1	609.375	-71.73	41.2344	-22.073		
5	Spectrogram 1	1	64.164326883	64.239656450	99.291	794.326	222.656	695.035		0.0753	-57.38	3	222.656	-61.15	64.2031	-17.164		
6	Spectrogram 1	1	69.937388747	75.003302118	63.830	1063.830	246.094	1000.000		5.0659	-67.78	139	750.000	-70.74	74.8854	-10.908		Mid_Selection
8	Spectrogram 1	1	74.852642984	74.909140159	404.255	1241.135	738.281	836.879		0.0565	-57.61	1	750.000	-70.74	74.8854	-22.169		
9	Spectrogram 1	1	82.940186129	83.006099500	361.702	1510.638	609.375	1148.936		0.0659	-55.37	2	527.344	-66.18	82.9792	-16.914		
10	Spectrogram 1	1	89.945835847	89.992916826	368.794	1042.553	574.219	673.759		0.0471	-65.20	1	515.625	-77.45	89.9792	-29.757		
11	Spectrogram 1	1	129.921563588	134.987476959	42.553	1042.553	187.500	1000.000		5.0659	-67.59	139	58.594	-62.90	132.7812	-10.719		
12	Spectrogram 1	1	144.684086085	144.731167064	390.071	1191.489	597.656	801.418		0.0471	-61.79	1	585.938	-74.28	144.7031	-26.350		
13	Spectrogram 1	1	165.852579024	166.888360569	56.738	1014.184	234.375	957.447		1.0358	-55.72	28	246.094	-60.46	165.9219	-5.811		Buzz
14	Spectrogram 1	1	167.123765465	167.189678836	28.369	985.816	210.938	957.447		0.0659	-60.08	2	187.500	-68.96	167.1615	-21.627		
15	Spectrogram 1	1	184.960202909	190.016700085	42.553	1014.184	234.375	971.631		5.0565	-66.18	138	257.812	-64.63	186.5573	-9.340		Mid_Selection
16	Spectrogram 1	1	194.265432492	195.159971098	737.589	1312.057	996.094	574.468		0.8945	-82.04	24	773.438	-89.28	194.3958	-32.794		Reference
