Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
1	Spectrogram 1	1	9.943502889	14.990583868	63.830	1063.830	257.812	1000.000		5.0471	-68.65	139	714.844	-66.14	14.4375	-11.784		Mid_Selection
2	Spectrogram 1	1	13.229755243	13.286252418	758.865	2000.000	1218.750	1241.135		0.0565	-68.11	2	1242.188	-79.56	13.2708	-29.662		
3	Spectrogram 1	1	22.975205923	23.041119294	290.780	1624.113	679.688	1333.333		0.0659	-44.36	1	667.969	-56.87	23.0052	-8.923		
4	Spectrogram 1	1	60.329254998	60.395168369	42.553	1156.028	222.656	1113.475		0.0659	-57.42	2	234.375	-66.82	60.3750	-18.973		
5	Spectrogram 1	1	64.951987737	69.951987737	78.014	1078.014	257.812	1000.000		5.0000	-66.58	137	222.656	-64.35	66.6823	-9.772		Mid_Selection
6	Spectrogram 1	1	95.899958979	95.956456154	56.738	1099.291	292.969	1042.553		0.0565	-57.66	1	281.250	-71.21	95.9219	-22.224		
7	Spectrogram 1	1	136.989239632	137.045736807	340.426	1248.227	632.812	907.801		0.0565	-59.41	1	585.938	-73.55	137.0104	-23.969		
8	Spectrogram 1	1	135.736885583	135.793382758	92.199	468.085	222.656	375.887		0.0565	-61.97	1	234.375	-70.67	135.7708	-26.530		
9	Spectrogram 1	1	129.958552671	135.015049846	56.738	1056.738	222.656	1000.000		5.0565	-68.29	139	199.219	-64.76	134.4583	-11.416		Mid_Selection
10	Spectrogram 1	1	134.647818208	134.704315383	446.809	1000.000	609.375	553.191		0.0565	-65.91	1	609.375	-77.57	134.6771	-30.473		
11	Spectrogram 1	1	189.963367467	195.019864642	49.645	1049.645	269.531	1000.000		5.0565	-68.22	139	351.562	-67.74	193.5937	-11.352		Mid_Selection
12	Spectrogram 1	1	193.565930523	193.641260090	198.582	843.972	375.000	645.390		0.0753	-58.21	2	351.562	-67.74	193.5937	-19.756		
13	Spectrogram 1	1	204.217421270	204.264502249	340.426	1056.738	539.062	716.312		0.0471	-61.12	1	480.469	-73.94	204.2396	-25.680		
14	Spectrogram 1	1	274.575209116	274.641122487	312.057	1631.206	562.500	1319.149		0.0659	-57.56	2	550.781	-67.11	274.6042	-19.104		
15	Spectrogram 1	1	64.738394882	65.256285654	638.298	1524.823	1019.531	886.525		0.5179	-80.93	14	1347.656	-91.74	65.1510	-34.030		Reference
