Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
1	Spectrogram 1	1	167.645949738	167.702446913	127.660	801.418	281.250	673.758		0.0565	-52.49	1	246.094	-64.46	167.6719	-17.047		
2	Spectrogram 1	1	185.389197368	185.455110739	382.979	1134.752	632.812	751.773		0.0659	-48.92	2	644.531	-59.44	185.4271	-10.468		
3	Spectrogram 1	1	201.380772692	201.437269868	49.645	1737.589	175.781	1687.944		0.0565	-41.23	2	175.781	-49.46	201.3958	-2.780		
4	Spectrogram 1	1	202.842426913	202.936588871	99.291	1609.929	175.781	1510.638		0.0942	-47.76	3	140.625	-52.81	202.8906	-7.544		
5	Spectrogram 1	1	268.597842374	268.654339549	42.553	1687.943	328.125	1645.390		0.0565	-46.08	1	175.781	-58.71	268.6250	-10.639		
6	Spectrogram 1	1	270.707070246	270.763567421	70.922	1773.050	175.781	1702.128		0.0565	-41.12	1	164.062	-51.66	270.7396	-5.684		
7	Spectrogram 1	1	279.495726728	279.552223903	42.553	1836.879	187.500	1794.326		0.0565	-43.00	1	152.344	-53.56	279.5260	-7.562		
8	Spectrogram 1	1	287.385242550	287.413491138	70.922	1673.759	339.844	1602.837		0.0282	-45.21	1	152.344	-57.89	287.4010	-9.767		
9	Spectrogram 1	1	294.230345950	294.277426929	255.319	1297.872	667.969	1042.553		0.0471	-37.62	1	656.250	-50.33	294.2552	-2.180		
10	Spectrogram 1	1	197.058128613	197.124041984	468.085	1156.028	667.969	687.943		0.0659	-41.67	1	679.688	-54.24	197.0937	-6.233		
11	Spectrogram 1	1	62.630480885	63.675678626	687.943	1241.135	890.625	553.192		1.0452	-75.51	29	843.750	-82.67	62.9271	-25.440		Reference
