Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Avg Power Density (dB FS)	Peak Time (s)
1	Waveform 1	1	1.000000000	11.000000000	100.000	600.000		500.000		10.0000		960001			1.2639		4418.000		1.2640
1	Spectrogram 1	1	1.000000000	11.000000000	100.000	600.000	187.500	500.000		10.0000	-43.16	3750	187.500	-41.59	3.3093	16.664		-47.93	3.3093
3	Waveform 1	1	16.000000000	26.000000000	100.000	600.000		500.000		10.0000		960001			21.5165		13002.000		21.5165
3	Spectrogram 1	1	16.000000000	26.000000000	100.000	600.000	187.500	500.000		10.0000	-42.85	3750	187.500	-41.96	16.5067	16.975		-47.62	16.5067
4	Waveform 1	1	21.000000000	31.000000000	100.000	600.000		500.000		10.0000		960001			21.5165		13002.000		21.5165
4	Spectrogram 1	1	21.000000000	31.000000000	100.000	600.000	187.500	500.000		10.0000	-42.86	3750	187.500	-41.84	29.8373	16.962		-47.63	29.8373
6	Waveform 1	1	36.000000000	46.000000000	100.000	678.571		578.571		10.0000		960001			38.4983		5323.000		38.4982
6	Spectrogram 1	1	36.000000000	46.000000000	100.000	678.571	187.500	578.571		10.0000	-42.85	3750	187.500	-40.61	36.4587	16.973		-47.62	36.4587
