Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Avg Power Density (dB FS)	Peak Time (s)
1	Waveform 1	1	1.000000000	11.000000000	100.000	600.000		500.000		10.0000		960001			5.2137		12441.000		6.6048
1	Spectrogram 1	1	1.000000000	11.000000000	100.000	600.000	187.500	500.000		10.0000	-42.03	3750	187.500	-37.95	9.5360	17.796		-46.80	9.5360
3	Waveform 1	1	16.000000000	26.000000000	100.000	600.000		500.000		10.0000		960001			16.8484		20148.000		22.1302
3	Spectrogram 1	1	16.000000000	26.000000000	100.000	600.000	187.500	500.000		10.0000	-41.76	3750	187.500	-37.08	20.4293	18.065		-46.53	20.4293
4	Waveform 1	1	21.000000000	31.000000000	100.000	600.000		500.000		10.0000		960001			22.1302		20148.000		22.1302
4	Spectrogram 1	1	21.000000000	31.000000000	100.000	600.000	187.500	500.000		10.0000	-41.74	3750	187.500	-38.08	28.1787	18.081		-46.51	28.1787
6	Waveform 1	1	36.000000000	46.000000000	100.000	678.571		578.571		10.0000		960001			45.3838		9167.000		45.3838
6	Spectrogram 1	1	36.000000000	46.000000000	100.000	678.571	187.500	578.571		10.0000	-41.72	3750	187.500	-32.63	37.1920	18.102		-46.49	37.1920
