Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Avg Power Density (dB FS)	Peak Time (s)
1	Waveform 1	1	1.000000000	11.000000000	100.000	600.000		500.000		10.0000		960001			8.4887		3806.000		8.4885
1	Spectrogram 1	1	1.000000000	11.000000000	100.000	600.000	187.500	500.000		10.0000	-43.15	3750	187.500	-41.24	7.5733	16.669		-47.92	7.5733
3	Waveform 1	1	16.000000000	26.000000000	100.000	600.000		500.000		10.0000		960001			24.5733		30491.000		24.5733
3	Spectrogram 1	1	16.000000000	26.000000000	100.000	600.000	187.500	500.000		10.0000	-42.86	3750	187.500	-41.45	18.1920	16.966		-47.63	18.1920
4	Waveform 1	1	21.000000000	31.000000000	100.000	600.000		500.000		10.0000		960001			24.5733		30491.000		24.5733
4	Spectrogram 1	1	21.000000000	31.000000000	100.000	600.000	187.500	500.000		10.0000	-42.86	3750	187.500	-41.64	27.4507	16.962		-47.63	27.4507
6	Waveform 1	1	36.000000000	46.000000000	100.000	678.571		578.571		10.0000		960001			44.1341		27036.000		44.1341
6	Spectrogram 1	1	36.000000000	46.000000000	100.000	678.571	187.500	578.571		10.0000	-42.84	3750	187.500	-40.52	41.3867	16.984		-47.61	41.3867
