Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Avg Power Density (dB FS)	Peak Time (s)
1	Waveform 1	1	1.000000000	11.000000000	100.000	600.000		500.000		10.0000		960001			3.2497		8826.000		3.2498
1	Spectrogram 1	1	1.000000000	11.000000000	100.000	600.000	187.500	500.000		10.0000	-43.14	3750	187.500	-39.72	9.2907	16.687		-47.91	9.2907
3	Waveform 1	1	16.000000000	26.000000000	100.000	600.000		500.000		10.0000		960001			21.1054		9330.000		21.1054
3	Spectrogram 1	1	16.000000000	26.000000000	100.000	600.000	187.500	500.000		10.0000	-42.82	3750	187.500	-40.38	18.4507	17.003		-47.59	18.4507
4	Waveform 1	1	21.000000000	31.000000000	100.000	600.000		500.000		10.0000		960001			21.1054		9330.000		21.1054
4	Spectrogram 1	1	21.000000000	31.000000000	100.000	600.000	187.500	500.000		10.0000	-42.82	3750	187.500	-40.11	29.8453	17.004		-47.59	29.8453
6	Waveform 1	1	36.000000000	46.000000000	100.000	678.571		578.571		10.0000		960001			42.2226		4769.000		42.2226
6	Spectrogram 1	1	36.000000000	46.000000000	100.000	678.571	187.500	578.571		10.0000	-42.81	3750	187.500	-39.09	45.9413	17.012		-47.58	45.9413
