Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Avg Power Density (dB FS)	Peak Time (s)
1	Waveform 1	1	1.000000000	11.000000000	100.000	600.000		500.000		10.0000		960001			2.2412		3890.000		2.2412
1	Spectrogram 1	1	1.000000000	11.000000000	100.000	600.000	187.500	500.000		10.0000	-42.08	3750	187.500	-40.52	2.2907	17.743		-46.85	2.2907
3	Waveform 1	1	16.000000000	26.000000000	100.000	600.000		500.000		10.0000		960001			16.9729		9521.000		19.4356
3	Spectrogram 1	1	16.000000000	26.000000000	100.000	600.000	187.500	500.000		10.0000	-41.80	3750	562.500	-40.07	23.0053	18.024		-46.57	23.0053
4	Waveform 1	1	21.000000000	31.000000000	100.000	600.000		500.000		10.0000		960001			28.1224		8270.000		28.1224
4	Spectrogram 1	1	21.000000000	31.000000000	100.000	600.000	187.500	500.000		10.0000	-41.81	3750	562.500	-40.07	23.0053	18.015		-46.58	23.0053
6	Waveform 1	1	36.000000000	46.000000000	100.000	678.571		578.571		10.0000		960001			41.1691		5218.000		42.6800
6	Spectrogram 1	1	36.000000000	46.000000000	100.000	678.571	187.500	578.571		10.0000	-41.80	3750	187.500	-39.54	36.4827	18.025		-46.57	36.4827
