Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Avg Power Density (dB FS)	Peak Time (s)
1	Waveform 1	1	1.000000000	11.000000000	100.000	600.000		500.000		10.0000		960001			7.5940		9062.000		7.5939
1	Spectrogram 1	1	1.000000000	11.000000000	100.000	600.000	187.500	500.000		10.0000	-42.07	3750	562.500	-34.73	7.5867	17.753		-46.84	7.5867
3	Waveform 1	1	16.000000000	26.000000000	100.000	600.000		500.000		10.0000		960001			16.4020		11105.000		16.4021
3	Spectrogram 1	1	16.000000000	26.000000000	100.000	600.000	187.500	500.000		10.0000	-41.81	3750	187.500	-39.72	25.4533	18.015		-46.58	25.4533
4	Waveform 1	1	21.000000000	31.000000000	100.000	600.000		500.000		10.0000		960001			22.9640		5539.000		22.9642
4	Spectrogram 1	1	21.000000000	31.000000000	100.000	600.000	187.500	500.000		10.0000	-41.79	3750	187.500	-39.70	28.4213	18.032		-46.56	28.4213
6	Waveform 1	1	36.000000000	46.000000000	100.000	678.571		578.571		10.0000		960001			37.6781		12906.000		37.6781
6	Spectrogram 1	1	36.000000000	46.000000000	100.000	678.571	187.500	578.571		10.0000	-41.76	3750	562.500	-33.08	37.6773	18.063		-46.53	37.6773
