Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Avg Power Density (dB FS)	Peak Time (s)
1	Waveform 1	1	1.000000000	11.000000000	100.000	600.000		500.000		10.0000		960001			6.9325		16331.000		6.8050
1	Spectrogram 1	1	1.000000000	11.000000000	100.000	600.000	187.500	500.000		10.0000	-42.02	3750	187.500	-38.87	10.9067	17.800		-46.79	10.9067
3	Waveform 1	1	16.000000000	26.000000000	100.000	600.000		500.000		10.0000		960001			16.6299		16601.000		16.6299
3	Spectrogram 1	1	16.000000000	26.000000000	100.000	600.000	187.500	500.000		10.0000	-41.75	3750	187.500	-39.23	17.3120	18.077		-46.52	17.3120
4	Waveform 1	1	21.000000000	31.000000000	100.000	600.000		500.000		10.0000		960001			28.3819		7280.000		28.3819
4	Spectrogram 1	1	21.000000000	31.000000000	100.000	600.000	187.500	500.000		10.0000	-41.76	3750	187.500	-37.84	28.5040	18.067		-46.53	28.5040
6	Waveform 1	1	36.000000000	46.000000000	100.000	678.571		578.571		10.0000		960001			43.9808		8317.000		43.9808
6	Spectrogram 1	1	36.000000000	46.000000000	100.000	678.571	187.500	578.571		10.0000	-41.74	3750	187.500	-37.32	36.2453	18.084		-46.51	36.2453
