Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Avg Power Density (dB FS)	Peak Time (s)
1	Waveform 1	1	1.000000000	11.000000000	100.000	600.000		500.000		10.0000		960001			4.0696		13979.000		4.0696
1	Spectrogram 1	1	1.000000000	11.000000000	100.000	600.000	187.500	500.000		10.0000	-42.06	3750	187.500	-39.61	6.5920	17.763		-46.83	6.5920
3	Waveform 1	1	16.000000000	26.000000000	100.000	600.000		500.000		10.0000		960001			16.0864		12015.000		23.3326
3	Spectrogram 1	1	16.000000000	26.000000000	100.000	600.000	187.500	500.000		10.0000	-41.76	3750	187.500	-35.61	19.4400	18.064		-46.53	19.4400
4	Waveform 1	1	21.000000000	31.000000000	100.000	600.000		500.000		10.0000		960001			30.1522		13935.000		30.1522
4	Spectrogram 1	1	21.000000000	31.000000000	100.000	600.000	187.500	500.000		10.0000	-41.77	3750	187.500	-38.16	25.1040	18.048		-46.55	25.1040
6	Waveform 1	1	36.000000000	46.000000000	100.000	678.571		578.571		10.0000		960001			44.7334		6488.000		44.7334
6	Spectrogram 1	1	36.000000000	46.000000000	100.000	678.571	187.500	578.571		10.0000	-41.77	3750	187.500	-39.50	45.6587	18.053		-46.54	45.6587
