Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Avg Power Density (dB FS)	Peak Time (s)
1	Waveform 1	1	1.000000000	11.000000000	100.000	600.000		500.000		10.0000		960001			3.7244		29360.000		3.7244
1	Spectrogram 1	1	1.000000000	11.000000000	100.000	600.000	187.500	500.000		10.0000	-42.05	3750	187.500	-38.88	2.9013	17.773		-46.82	2.9013
3	Waveform 1	1	16.000000000	26.000000000	100.000	600.000		500.000		10.0000		960001			20.6428		12385.000		20.6428
3	Spectrogram 1	1	16.000000000	26.000000000	100.000	600.000	187.500	500.000		10.0000	-41.77	3750	562.500	-38.51	25.9840	18.054		-46.54	25.9840
4	Waveform 1	1	21.000000000	31.000000000	100.000	600.000		500.000		10.0000		960001			21.8685		15181.000		26.9697
4	Spectrogram 1	1	21.000000000	31.000000000	100.000	600.000	187.500	500.000		10.0000	-41.75	3750	187.500	-38.37	28.3013	18.076		-46.52	28.3013
6	Waveform 1	1	36.000000000	46.000000000	100.000	678.571		578.571		10.0000		960001			44.7151		24673.000		44.7152
6	Spectrogram 1	1	36.000000000	46.000000000	100.000	678.571	187.500	578.571		10.0000	-41.76	3750	187.500	-38.03	41.0267	18.067		-46.53	41.0267
