"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.00956454058835877,4.06294203825124e-05,235.409230511088,2.34123591301186e-242
"Tot_Knocks",-1.53936709667611e-06,3.93231733286492e-07,-3.91465633714407,0.000124875403165371
"Num_L_calls",3.30859586534137e-07,3.22533694925039e-06,0.102581402110881,0.918400079166952
"Num_Herbivory",-3.97510810437961e-06,2.55530039669398e-06,-1.55563240608524,0.12140874209204
